iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 13, 2018"
Total Net Assets,"45,595,944,861.54"
Shares Outstanding,"525,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.63","247.59","1,164,206.00","288,245,763.54","288,245,763.54","Health Care","2501578","US53220K5048","NASDAQ"
"TREX","TREX INC","Equity","0.54","76.78","3,218,657.00","247,128,484.46","247,128,484.46","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.53","180.10","1,349,034.00","242,961,023.40","242,961,023.40","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"ASGN","ASGN INC","Equity","0.53","89.37","2,686,466.00","240,089,466.42","240,089,466.42","Industrials","BFY8W20","US00191U1025","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.52","82.39","2,871,254.00","236,562,617.06","236,562,617.06","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"NEOG","NEOGEN CORP","Equity","0.52","83.40","2,819,182.00","235,119,778.80","235,119,778.80","Health Care","2630085","US6404911066","NASDAQ"
"NGVT","INGEVITY CORP","Equity","0.50","98.25","2,300,566.00","226,030,609.50","226,030,609.50","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"NSP","INSPERITY INC","Equity","0.49","109.85","2,041,899.00","224,302,605.15","224,302,605.15","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.47","226.25","951,980.00","215,385,475.00","215,385,475.00","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.47","58.15","3,687,536.00","214,430,218.40","214,430,218.40","Financials","2266026","US32020R1095","NASDAQ"
"TTEK","TETRA TECH INC","Equity","0.46","69.45","3,043,100.00","211,343,295.00","211,343,295.00","Industrials","2883890","US88162G1031","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.46","82.30","2,555,602.00","210,326,044.60","210,326,044.60","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"STMP","STAMPS.COM INC","Equity","0.45","237.60","865,917.00","205,741,879.20","205,741,879.20","Information Technology","B013D75","US8528572006","NASDAQ"
"SR","SPIRE INC","Equity","0.45","74.45","2,753,458.00","204,994,948.10","204,994,948.10","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"KFY","KORN FERRY INTERNATIONAL","Equity","0.44","64.99","3,090,035.00","200,821,374.65","200,821,374.65","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"FCFS","FIRSTCASH INC","Equity","0.44","80.33","2,483,291.00","199,482,766.03","199,482,766.03","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.43","61.47","3,202,444.00","196,854,232.68","196,854,232.68","Financials","2766173","US8163001071","NASDAQ"
"PDCE","PDC ENERGY INC","Equity","0.43","54.09","3,607,602.00","195,135,192.18","195,135,192.18","Energy","B89M5F2","US69327R1014","NASDAQ"
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.43","37.50","5,184,674.00","194,425,275.00","194,425,275.00","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","0.42","60.98","3,132,334.00","191,009,727.32","191,009,727.32","Industrials","BDT5S35","US05464C1018","NASDAQ"
"GBCI","GLACIER BANCORP INC","Equity","0.41","43.48","4,329,625.00","188,252,095.00","188,252,095.00","Financials","2370585","US37637Q1058","NASDAQ"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.40","106.00","1,734,615.00","183,869,190.00","183,869,190.00","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"PRLB","PROTO LABS INC","Equity","0.40","133.05","1,371,222.00","182,441,087.10","182,441,087.10","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.40","95.68","1,897,336.00","181,537,108.48","181,537,108.48","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.40","50.68","3,570,960.00","180,976,252.80","180,976,252.80","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"AMED","AMEDISYS INC","Equity","0.39","113.90","1,575,141.00","179,408,559.90","179,408,559.90","Health Care","2024332","US0234361089","NASDAQ"
"SMTC","SEMTECH CORP","Equity","0.39","49.15","3,608,657.00","177,365,491.55","177,365,491.55","Information Technology","2795542","US8168501018","NASDAQ"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.39","35.94","4,930,477.00","177,201,343.38","177,201,343.38","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.39","63.50","2,784,983.00","176,846,420.50","176,846,420.50","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"HI","HILLENBRAND INC","Equity","0.39","51.75","3,411,082.00","176,523,493.50","176,523,493.50","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"DAR","DARLING INGREDIENTS INC","Equity","0.38","19.48","9,009,865.00","175,512,170.20","175,512,170.20","Consumer Staples","2250289","US2372661015","New York Stock Exchange Inc."
"B","BARNES GROUP INC","Equity","0.38","65.93","2,647,911.00","174,576,772.23","174,576,772.23","Industrials","2080732","US0678061096","New York Stock Exchange Inc."
"BCPC","BALCHEM CORP","Equity","0.38","99.35","1,753,237.00","174,184,095.95","174,184,095.95","Materials","2072074","US0576652004","NASDAQ"
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.37","121.09","1,405,646.00","170,209,674.14","170,209,674.14","Information Technology","2572381","US12709P1030","NASDAQ"
"SKYW","SKYWEST INC","Equity","0.37","59.00","2,848,938.00","168,087,342.00","168,087,342.00","Industrials","2814210","US8308791024","NASDAQ"
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.37","41.85","4,010,063.00","167,821,136.55","167,821,136.55","Financials","2176608","US1972361026","NASDAQ"
"ENDP","ENDO INTERNATIONAL PLC","Equity","0.37","15.19","11,037,121.00","167,653,867.99","167,653,867.99","Health Care","BJ3V905","IE00BJ3V9050","NASDAQ"
"KS","KAPSTONE PAPER AND PACKAGING CORP","Equity","0.36","34.50","4,818,006.00","166,221,207.00","166,221,207.00","Materials","B0L2NP0","US48562P1030","New York Stock Exchange Inc."
"FFBC","FIRST FINANCIAL BANCORP","Equity","0.36","30.90","5,353,978.00","165,437,920.20","165,437,920.20","Financials","2352806","US3202091092","NASDAQ"
