iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 24, 2018"
Total Net Assets,"47,663,155,396.33"
Shares Outstanding,"531,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.62","251.32","1,177,526.00","295,935,834.32","295,935,834.32","Health Care","2501578","US53220K5048","NASDAQ"
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.55","193.60","1,364,394.00","264,146,678.40","264,146,678.40","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"TREX","TREX INC","Equity","0.55","80.86","3,246,275.00","262,493,796.50","262,493,796.50","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.54","88.24","2,893,177.00","255,293,938.48","255,293,938.48","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"NEOG","NEOGEN CORP","Equity","0.53","88.78","2,851,342.00","253,142,142.76","253,142,142.76","Health Care","2630085","US6404911066","NASDAQ"
"ASGN","ASGN INC","Equity","0.52","90.83","2,717,186.00","246,802,004.38","246,802,004.38","Industrials","BFY8W20","US00191U1025","New York Stock Exchange Inc."
"NSP","INSPERITY INC","Equity","0.50","115.35","2,065,179.00","238,218,397.65","238,218,397.65","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.49","246.04","956,915.00","235,439,366.60","235,439,366.60","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"NGVT","INGEVITY CORP","Equity","0.49","100.42","2,326,846.00","233,661,875.32","233,661,875.32","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.47","60.30","3,729,656.00","224,898,256.80","224,898,256.80","Financials","2266026","US32020R1095","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.46","85.66","2,584,762.00","221,410,712.92","221,410,712.92","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.45","69.70","3,064,364.00","213,586,170.80","213,586,170.80","Industrials","2883890","US88162G1031","NASDAQ"
"SR","SPIRE INC","Equity","0.44","75.65","2,784,898.00","210,677,533.70","210,677,533.70","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
