iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 23, 2018"
Total Net Assets,"47,403,998,540.67"
Shares Outstanding,"530,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.62","249.97","1,176,638.00","294,124,200.86","294,124,200.86","Health Care","2501578","US53220K5048","NASDAQ"
"TREX","TREX INC","Equity","0.57","83.19","3,243,835.00","269,854,633.65","269,854,633.65","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.55","192.05","1,363,370.00","261,835,208.50","261,835,208.50","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.53","87.37","2,901,830.00","253,532,887.10","253,532,887.10","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"NEOG","NEOGEN CORP","Equity","0.53","87.54","2,849,198.00","249,418,792.92","249,418,792.92","Health Care","2630085","US6404911066","NASDAQ"
"ASGN","ASGN INC","Equity","0.52","90.48","2,715,138.00","245,665,686.24","245,665,686.24","Industrials","BFY8W20","US00191U1025","New York Stock Exchange Inc."
"NSP","INSPERITY INC","Equity","0.50","115.60","2,063,627.00","238,555,281.20","238,555,281.20","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"NGVT","INGEVITY CORP","Equity","0.49","99.91","2,325,094.00","232,300,141.54","232,300,141.54","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.49","241.38","956,195.00","230,806,349.10","230,806,349.10","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.47","60.25","3,726,848.00","224,542,592.00","224,542,592.00","Financials","2266026","US32020R1095","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.47","85.72","2,582,818.00","221,399,158.96","221,399,158.96","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
