"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Sell","Strong Sell","Neutral","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Sell","Strong Buy","Strong Buy","Strong Buy"
"ABAXIS","ABAX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Sell","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Sell","Sell","Strong Sell","Strong Sell"
"Acadia","AKR","Strong Sell","Sell","Strong Sell","Neutral"
"Aceto","ACET","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Sell","Sell","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Neutral","Strong Sell","Neutral"
"AdvanSix","ASIX","Sell","Strong Buy","Strong Buy","Strong Buy"
"Aegion","AEGN","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Strong Buy","Buy","Strong Sell"
"Alamo","ALG","Strong Buy","Buy","Strong Sell","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Sell"
"Allete","ALE","Strong Sell","Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Sell","Strong Buy","Buy","Neutral"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Sell","Sell","Strong Buy","Neutral"
"American Axle&Manufacturing","AXL","Strong Sell","Strong Sell","Neutral","Sell"
"American Equity Inv. Life","AEL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"American Public Education","APEI","Buy","Strong Buy","Strong Buy","Strong Buy"
"American States Water","AWR","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Sell","Strong Buy"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Sell"
"Ameris","ABCB","Strong Buy","Strong Sell","Sell","Strong Buy"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Buy","Strong Buy","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Neutral"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Neutral","Sell"
"AngioDynamics","ANGO","Neutral","Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Anika","ANIK","Strong Sell","Sell","Strong Sell","Strong Sell"
"Anixter","AXE","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Sell","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Buy","Neutral","Neutral","Strong Buy"
"ASGN","ASGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Astec","ASTE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"ATN Int","ATNI","Strong Sell","Strong Sell","Sell","Strong Sell"
