"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-1.10%","-0.00%","8.19%","59.22%","70.08%","186.35%"
"AAON","AAON","-1.81%","-5.03%","10.78%","10.63%","26.88%","97.95%"
"AAR","AIR","1.39%","1.39%","-1.73%","18.68%","31.20%","91.18%"
"Abercrombie&Fitch","ANF","-0.80%","-4.34%","17.15%","55.59%","116.27%","41.40%"
"ABM Industries","ABM","0.46%","-7.01%","-0.58%","-18.77%","-30.06%","-4.01%"
"Acadia","AKR","-1.85%","-1.40%","6.90%","3.00%","-0.56%","-5.63%"
"Aceto","ACET","1.38%","0.00%","5.08%","-67.96%","-68.89%","-85.46%"
"Acorda","ACOR","1.04%","1.04%","21.92%","36.13%","50.13%","-10.79%"
"Actuant","ATU","1.03%","-0.17%","5.19%","16.21%","26.72%","40.94%"
"ADTRAN","ADTN","0.29%","0.59%","4.29%","-12.14%","-22.55%","8.28%"
"Advanced Energy","AEIS","2.27%","1.56%","-1.07%","-12.03%","-17.41%","143.08%"
"AdvanSix","ASIX","1.43%","2.22%","-13.56%","-18.94%","9.40%","-"
"Aegion","AEGN","0.08%","-2.31%","1.67%","-2.01%","17.11%","36.32%"
"Aerojet Rocketdyne","AJRD","1.39%","-0.33%","30.03%","16.99%","30.17%","77.18%"
"AeroVironment","AVAV","0.49%","-0.51%","18.93%","52.67%","117.89%","256.06%"
"Agilysys","AGYS","-1.32%","3.06%","2.17%","34.20%","60.16%","61.41%"
"Agree","ADC","-0.09%","0.48%","8.35%","9.97%","15.35%","96.42%"
"AK Steel","AKS","2.80%","-1.34%","-16.00%","-22.08%","-19.82%","47.49%"
"Alamo","ALG","1.13%","-0.50%","9.29%","-11.85%","11.45%","97.48%"
"Albany","AIN","2.14%","0.51%","18.91%","27.91%","50.29%","150.00%"
"Allegiant","ALGT","0.78%","-0.11%","9.29%","-11.83%","12.49%","-33.92%"
"Allete","ALE","-1.30%","-3.92%","-2.28%","1.40%","-2.14%","57.74%"
"AMAG","AMAG","1.02%","0.40%","12.70%","87.55%","50.15%","-62.26%"
"Amedisys","AMED","0.22%","4.04%","33.06%","136.69%","150.77%","219.16%"
"American Assets","AAT","-1.09%","-1.59%","6.04%","1.96%","-3.27%","-1.09%"
"American Axle&Manufacturing","AXL","3.51%","3.51%","15.54%","9.16%","36.79%","-8.42%"
"American Equity Inv. Life","AEL","-0.03%","-0.51%","4.38%","21.64%","34.95%","51.09%"
"American Public Education","APEI","-0.56%","-0.14%","-20.22%","42.51%","94.02%","59.66%"
"American States Water","AWR","-1.51%","-2.11%","-0.73%","3.42%","21.41%","58.02%"
"American Vanguard","AVD","0.48%","6.57%","-0.71%","7.38%","5.50%","61.93%"
"American Woodmark","AMWD","5.47%","3.46%","9.14%","-31.21%","10.82%","34.64%"
"Ameris","ABCB","0.20%","-0.20%","0.75%","3.63%","14.04%","86.38%"
"AMERISAFE","AMSF","-0.78%","0.63%","0.47%","3.25%","20.11%","43.60%"
"AMN Healthcare Services","AMN","0.70%","-0.69%","-5.24%","17.56%","53.17%","70.80%"
"Amneal Pharma A","AMRX","-0.22%","-3.11%","23.56%","38.26%","22.45%","-45.71%"
"Amphastar P","AMPH","0.06%","-1.04%","4.89%","-6.29%","14.62%","34.65%"
"AngioDynamics","ANGO","0.18%","-0.67%","4.01%","33.97%","35.69%","51.87%"
"ANI Pharma","ANIP","-0.02%","1.04%","-15.83%","-11.09%","23.87%","10.19%"
"Anika","ANIK","0.82%","1.31%","4.27%","-22.54%","-21.34%","16.19%"
"Anixter","AXE","0.69%","-0.55%","3.86%","-4.34%","1.39%","17.05%"
"Apogee","APOG","-0.40%","-1.49%","1.00%","8.68%","15.26%","-2.20%"
"Applied Industrial Technologies","AIT","-0.13%","-1.72%","4.62%","13.00%","37.29%","84.00%"
"ArcBest Corp","ARCB","1.59%","0.52%","8.11%","34.27%","71.74%","65.29%"
"Archrock","AROC","0.00%","1.99%","-2.66%","21.90%","26.73%","-0.47%"
"Asbury Automotive","ABG","0.33%","-2.33%","10.93%","18.12%","48.67%","-5.79%"
"ASGN","ASGN","1.27%","0.70%","1.69%","43.11%","100.35%","157.50%"
"Assertio Therapeutics","ASRT","2.81%","-0.81%","-11.15%","-8.94%","19.97%","-74.17%"
"Astec","ASTE","0.87%","1.14%","1.22%","-16.48%","3.34%","31.63%"
"Atlas Air","AAWW","0.32%","0.08%","-7.43%","6.14%","-4.01%","49.75%"
"ATN Int","ATNI","0.05%","-2.53%","18.44%","33.32%","21.97%","2.48%"
"Avista","AVA","0.04%","0.37%","2.67%","0.12%","0.57%","62.62%"
"Axon Enterprise","AAXN","1.69%","4.47%","-3.05%","151.55%","208.33%","181.15%"
"AZZ","AZZ","0.28%","-1.00%","0.93%","6.07%","13.99%","9.38%"
"B&G Foods","BGS","-2.19%","-2.03%","0.32%","-10.95%","2.45%","2.59%"
"Badger Meter","BMI","0.18%","-0.27%","7.87%","14.64%","22.19%","-5.52%"
"Balchem","BCPC","0.29%","2.00%","7.85%","31.84%","42.33%","82.48%"
"Banc of California","BANC","0.25%","-0.25%","-0.25%","-3.39%","7.26%","62.06%"
"Banner","BANR","-0.69%","-2.91%","3.36%","17.87%","17.87%","48.77%"
"Barnes","B","-0.01%","-1.34%","-0.00%","7.95%","11.93%","76.49%"
"Barnes & Noble Education Inc","BNED","-3.24%","-20.16%","-5.41%","-38.47%","-25.66%","-60.58%"
"Barnes&Noble","BKS","0.92%","-7.56%","-7.56%","-17.91%","-28.10%","-64.90%"
"Bel Fuse B","BELFB","-1.08%","3.79%","23.70%","8.82%","10.71%","52.48%"
"Belmond","BEL","1.86%","1.55%","49.09%","33.88%","30.68%","42.36%"
"Benchmark Electronics","BHE","0.39%","-1.52%","7.66%","-10.65%","-18.24%","21.38%"
"Big 5","BGFV","-0.87%","-4.20%","-10.24%","-25.00%","-23.49%","-48.65%"
"Biglari","BH","-0.30%","-1.92%","2.87%","-52.93%","-34.80%","-48.66%"
"BioTelemetry","BEAT","1.19%","4.37%","13.27%","99.83%","65.06%","307.29%"
"BJs Restaurants","BJRI","-3.28%","8.16%","12.89%","98.49%","137.27%","63.24%"
"Black Box","BBOX","-1.61%","-20.78%","-12.23%","-65.63%","-61.88%","-91.90%"
"Blackbaud","BLKB","-0.63%","3.38%","-10.58%","7.57%","22.68%","75.67%"
"Blucora","BCOR","-0.14%","1.69%","-0.96%","63.12%","55.72%","161.04%"
"BofI Holding","BOFI","-0.95%","-2.90%","-3.40%","25.45%","40.12%","27.54%"
"Boise Cascad Llc","BCC","-0.33%","-3.01%","5.12%","13.16%","55.96%","40.79%"
"Boston Private","BPFH","1.76%","1.76%","-0.34%","-6.47%","-1.03%","22.56%"
"Bottomline","EPAY","1.06%","2.60%","15.78%","86.36%","117.83%","139.90%"
"Boyd Gaming","BYD","-2.17%","-1.31%","1.95%","2.94%","38.88%","118.80%"
"Brady","BRC","-1.64%","0.00%","5.83%","3.03%","19.24%","80.20%"
"Briggs&Stratton","BGG","0.05%","-3.33%","21.53%","-18.80%","-0.58%","3.57%"
"Brinks","BCO","0.13%","-1.20%","-2.07%","-0.95%","0.91%","171.41%"
"Bristow","BRS","-0.27%","3.06%","-20.50%","-17.37%","25.76%","-68.67%"
"Brookline Bancorp","BRKL","-0.82%","-0.82%","-2.43%","14.97%","26.67%","71.74%"
"Brooks Automation","BRKS","2.02%","3.24%","-2.64%","26.83%","18.81%","190.59%"
"Buckle","BKE","-2.45%","-3.90%","11.88%","9.05%","70.96%","-36.97%"
