"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"AAON","AAON","Neutral","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Buy","Neutral","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Buy","Neutral","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Buy","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Sell","Neutral","Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Sell","Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Strong Buy","Buy"
"Albany","AIN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Sell","Neutral","Strong Sell","Strong Sell"
"Allete","ALE","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"AMAG","AMAG","Neutral","Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Buy","Sell","Sell","Strong Buy"
"American States Water","AWR","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Buy","Buy","Neutral","Buy"
"American Woodmark","AMWD","Strong Buy","Neutral","Strong Sell","Neutral"
"Ameris","ABCB","Sell","Neutral","Strong Sell","Buy"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Neutral","Buy","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Sell","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Neutral","Sell","Strong Sell","Neutral"
"Anika","ANIK","Strong Sell","Neutral","Neutral","Strong Sell"
"Anixter","AXE","Buy","Buy","Strong Buy","Neutral"
"Apogee","APOG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
