"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-4.34%","-9.57%","-3.41%","40.78%","53.28%","127.90%"
"A Schulman","SHLM","-0.57%","-0.91%","-3.13%","16.38%","65.14%","16.44%"
"AAON","AAON","0.00%","0.83%","7.95%","-0.14%","7.95%","65.16%"
"AAR","AIR","-1.92%","0.30%","-0.24%","18.45%","26.71%","72.69%"
"ABAXIS","ABAX","0.05%","-0.01%","0.05%","67.79%","80.36%","65.98%"
"Abercrombie&Fitch","ANF","1.86%","-3.36%","-3.76%","35.28%","132.32%","17.37%"
"ABM Industries","ABM","0.13%","3.31%","4.40%","-18.19%","-31.04%","-6.37%"
"Acadia","AKR","0.57%","-0.30%","-2.89%","-3.11%","-12.25%","-16.48%"
"Aceto","ACET","0.63%","1.93%","-4.23%","-69.31%","-81.44%","-86.47%"
"Acorda","ACOR","1.67%","-15.16%","-18.56%","13.52%","11.95%","-29.13%"
"Actuant","ATU","-0.72%","0.54%","-4.31%","9.68%","14.67%","20.34%"
"ADTRAN","ADTN","-0.31%","-1.81%","8.70%","-16.02%","-31.29%","-1.52%"
"Advanced Energy","AEIS","0.47%","2.46%","2.46%","-10.67%","-16.73%","130.16%"
"AdvanSix","ASIX","-0.38%","0.80%","4.05%","-6.58%","16.13%","-"
"Aegion","AEGN","-1.47%","-3.90%","-6.47%","-5.03%","0.04%","22.15%"
"Aerojet Rocketdyne","AJRD","-1.25%","-4.58%","-5.30%","-11.15%","17.01%","18.41%"
"AeroVironment","AVAV","0.79%","-0.93%","1.92%","29.38%","95.06%","178.82%"
"Agilysys","AGYS","0.12%","-2.59%","4.87%","31.51%","57.25%","90.67%"
"Agree","ADC","0.61%","-0.34%","-0.62%","2.12%","6.53%","69.51%"
"AK Steel","AKS","2.10%","2.88%","20.45%","-5.30%","-0.56%","81.69%"
"Alamo","ALG","-1.68%","-0.43%","-2.26%","-20.71%","-4.08%","70.35%"
"Albany","AIN","-2.34%","0.23%","6.34%","5.04%","20.54%","73.43%"
"Allegiant","ALGT","-0.24%","-10.78%","-11.32%","-19.52%","-4.38%","-40.90%"
"Allete","ALE","-0.78%","-0.65%","-1.62%","2.96%","3.45%","58.54%"
"AMAG","AMAG","-3.63%","0.00%","7.05%","60.38%","9.25%","-66.74%"
"Amedisys","AMED","-0.34%","-0.59%","6.50%","77.27%","97.55%","114.16%"
"American Assets","AAT","1.96%","0.27%","-1.91%","-1.96%","-8.45%","-9.92%"
"American Axle&Manufacturing","AXL","4.23%","4.94%","4.29%","-1.53%","17.03%","-16.07%"
"American Equity Inv. Life","AEL","0.42%","2.07%","-0.03%","17.02%","32.94%","21.73%"
"American Public Education","APEI","-1.23%","1.14%","2.43%","76.45%","101.83%","70.85%"
"American States Water","AWR","-1.06%","-0.80%","2.70%","3.07%","19.31%","54.84%"
"American Vanguard","AVD","0.00%","1.19%","-7.41%","8.14%","7.87%","65.76%"
"American Woodmark","AMWD","1.34%","-0.06%","-10.49%","-36.12%","-15.40%","26.52%"
"Ameris","ABCB","-2.27%","-4.72%","-10.77%","0.52%","4.08%","79.38%"
"AMERISAFE","AMSF","-0.08%","1.44%","9.15%","2.68%","8.96%","33.83%"
"AMN Healthcare Services","AMN","-1.64%","-0.83%","0.00%","22.03%","65.79%","104.21%"
"Amneal Pharma A","AMRX","1.66%","-1.61%","14.72%","13.75%","6.11%","-60.92%"
"Amphastar P","AMPH","-0.35%","-0.23%","11.31%","-10.97%","2.76%","5.35%"
"AngioDynamics","ANGO","-1.54%","-1.31%","-6.14%","26.82%","28.83%","36.06%"
"ANI Pharma","ANIP","-0.98%","-5.04%","-0.72%","4.59%","43.61%","-5.10%"
"Anika","ANIK","-1.55%","14.99%","19.59%","-26.86%","-22.99%","4.04%"
"Anixter","AXE","1.93%","-0.35%","12.10%","-6.12%","-9.97%","7.76%"
"Apogee","APOG","-0.06%","1.40%","-0.18%","7.54%","-6.20%","-10.87%"
"Applied Industrial Technologies","AIT","-0.82%","-1.49%","2.89%","7.12%","29.23%","88.84%"
"ArcBest Corp","ARCB","0.90%","1.47%","-2.71%","25.31%","69.06%","35.55%"
"Archrock","AROC","3.42%","7.94%","11.93%","29.52%","27.10%","-9.39%"
"Asbury Automotive","ABG","3.60%","0.93%","2.62%","10.31%","29.42%","-20.05%"
"ASGN","ASGN","-2.22%","5.50%","11.94%","37.61%","80.97%","130.79%"
"Astec","ASTE","-2.63%","-2.51%","-20.77%","-19.66%","-4.30%","19.56%"
"Atlas Air","AAWW","-2.45%","-3.32%","-8.89%","11.85%","9.70%","33.47%"
"ATN Int","ATNI","2.07%","17.53%","18.63%","14.89%","7.43%","-10.25%"
"Avista","AVA","0.18%","0.04%","-4.93%","-2.31%","-4.63%","52.33%"
"Axon Enterprise","AAXN","-3.40%","-8.06%","3.09%","150.64%","167.07%","144.01%"
"AZZ","AZZ","-0.65%","-2.73%","22.36%","4.40%","6.06%","3.09%"
"B&G Foods","BGS","1.92%","4.43%","2.91%","-9.53%","-10.67%","7.69%"
"Badger Meter","BMI","-0.89%","-2.99%","10.78%","5.33%","11.52%","-14.40%"
"Balchem","BCPC","-0.55%","-0.89%","-1.54%","21.58%","25.10%","72.91%"
"Banc of California","BANC","-1.75%","2.88%","-2.24%","-4.84%","-5.98%","62.00%"
"Banner","BANR","-0.05%","1.31%","3.80%","13.99%","7.29%","31.83%"
"Barnes","B","-2.68%","7.92%","12.22%","5.06%","10.86%","70.74%"
"Barnes & Noble Education Inc","BNED","4.29%","-1.06%","-0.18%","-32.16%","-22.36%","-61.05%"
"Barnes&Noble","BKS","1.68%","4.31%","-3.20%","-9.70%","-23.90%","-64.87%"
"Bel Fuse B","BELFB","2.71%","0.44%","5.08%","-9.65%","-10.26%","3.03%"
"Belmond","BEL","1.82%","-0.44%","0.00%","-8.57%","-14.18%","-7.51%"
"Benchmark Electronics","BHE","0.00%","-17.86%","-17.29%","-17.01%","-28.55%","9.47%"
"Big 5","BGFV","2.36%","2.36%","-13.33%","-14.47%","-40.64%","-40.96%"
"Biglari","BH","-0.09%","2.13%","-1.43%","-54.28%","-50.37%","-56.43%"
"BioTelemetry","BEAT","-2.09%","8.51%","11.43%","72.74%","49.49%","322.32%"
"BJs Restaurants","BJRI","-4.84%","-1.93%","-0.00%","67.31%","75.25%","18.11%"
"Black Box","BBOX","-5.76%","-13.25%","-35.15%","-63.10%","-83.62%","-91.63%"
"Blackbaud","BLKB","-3.74%","-7.03%","4.79%","15.80%","22.76%","78.91%"
"Blucora","BCOR","-3.43%","-4.74%","-7.50%","59.05%","54.17%","148.06%"
