"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","1.34%","-0.00%","10.19%","60.99%","62.72%","192.90%"
"AAON","AAON","-0.86%","-2.30%","5.48%","10.08%","23.36%","102.40%"
"AAR","AIR","1.50%","1.48%","0.56%","18.78%","28.74%","98.85%"
"Abercrombie&Fitch","ANF","-3.90%","-20.74%","-13.11%","24.33%","65.42%","6.23%"
"ABM Industries","ABM","0.32%","4.00%","1.93%","-15.91%","-28.93%","4.86%"
"Acadia","AKR","0.49%","-0.66%","3.71%","4.24%","-1.82%","-1.55%"
"Aceto","ACET","-0.30%","1.53%","3.43%","-67.86%","-68.88%","-85.01%"
"Acorda","ACOR","0.88%","-0.35%","9.71%","34.27%","32.72%","-9.60%"
"Actuant","ATU","0.51%","1.20%","3.33%","16.40%","20.45%","46.74%"
"ADTRAN","ADTN","0.58%","1.47%","6.50%","-11.11%","-22.70%","9.55%"
"Advanced Energy","AEIS","0.76%","2.65%","-1.50%","-11.71%","-20.09%","143.98%"
"AdvanSix","ASIX","0.74%","0.65%","-7.01%","-19.56%","3.17%","-"
"Aegion","AEGN","-0.60%","0.24%","1.13%","-1.85%","15.77%","38.44%"
"Aerojet Rocketdyne","AJRD","-0.11%","-2.47%","2.63%","12.53%","17.23%","72.28%"
"AeroVironment","AVAV","2.29%","3.09%","17.25%","56.62%","78.96%","327.82%"
"Agilysys","AGYS","-0.19%","-3.77%","9.17%","30.86%","53.19%","67.05%"
"Agree","ADC","0.21%","0.79%","5.55%","10.94%","13.55%","102.30%"
"AK Steel","AKS","2.07%","3.50%","-1.33%","-21.55%","-21.97%","45.10%"
"Alamo","ALG","-1.03%","-3.13%","1.68%","-15.57%","3.56%","87.78%"
"Albany","AIN","0.00%","0.26%","19.15%","25.55%","43.00%","154.87%"
"Allegiant","ALGT","0.81%","0.63%","8.91%","-11.95%","15.52%","-32.54%"
"Allete","ALE","-0.81%","-1.71%","-0.92%","0.97%","-3.15%","60.87%"
"AMAG","AMAG","-0.41%","-0.81%","2.09%","84.15%","38.64%","-59.94%"
