"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Buy","Strong Buy","Strong Buy","Strong Buy"
"AAON","AAON","Sell","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Sell","Neutral","Neutral","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Sell","Strong Sell","Sell","Strong Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Neutral","Neutral","Strong Sell","Strong Sell"
"Acorda","ACOR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Actuant","ATU","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Sell","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Sell","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Neutral","Buy","Strong Buy","Neutral"
"Albany","AIN","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Sell","Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Buy","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Buy","Neutral","Strong Sell","Buy"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Buy","Strong Sell","Neutral"
"AMERISAFE","AMSF","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Buy","Buy","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Sell","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Neutral","Sell","Strong Sell","Neutral"
"Anika","ANIK","Sell","Neutral","Buy","Strong Sell"
"Anixter","AXE","Strong Sell","Neutral","Strong Buy","Neutral"
"Apogee","APOG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Buy","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Strong Sell","Buy","Strong Buy","Strong Buy"
"Assertio Therapeutics","ASRT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Astec","ASTE","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Buy","Sell","Strong Sell","Buy"
"ATN Int","ATNI","Sell","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Strong Buy","Strong Buy","Neutral","Buy"
"Axon Enterprise","AAXN","Strong Sell","Buy","Strong Buy","Strong Buy"
"AZZ","AZZ","Strong Sell","Buy","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Sell","Neutral","Neutral","Neutral"
"Badger Meter","BMI","Sell","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Banc of California","BANC","Neutral","Sell","Strong Buy","Buy"
"Banner","BANR","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Sell","Strong Sell","Neutral","Strong Sell"
"Bel Fuse B","BELFB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Belmond","BEL","Sell","Strong Buy","Strong Buy","Strong Buy"
"Benchmark Electronics","BHE","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Big 5","BGFV","Buy","Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Sell","Neutral","Sell","Strong Sell"
"BioTelemetry","BEAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Buy","Neutral","Strong Sell","Buy"
"Blucora","BCOR","Strong Buy","Strong Buy","Neutral","Strong Buy"
"BofI Holding","BOFI","Buy","Buy","Sell","Strong Buy"
"Boise Cascad Llc","BCC","Strong Sell","Buy","Strong Buy","Strong Buy"
"Boston Private","BPFH","Sell","Strong Sell","Strong Sell","Strong Sell"
"Bottomline","EPAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Brady","BRC","Buy","Strong Buy","Strong Buy","Strong Buy"
"Briggs&Stratton","BGG","Sell","Strong Buy","Strong Buy","Strong Sell"
"Brinks","BCO","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Bristow","BRS","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Brooks Automation","BRKS","Neutral","Strong Sell","Neutral","Strong Buy"
"Buckle","BKE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cabot","CCMP","Neutral","Strong Sell","Neutral","Strong Buy"
"CACI","CACI","Sell","Strong Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CalAmp","CAMP","Sell","Strong Buy","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Caleres","CAL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"California Water Service","CWT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Callaway Golf","ELY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Capstead Mortgage","CMO","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Cardtronics","CATM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
