"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-0.89%","-0.67%","1.59%","58.16%","69.58%","171.62%"
"A Schulman","SHLM","0.92%","0.34%","2.44%","18.12%","47.40%","29.22%"
"AAON","AAON","2.31%","6.04%","14.69%","14.85%","30.70%","94.51%"
"AAR","AIR","0.83%","-1.87%","-3.53%","14.79%","27.29%","80.40%"
"Abercrombie&Fitch","ANF","2.35%","-3.35%","8.10%","62.25%","209.07%","71.91%"
"ABM Industries","ABM","1.38%","5.01%","7.85%","-14.40%","-24.98%","-1.94%"
"Acadia","AKR","0.71%","6.95%","7.15%","4.06%","-1.42%","-9.16%"
"Aceto","ACET","1.38%","2.80%","2.48%","-67.96%","-79.36%","-86.44%"
"Acorda","ACOR","0.53%","-0.35%","-1.39%","32.17%","23.80%","-5.18%"
"Actuant","ATU","-0.17%","1.39%","3.93%","15.02%","26.52%","35.35%"
"ADTRAN","ADTN","1.22%","2.16%","0.30%","-14.47%","-23.56%","6.16%"
"Advanced Energy","AEIS","-0.16%","-4.25%","-3.93%","-14.80%","-20.59%","129.50%"
"AdvanSix","ASIX","2.44%","-3.19%","-15.36%","-21.30%","5.78%","-"
"Aegion","AEGN","1.79%","0.44%","-1.42%","-1.69%","21.30%","37.06%"
"Aerojet Rocketdyne","AJRD","-0.11%","-2.37%","18.26%","14.78%","29.51%","73.67%"
"AeroVironment","AVAV","0.77%","3.21%","13.13%","51.57%","116.59%","249.14%"
"Agilysys","AGYS","-0.75%","-0.63%","-3.24%","29.07%","52.84%","64.59%"
"Agree","ADC","0.43%","4.68%","4.94%","9.12%","13.03%","89.44%"
"AK Steel","AKS","0.69%","5.26%","-9.65%","-22.26%","-15.87%","59.42%"
"Alamo","ALG","0.98%","3.28%","8.28%","-12.44%","10.36%","99.33%"
"Albany","AIN","0.20%","0.59%","19.64%","25.39%","50.19%","142.22%"
"Allegiant","ALGT","0.77%","1.45%","-5.17%","-11.63%","15.60%","-36.12%"
"Allete","ALE","-0.54%","1.24%","1.30%","5.61%","4.08%","55.04%"
"AMAG","AMAG","-0.21%","-3.21%","10.30%","81.89%","36.16%","-59.80%"
"Amedisys","AMED","0.18%","2.38%","25.01%","126.73%","138.40%","195.09%"
"American Assets","AAT","0.61%","2.67%","5.51%","3.66%","-0.73%","-3.27%"
"American Axle&Manufacturing","AXL","2.02%","6.43%","9.73%","3.93%","28.35%","-9.51%"
"American Equity Inv. Life","AEL","0.13%","2.80%","6.46%","21.74%","33.04%","46.99%"
"American Public Education","APEI","3.29%","3.43%","-19.04%","44.31%","98.08%","70.04%"
"American States Water","AWR","0.68%","2.01%","1.18%","5.08%","24.08%","60.55%"
"American Vanguard","AVD","-2.06%","-3.79%","-12.01%","-3.05%","-4.03%","56.79%"
"American Woodmark","AMWD","0.18%","0.12%","-3.08%","-35.89%","-1.12%","23.16%"
"Ameris","ABCB","0.10%","0.81%","-4.24%","3.01%","13.49%","79.63%"
"AMERISAFE","AMSF","-1.02%","-0.39%","1.85%","2.68%","15.42%","34.83%"
"AMN Healthcare Services","AMN","-0.35%","0.53%","-6.86%","15.74%","51.60%","67.06%"
"Amneal Pharma A","AMRX","12.78%","9.57%","31.05%","45.77%","30.84%","-44.10%"
"Amphastar P","AMPH","0.79%","1.87%","6.27%","-6.65%","19.18%","30.24%"
"AngioDynamics","ANGO","1.29%","2.75%","2.89%","32.53%","30.88%","49.83%"
"ANI Pharma","ANIP","-0.50%","-1.78%","-20.37%","-12.91%","22.26%","13.67%"
"Anika","ANIK","-2.11%","-3.03%","20.42%","-23.54%","-22.23%","18.18%"
"Anixter","AXE","1.04%","1.11%","-2.68%","-4.34%","1.25%","19.95%"
"Apogee","APOG","0.02%","-0.26%","2.31%","8.53%","5.57%","-3.82%"
"Applied Industrial Technologies","AIT","0.98%","0.33%","2.05%","13.29%","41.04%","92.54%"
"ArcBest Corp","ARCB","2.61%","1.73%","0.86%","31.75%","84.34%","59.82%"
"Archrock","AROC","4.58%","-0.40%","-1.18%","19.52%","34.22%","5.73%"
"Asbury Automotive","ABG","1.74%","1.40%","9.66%","18.83%","48.39%","-3.61%"
"ASGN","ASGN","-0.74%","0.06%","6.83%","40.36%","95.47%","139.98%"
"Assertio Therapeutics","ASRT","0.80%","3.42%","-7.25%","-6.21%","26.04%","-73.74%"
"Astec","ASTE","-0.43%","0.58%","-24.16%","-20.44%","0.15%","28.28%"
"Atlas Air","AAWW","1.58%","2.17%","-11.30%","4.35%","-3.92%","46.48%"
"ATN Int","ATNI","0.98%","1.39%","35.44%","34.36%","25.55%","0.77%"
"Avista","AVA","-0.81%","0.97%","1.53%","-0.62%","-0.93%","52.97%"
"Axon Enterprise","AAXN","0.02%","2.97%","-13.10%","142.11%","194.72%","201.36%"
"AZZ","AZZ","-0.37%","0.28%","-3.24%","5.09%","13.53%","7.21%"
"B&G Foods","BGS","2.50%","5.81%","7.19%","-6.69%","2.66%","10.77%"
"Badger Meter","BMI","2.76%","2.66%","2.85%","13.08%","22.15%","-9.01%"
"Balchem","BCPC","-1.55%","3.17%","3.43%","28.19%","39.28%","78.88%"
"Banc of California","BANC","0.76%","0.00%","3.63%","-3.15%","7.53%","62.34%"
"Banner","BANR","-0.14%","-0.15%","6.45%","19.81%","19.68%","44.70%"
"Barnes","B","0.61%","3.12%","9.71%","7.46%","13.07%","74.87%"
"Barnes & Noble Education Inc","BNED","0.93%","5.19%","20.67%","-21.36%","-5.12%","-49.65%"
"Barnes&Noble","BKS","-0.83%","-3.25%","8.18%","-11.19%","-19.05%","-63.68%"
"Bel Fuse B","BELFB","-0.76%","1.37%","13.07%","3.06%","1.17%","44.81%"
"Belmond","BEL","-0.62%","0.00%","40.53%","30.20%","28.11%","41.65%"
"Benchmark Electronics","BHE","0.97%","1.17%","-11.58%","-10.82%","-18.27%","20.75%"
"Big 5","BGFV","0.00%","-1.68%","-10.00%","-23.03%","-22.52%","-46.13%"
"Biglari","BH","-0.03%","0.04%","7.64%","-51.73%","-33.00%","-49.10%"
"BioTelemetry","BEAT","-1.32%","2.37%","11.62%","87.96%","54.61%","310.52%"
"BJs Restaurants","BJRI","0.07%","4.21%","5.86%","83.52%","109.08%","49.41%"
"Black Box","BBOX","3.66%","1.19%","4.29%","-52.11%","-51.43%","-88.99%"
"Blackbaud","BLKB","-0.13%","-0.65%","-17.15%","3.25%","15.01%","65.61%"
"Blucora","BCOR","1.88%","1.44%","-6.51%","59.28%","55.41%","162.69%"
"BofI Holding","BOFI","0.35%","-0.81%","-9.18%","26.42%","42.05%","21.94%"
"Boise Cascad Llc","BCC","1.09%","6.81%","5.35%","16.04%","63.60%","46.29%"
"Boston Private","BPFH","-0.36%","-0.71%","-7.33%","-10.03%","-4.47%","14.40%"
"Bottomline","EPAY","1.13%","3.27%","10.55%","77.36%","111.01%","141.59%"
"Boyd Gaming","BYD","2.15%","3.42%","-4.64%","4.34%","38.52%","128.13%"
"Brady","BRC","0.39%","2.54%","2.68%","1.19%","15.51%","63.61%"
"Briggs&Stratton","BGG","4.17%","13.05%","24.54%","-17.38%","1.30%","7.49%"
"Brinks","BCO","0.90%","0.45%","-2.68%","-0.70%","3.99%","171.92%"
"Bristow","BRS","2.57%","-4.86%","-25.88%","-20.04%","41.34%","-68.25%"
"Brookline Bancorp","BRKL","0.00%","0.00%","-4.00%","14.65%","26.76%","67.13%"
"Brooks Automation","BRKS","-1.14%","-2.84%","-10.59%","20.38%","12.41%","176.86%"
"Buckle","BKE","1.71%","-4.29%","10.54%","12.63%","89.05%","-33.36%"
"Cabot","CCMP","0.06%","-10.17%","-7.81%","15.92%","56.56%","146.46%"
"CACI","CACI","0.93%","4.25%","5.24%","42.77%","49.66%","134.84%"
"Cal-Maine","CALM","-0.10%","-0.24%","7.83%","11.47%","40.97%","-0.24%"
"CalAmp","CAMP","0.34%","-0.38%","1.03%","9.66%","29.26%","49.59%"
"Calavo Growers","CVGW","0.37%","-0.69%","7.60%","19.91%","44.57%","85.72%"
"Caleres","CAL","1.79%","4.99%","3.93%","10.66%","63.07%","16.84%"
"California Water Service","CWT","0.97%","1.84%","1.97%","-8.60%","13.25%","86.71%"
"Callaway Golf","ELY","0.67%","1.57%","18.07%","62.74%","73.45%","158.79%"
"Cambrex","CBM","-1.02%","4.06%","12.04%","30.83%","22.06%","39.12%"
