"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.44%","0.89%","9.40%","60.99%","73.28%","189.17%"
"AAON","AAON","0.00%","0.36%","12.82%","12.67%","30.03%","99.47%"
"AAR","AIR","0.48%","2.82%","-3.08%","17.05%","29.40%","90.43%"
"Abercrombie&Fitch","ANF","-4.71%","-1.05%","18.10%","56.86%","121.56%","44.96%"
"ABM Industries","ABM","0.49%","-4.24%","-1.04%","-19.14%","-30.67%","-4.90%"
"Acadia","AKR","0.21%","1.56%","8.92%","4.93%","-0.76%","-4.52%"
"Aceto","ACET","0.77%","0.31%","3.81%","-68.34%","-71.14%","-85.52%"
"Acorda","ACOR","0.00%","2.48%","20.67%","34.73%","14.91%","-8.80%"
"Actuant","ATU","-0.85%","-0.17%","4.11%","15.02%","25.70%","42.93%"
"ADTRAN","ADTN","-0.29%","3.67%","3.99%","-12.40%","-23.82%","8.45%"
"Advanced Energy","AEIS","-0.27%","0.80%","-3.27%","-13.99%","-17.72%","136.03%"
"AdvanSix","ASIX","1.69%","4.02%","-14.78%","-20.09%","8.73%","-"
"Aegion","AEGN","-1.39%","1.38%","1.59%","-2.08%","18.57%","38.10%"
"Aerojet Rocketdyne","AJRD","-0.25%","0.42%","28.25%","15.38%","30.43%","74.67%"
"AeroVironment","AVAV","1.02%","1.01%","18.35%","51.92%","119.73%","255.50%"
"Agilysys","AGYS","1.52%","4.57%","3.53%","35.99%","62.77%","70.41%"
"Agree","ADC","0.51%","1.31%","8.45%","10.07%","14.66%","96.53%"
"AK Steel","AKS","0.94%","-1.83%","-18.29%","-24.20%","-18.90%","46.92%"
"Alamo","ALG","0.49%","0.52%","8.07%","-12.84%","10.13%","96.29%"
"Albany","AIN","0.00%","0.07%","16.41%","25.22%","48.70%","147.11%"
"Allegiant","ALGT","-0.59%","-0.22%","8.45%","-12.50%","13.64%","-34.86%"
"Allete","ALE","0.01%","-3.25%","-1.00%","2.73%","-0.55%","60.45%"
"AMAG","AMAG","0.41%","1.86%","11.56%","85.66%","46.43%","-62.72%"
"Amedisys","AMED","0.61%","4.35%","32.78%","136.18%","150.08%","219.37%"
"American Assets","AAT","0.33%","0.05%","7.21%","3.09%","-3.43%","-0.53%"
"American Axle&Manufacturing","AXL","1.35%","3.52%","11.62%","5.46%","29.12%","-9.66%"
"American Equity Inv. Life","AEL","1.36%","0.08%","4.41%","21.67%","32.35%","50.71%"
"American Public Education","APEI","0.70%","2.57%","-19.78%","43.31%","99.44%","64.00%"
"American States Water","AWR","-0.41%","0.61%","0.80%","5.01%","24.08%","62.77%"
"American Vanguard","AVD","2.94%","7.97%","-1.18%","6.87%","5.26%","63.42%"
"American Woodmark","AMWD","3.66%","1.92%","3.47%","-34.78%","5.99%","27.86%"
"Ameris","ABCB","-0.30%","0.50%","0.54%","3.42%","12.27%","86.91%"
"AMERISAFE","AMSF","2.48%","0.31%","1.26%","4.06%","18.70%","44.89%"
"AMN Healthcare Services","AMN","-0.09%","0.52%","-5.89%","16.75%","52.32%","66.09%"
"Amneal Pharma A","AMRX","-2.53%","7.20%","23.83%","38.56%","23.70%","-47.53%"
"Amphastar P","AMPH","-0.55%","1.12%","4.83%","-6.34%","15.88%","30.49%"
"AngioDynamics","ANGO","-1.16%","2.21%","3.83%","33.73%","35.12%","52.54%"
"ANI Pharma","ANIP","0.02%","1.60%","-15.82%","-11.08%","24.13%","14.41%"
"Anika","ANIK","-0.12%","-1.64%","3.42%","-23.17%","-21.49%","16.32%"
"Anixter","AXE","0.49%","0.35%","3.14%","-5.00%","0.91%","17.95%"
"Apogee","APOG","-0.08%","0.56%","1.40%","9.12%","17.11%","-1.69%"
"Applied Industrial Technologies","AIT","0.52%","0.85%","4.76%","13.14%","37.59%","86.16%"
"ArcBest Corp","ARCB","0.43%","2.94%","6.42%","32.17%","82.08%","62.99%"
"Archrock","AROC","0.00%","6.67%","-2.66%","21.90%","23.08%","7.38%"
"Asbury Automotive","ABG","-0.53%","0.80%","10.56%","17.73%","47.46%","-5.93%"
"ASGN","ASGN","0.39%","-0.06%","0.42%","41.33%","99.76%","151.89%"
"Assertio Therapeutics","ASRT","2.44%","-4.81%","-13.58%","-11.43%","17.08%","-75.24%"
"Astec","ASTE","1.25%","3.64%","0.35%","-17.20%","2.63%","31.49%"
"Atlas Air","AAWW","1.06%","2.99%","-7.73%","5.80%","-2.59%","50.68%"
"ATN Int","ATNI","-0.08%","0.14%","18.38%","33.24%","22.23%","3.84%"
"Avista","AVA","0.14%","-0.12%","2.63%","0.08%","-0.19%","60.98%"
"Axon Enterprise","AAXN","2.41%","2.18%","-4.67%","147.36%","203.75%","177.40%"
"AZZ","AZZ","0.37%","0.28%","0.65%","5.77%","14.03%","12.32%"
"B&G Foods","BGS","2.07%","0.00%","2.56%","-8.96%","3.23%","8.51%"
"Badger Meter","BMI","0.83%","3.99%","7.68%","14.44%","21.56%","-6.50%"
"Balchem","BCPC","1.79%","0.95%","7.53%","31.45%","42.18%","83.37%"
"Banc of California","BANC","0.00%","0.25%","-0.50%","-3.63%","5.85%","61.79%"
"Banner","BANR","-0.89%","-1.07%","4.07%","18.69%","16.26%","50.18%"
"Barnes","B","0.81%","1.32%","0.25%","8.22%","13.04%","79.15%"
"Barnes & Noble Education Inc","BNED","-3.68%","-18.38%","-2.24%","-36.41%","-24.93%","-57.78%"
"Barnes&Noble","BKS","-5.22%","-9.17%","-8.40%","-18.66%","-29.22%","-65.26%"
"Bel Fuse B","BELFB","2.03%","5.93%","25.06%","10.01%","9.92%","55.88%"
"Belmond","BEL","0.00%","0.31%","46.36%","31.43%","30.36%","41.35%"
"Benchmark Electronics","BHE","0.19%","0.78%","7.25%","-11.00%","-18.68%","22.00%"
"Big 5","BGFV","-2.54%","-1.71%","-9.45%","-24.34%","-27.67%","-47.39%"
"Biglari","BH","-0.78%","-2.21%","3.17%","-52.79%","-34.73%","-49.10%"
"BioTelemetry","BEAT","-0.25%","3.69%","11.94%","97.49%","66.34%","306.68%"
"BJs Restaurants","BJRI","5.43%","11.91%","16.72%","105.22%","137.90%","68.28%"
"Black Box","BBOX","-8.82%","-24.39%","-10.79%","-65.07%","-64.57%","-91.65%"
"Blackbaud","BLKB","2.41%","4.82%","-9.91%","8.37%","21.98%","77.35%"
"Blucora","BCOR","0.84%","4.49%","-0.82%","63.35%","54.27%","164.28%"
"BofI Holding","BOFI","-1.94%","0.53%","-2.47%","26.66%","44.27%","24.65%"
"Boise Cascad Llc","BCC","0.89%","-1.09%","5.47%","13.53%","57.02%","44.50%"
"Boston Private","BPFH","0.35%","1.79%","-2.07%","-8.09%","-4.70%","20.44%"
"Bottomline","EPAY","1.01%","5.15%","14.56%","84.40%","120.14%","139.78%"
"Boyd Gaming","BYD","-0.24%","3.02%","4.21%","5.22%","39.38%","129.78%"
"Brady","BRC","1.15%","3.93%","7.59%","4.75%","20.85%","83.97%"
"Briggs&Stratton","BGG","-0.48%","2.34%","21.47%","-18.84%","-0.63%","3.94%"
"Brinks","BCO","0.52%","0.52%","-2.20%","-1.08%","3.39%","172.39%"
"Bristow","BRS","1.18%","6.29%","-20.29%","-17.15%","30.22%","-67.81%"
"Brookline Bancorp","BRKL","-0.27%","1.11%","-1.62%","15.92%","25.95%","73.33%"
"Brooks Automation","BRKS","0.88%","2.10%","-4.57%","24.32%","19.75%","188.99%"
"Buckle","BKE","-4.50%","0.95%","14.69%","11.79%","75.83%","-34.81%"
"Cabot","CCMP","0.80%","3.24%","-5.35%","19.60%","62.02%","159.32%"
"CACI","CACI","0.81%","3.42%","9.91%","46.28%","55.07%","147.48%"
"Cal-Maine","CALM","0.00%","1.01%","11.33%","12.71%","44.80%","-0.63%"
"CalAmp","CAMP","-1.03%","-1.41%","3.73%","7.75%","24.68%","41.31%"
"Calavo Growers","CVGW","0.76%","4.63%","14.36%","25.00%","50.71%","74.38%"
"Caleres","CAL","-2.73%","2.75%","12.38%","11.71%","42.21%","17.50%"
"California Water Service","CWT","0.37%","0.12%","0.00%","-9.37%","12.14%","98.74%"
"Callaway Golf","ELY","2.35%","2.49%","19.65%","65.69%","71.09%","165.59%"
