"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Sell","Sell","Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Sell","Strong Sell","Sell","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Neutral","Neutral","Strong Sell","Strong Sell"
"Acorda","ACOR","Neutral","Strong Buy","Neutral","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Sell","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Buy","Neutral","Neutral","Buy"
"Aerojet Rocketdyne","AJRD","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Sell","Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Albany","AIN","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Neutral","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Buy","Buy","Neutral"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Neutral","Strong Sell","Strong Sell","Strong Buy"
"American States Water","AWR","Strong Buy","Neutral","Strong Buy","Strong Buy"
"American Vanguard","AVD","Neutral","Strong Sell","Strong Sell","Buy"
"American Woodmark","AMWD","Neutral","Strong Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Neutral","Strong Sell","Buy"
"AMERISAFE","AMSF","Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Buy","Neutral","Neutral","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Neutral","Strong Buy","Buy","Strong Sell"
"Anixter","AXE","Neutral","Neutral","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Sell","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Buy","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Sell","Buy","Strong Buy"
"Archrock","AROC","Strong Sell","Strong Sell","Neutral","Buy"
"Asbury Automotive","ABG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Assertio Therapeutics","ASRT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Astec","ASTE","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Neutral","Strong Sell","Strong Sell","Buy"
