"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","1.37%","8.01%","8.27%","57.80%","69.85%","172.67%"
"A Schulman","SHLM","-0.23%","0.46%","-0.68%","17.85%","63.50%","24.68%"
"AAON","AAON","1.16%","2.61%","11.81%","7.08%","18.73%","70.80%"
"AAR","AIR","-0.79%","0.45%","8.37%","18.66%","31.81%","73.89%"
"Abercrombie&Fitch","ANF","0.66%","4.57%","3.82%","49.63%","165.85%","28.41%"
"ABM Industries","ABM","-0.67%","0.16%","1.30%","-17.36%","-27.95%","-6.45%"
"Acadia","AKR","0.00%","-2.47%","-1.40%","-1.97%","-7.00%","-15.77%"
"Aceto","ACET","1.88%","1.56%","-5.23%","-68.44%","-79.48%","-87.08%"
"Acorda","ACOR","0.56%","1.90%","-9.17%","24.71%","25.29%","-16.22%"
"Actuant","ATU","0.89%","-0.88%","1.44%","11.66%","23.09%","21.24%"
"ADTRAN","ADTN","-0.31%","-1.55%","5.30%","-17.83%","-27.06%","-1.79%"
"Advanced Energy","AEIS","-2.07%","0.93%","3.25%","-9.53%","-14.22%","128.99%"
"AdvanSix","ASIX","2.61%","-2.89%","-7.61%","-16.00%","11.10%","-"
"Aegion","AEGN","-0.36%","1.34%","-3.55%","-1.65%","22.48%","32.19%"
"Aerojet Rocketdyne","AJRD","3.95%","4.74%","23.64%","14.84%","33.25%","60.89%"
"AeroVironment","AVAV","1.65%","5.32%","9.61%","40.69%","106.24%","197.37%"
"Agilysys","AGYS","1.81%","7.00%","-3.55%","28.26%","53.51%","64.06%"
"Agree","ADC","0.84%","0.26%","0.22%","5.38%","11.75%","77.27%"
"AK Steel","AKS","-2.46%","-2.89%","-5.21%","-22.79%","-14.48%","37.42%"
"Alamo","ALG","-0.45%","2.26%","6.35%","-15.08%","5.12%","86.04%"
"Albany","AIN","-0.33%","17.68%","22.90%","24.00%","51.34%","122.87%"
"Allegiant","ALGT","1.09%","4.20%","-6.29%","-15.77%","8.13%","-42.04%"
"Allete","ALE","0.71%","2.39%","0.10%","4.34%","5.85%","51.84%"
"AMAG","AMAG","0.79%","6.28%","18.41%","91.70%","48.54%","-60.37%"
"Amedisys","AMED","1.76%","3.58%","20.36%","112.77%","129.44%","146.86%"
"American Assets","AAT","0.49%","-0.15%","1.94%","1.49%","-2.41%","-4.69%"
"American Axle&Manufacturing","AXL","-2.23%","0.29%","4.15%","0.23%","18.95%","-18.17%"
"American Equity Inv. Life","AEL","-2.20%","1.58%","0.98%","17.18%","29.81%","27.74%"
"American Public Education","APEI","-21.35%","-21.09%","-22.78%","36.41%","80.79%","55.25%"
"American States Water","AWR","0.10%","-0.53%","0.37%","3.16%","20.18%","54.65%"
"American Vanguard","AVD","-1.04%","-7.06%","-11.40%","1.22%","-0.30%","71.47%"
"American Woodmark","AMWD","0.82%","-0.98%","-5.67%","-34.24%","-8.74%","34.08%"
"Ameris","ABCB","-1.06%","-0.04%","-6.27%","1.41%","13.02%","73.33%"
"AMERISAFE","AMSF","0.88%","0.40%","5.19%","1.95%","11.05%","33.36%"
"AMN Healthcare Services","AMN","2.70%","8.99%","-5.39%","15.74%","56.16%","65.22%"
"Amneal Pharma A","AMRX","-0.20%","3.98%","11.39%","20.96%","10.05%","-54.85%"
"Amphastar P","AMPH","-4.40%","-1.26%","3.00%","-10.71%","15.38%","12.14%"
"AngioDynamics","ANGO","1.41%","-0.74%","13.61%","29.46%","31.60%","43.44%"
"ANI Pharma","ANIP","-0.61%","-12.79%","-20.30%","-12.01%","28.86%","4.50%"
"Anika","ANIK","1.28%","1.09%","19.85%","-22.50%","-19.22%","15.32%"
"Anixter","AXE","-0.75%","1.60%","12.95%","-4.14%","-0.82%","15.01%"
"Apogee","APOG","-0.26%","1.22%","-0.98%","8.70%","-3.33%","-6.56%"
"Applied Industrial Technologies","AIT","0.07%","3.69%","2.83%","9.47%","34.45%","94.34%"
"ArcBest Corp","ARCB","0.27%","3.12%","8.14%","33.85%","81.59%","43.82%"
"Archrock","AROC","-1.14%","-0.00%","0.38%","24.29%","39.57%","-12.88%"
"Asbury Automotive","ABG","-0.07%","3.50%","9.83%","17.81%","44.31%","-9.95%"
"ASGN","ASGN","-0.45%","-0.37%","13.31%","42.31%","95.93%","133.50%"
"Astec","ASTE","-0.91%","0.52%","-24.71%","-21.38%","-2.00%","17.80%"
"Atlas Air","AAWW","-0.20%","-2.27%","-12.40%","5.15%","1.68%","36.59%"
"ATN Int","ATNI","3.91%","7.10%","22.40%","25.08%","16.19%","-7.64%"
"Avista","AVA","0.34%","0.32%","-3.73%","-1.38%","-2.91%","53.27%"
"Axon Enterprise","AAXN","-0.75%","-14.13%","-11.39%","123.89%","165.34%","144.86%"
"AZZ","AZZ","-1.57%","-0.65%","-2.11%","4.21%","7.47%","0.19%"
"B&G Foods","BGS","1.14%","-0.48%","0.00%","-11.81%","-4.91%","3.51%"
"Badger Meter","BMI","-0.67%","0.97%","13.65%","8.89%","17.76%","-12.03%"
"Balchem","BCPC","-1.32%","3.56%","1.32%","24.91%","35.18%","62.39%"
"Banc of California","BANC","0.75%","1.00%","2.80%","-2.18%","4.39%","65.17%"
"Banner","BANR","0.00%","1.85%","6.33%","17.98%","19.34%","37.80%"
"Barnes","B","-1.13%","1.03%","11.15%","5.09%","13.31%","63.97%"
"Barnes & Noble Education Inc","BNED","4.05%","5.84%","14.71%","-25.24%","-9.94%","-53.26%"
"Barnes&Noble","BKS","1.68%","2.54%","15.24%","-9.70%","-14.18%","-64.81%"
"Bel Fuse B","BELFB","-0.99%","1.43%","16.63%","-1.11%","-6.04%","20.00%"
"Belmond","BEL","35.43%","34.82%","33.63%","23.27%","22.27%","32.11%"
"Benchmark Electronics","BHE","-0.39%","3.23%","-13.10%","-12.20%","-20.03%","16.93%"
"Big 5","BGFV","0.00%","-0.88%","-16.30%","-25.66%","-35.43%","-49.64%"
"Biglari","BH","0.13%","1.47%","-4.12%","-55.02%","-41.91%","-55.71%"
"BioTelemetry","BEAT","-1.21%","3.63%","19.69%","91.14%","65.65%","380.25%"
"BJs Restaurants","BJRI","1.03%","4.67%","6.23%","75.55%","93.05%","37.77%"
"Black Box","BBOX","-1.35%","-1.35%","-34.23%","-58.87%","-63.95%","-91.09%"
"Blackbaud","BLKB","-0.45%","-0.48%","-14.33%","2.10%","14.02%","60.28%"
"Blucora","BCOR","-0.72%","-0.58%","-12.34%","55.88%","49.13%","149.64%"
"BofI Holding","BOFI","-0.20%","-11.33%","-11.54%","24.11%","36.53%","13.97%"
"Boise Cascad Llc","BCC","0.23%","0.23%","-2.76%","10.53%","48.99%","38.37%"
"Boston Private","BPFH","-1.05%","-2.76%","-14.55%","-8.74%","-3.42%","13.62%"
