"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.45%","0.89%","2.73%","59.93%","72.14%","185.08%"
"A Schulman","SHLM","0.00%","0.69%","0.57%","18.12%","44.03%","34.19%"
"AAON","AAON","0.35%","6.58%","18.02%","16.89%","34.91%","110.29%"
"AAR","AIR","0.24%","3.97%","-0.65%","17.33%","30.56%","89.63%"
"Abercrombie&Fitch","ANF","-0.28%","3.29%","15.86%","62.19%","151.29%","63.41%"
"ABM Industries","ABM","0.09%","4.80%","10.41%","-12.57%","-24.67%","3.55%"
"Acadia","AKR","-0.52%","2.12%","6.92%","3.91%","-0.35%","-4.18%"
"Aceto","ACET","-1.21%","1.87%","5.14%","-68.34%","-79.61%","-85.68%"
"Acorda","ACOR","0.87%","4.67%","1.57%","35.90%","26.74%","0.66%"
"Actuant","ATU","0.51%","2.42%","7.25%","17.00%","30.11%","41.02%"
"ADTRAN","ADTN","0.30%","3.04%","2.42%","-12.40%","-23.13%","12.10%"
"Advanced Energy","AEIS","0.10%","-0.29%","-0.54%","-13.29%","-17.86%","149.30%"
"AdvanSix","ASIX","-0.42%","0.21%","-14.80%","-21.04%","8.31%","-"
"Aegion","AEGN","-0.39%","3.17%","1.11%","-0.08%","23.59%","43.15%"
"Aerojet Rocketdyne","AJRD","0.30%","2.00%","26.44%","17.72%","30.76%","82.28%"
"AeroVironment","AVAV","-0.73%","2.39%","16.65%","52.33%","119.58%","268.27%"
"Agilysys","AGYS","0.88%","1.32%","-2.71%","31.35%","59.23%","74.38%"
"Agree","ADC","-0.12%","1.41%","6.68%","9.31%","13.80%","98.27%"
"AK Steel","AKS","0.00%","5.42%","-14.20%","-21.02%","-15.34%","65.56%"
"Alamo","ALG","-1.34%","1.68%","9.75%","-12.60%","11.09%","90.04%"
"Albany","AIN","-0.19%","3.04%","21.20%","27.01%","51.85%","152.43%"
"Allegiant","ALGT","-1.13%","-0.48%","-3.26%","-12.73%","17.28%","-34.86%"
"Allete","ALE","-1.72%","-1.91%","0.09%","3.73%","0.52%","59.16%"
"AMAG","AMAG","0.61%","1.84%","17.18%","87.92%","42.29%","-56.77%"
"Amedisys","AMED","1.60%","3.66%","29.63%","131.15%","146.74%","230.01%"
"American Assets","AAT","-0.53%","0.92%","5.40%","3.06%","-2.16%","1.18%"
"American Axle&Manufacturing","AXL","-1.17%","6.35%","11.08%","4.23%","28.34%","-6.87%"
"American Equity Inv. Life","AEL","-0.51%","0.84%","6.10%","21.64%","32.27%","53.83%"
"American Public Education","APEI","-1.40%","1.00%","-19.34%","40.72%","98.03%","67.54%"
"American States Water","AWR","-0.69%","1.20%","0.98%","4.92%","24.08%","67.34%"
"American Vanguard","AVD","1.77%","2.28%","-4.05%","2.54%","1.77%","68.76%"
"American Woodmark","AMWD","-2.02%","2.79%","1.92%","-34.86%","7.20%","29.40%"
"Ameris","ABCB","-0.30%","1.11%","-1.87%","3.53%","12.39%","86.89%"
"AMERISAFE","AMSF","-0.63%","-1.80%","0.72%","1.95%","14.81%","41.28%"
"AMN Healthcare Services","AMN","-0.34%","1.31%","-4.13%","17.97%","54.32%","75.79%"
"Amneal Pharma A","AMRX","1.01%","10.96%","24.68%","44.14%","32.96%","-42.39%"
"Amphastar P","AMPH","0.82%","4.97%","7.24%","-4.52%","18.98%","33.21%"
"AngioDynamics","ANGO","1.03%","4.91%","6.04%","36.26%","35.77%","58.35%"
"ANI Pharma","ANIP","1.09%","2.71%","-19.24%","-11.05%","23.37%","19.41%"
"Anika","ANIK","1.41%","0.12%","21.90%","-22.46%","-20.68%","27.36%"
"Anixter","AXE","-0.55%","1.82%","1.54%","-4.34%","1.61%","20.70%"
"Apogee","APOG","-0.57%","2.58%","3.42%","9.69%","22.16%","0.58%"
"Applied Industrial Technologies","AIT","-0.38%","2.09%","5.33%","14.54%","41.18%","96.13%"
"ArcBest Corp","ARCB","-0.52%","3.83%","7.59%","32.87%","88.12%","67.61%"
"Archrock","AROC","3.59%","8.79%","3.17%","23.81%","30.00%","17.01%"
"Asbury Automotive","ABG","-0.58%","3.43%","10.01%","20.23%","51.63%","0.54%"
"ASGN","ASGN","-0.58%","-0.50%","8.33%","41.29%","98.58%","155.80%"
"Assertio Therapeutics","ASRT","-2.03%","-0.55%","-12.03%","-10.06%","16.96%","-73.58%"
"Astec","ASTE","0.06%","4.52%","0.27%","-17.37%","3.93%","36.94%"
"Atlas Air","AAWW","-2.25%","1.54%","-10.39%","3.67%","-3.87%","52.96%"
"ATN Int","ATNI","-1.10%","3.46%","38.37%","35.27%","24.40%","4.65%"
"Avista","AVA","0.14%","0.27%","2.29%","-0.12%","-0.64%","60.32%"
"Axon Enterprise","AAXN","0.85%","2.70%","-10.92%","142.83%","194.51%","215.44%"
"AZZ","AZZ","-1.00%","0.37%","-1.19%","6.07%","15.57%","11.29%"
"B&G Foods","BGS","-1.41%","-0.32%","3.45%","-10.38%","0.64%","9.87%"
"Badger Meter","BMI","0.36%","5.96%","6.26%","15.38%","23.52%","-5.32%"
"Balchem","BCPC","0.13%","3.53%","5.51%","29.43%","40.31%","83.86%"
"Banc of California","BANC","0.00%","0.76%","4.71%","-3.15%","6.38%","67.93%"
"Banner","BANR","-0.58%","1.00%","7.27%","20.70%","19.59%","52.07%"
"Barnes","B","-1.37%","1.80%","10.86%","7.92%","13.52%","80.44%"
"Barnes & Noble Education Inc","BNED","-15.91%","-14.42%","-5.49%","-35.19%","-22.61%","-57.48%"
"Barnes&Noble","BKS","-4.20%","-8.06%","-1.72%","-14.93%","-25.49%","-63.62%"
"Bel Fuse B","BELFB","0.00%","2.33%","16.56%","4.85%","6.02%","47.98%"
"Belmond","BEL","1.24%","2.51%","45.33%","33.47%","32.93%","50.28%"
"Benchmark Electronics","BHE","-0.57%","3.14%","-10.71%","-9.79%","-16.67%","27.12%"
"Big 5","BGFV","-5.04%","-0.88%","-11.02%","-25.66%","-29.81%","-45.93%"
"Biglari","BH","-0.44%","-0.84%","6.74%","-52.22%","-32.14%","-47.73%"
