"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Sell","Buy","Strong Buy","Strong Buy"
"AAON","AAON","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Neutral","Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Neutral","Strong Sell","Sell","Strong Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Acorda","ACOR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Sell","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Buy","Neutral","Strong Sell","Sell"
"AdvanSix","ASIX","Neutral","Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Sell","Strong Sell","Neutral","Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Sell","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Alamo","ALG","Neutral","Strong Buy","Strong Buy","Buy"
"Albany","AIN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Neutral","Strong Buy","Sell","Strong Sell"
"Allete","ALE","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"AMAG","AMAG","Sell","Neutral","Strong Buy","Strong Buy"
"Amedisys","AMED","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Buy","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Buy","Strong Buy","Neutral","Buy"
"American Woodmark","AMWD","Neutral","Neutral","Strong Sell","Neutral"
"Ameris","ABCB","Strong Sell","Strong Sell","Strong Sell","Buy"
"AMERISAFE","AMSF","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Sell","Neutral","Strong Sell","Neutral"
"Anika","ANIK","Sell","Neutral","Neutral","Strong Sell"
"Anixter","AXE","Strong Sell","Buy","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Sell","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Assertio Therapeutics","ASRT","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Astec","ASTE","Strong Buy","Buy","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Neutral","Neutral","Strong Sell","Buy"
"ATN Int","ATNI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Sell","Strong Buy","Neutral","Buy"
"Axon Enterprise","AAXN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AZZ","AZZ","Neutral","Strong Buy","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Badger Meter","BMI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Banc of California","BANC","Strong Sell","Neutral","Strong Buy","Buy"
"Banner","BANR","Strong Sell","Sell","Strong Buy","Strong Buy"
"Barnes","B","Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Buy","Strong Sell","Strong Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bel Fuse B","BELFB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Belmond","BEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Benchmark Electronics","BHE","Strong Buy","Buy","Strong Sell","Sell"
"Big 5","BGFV","Sell","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Buy","Buy","Sell","Strong Sell"
"BioTelemetry","BEAT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Blucora","BCOR","Neutral","Strong Buy","Neutral","Strong Buy"
"BofI Holding","BOFI","Strong Sell","Strong Sell","Sell","Strong Buy"
"Boise Cascad Llc","BCC","Strong Sell","Sell","Neutral","Strong Buy"
"Boston Private","BPFH","Sell","Neutral","Strong Sell","Strong Sell"
"Bottomline","EPAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Neutral","Neutral","Neutral","Strong Buy"
"Brady","BRC","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Briggs&Stratton","BGG","Strong Sell","Strong Buy","Neutral","Strong Sell"
"Brinks","BCO","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Bristow","BRS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Brooks Automation","BRKS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
