"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Buy","Strong Buy","Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Neutral","Neutral","Strong Buy"
"Abercrombie&Fitch","ANF","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Buy","Strong Buy","Buy","Sell"
"Acadia","AKR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Buy","Neutral","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Neutral","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Sell","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Neutral","Neutral","Strong Sell","Strong Sell"
"Alamo","ALG","Sell","Strong Buy","Strong Buy","Buy"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Sell","Neutral","Strong Sell","Strong Sell"
"Allete","ALE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Neutral","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Sell","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Buy","Sell","Strong Sell","Neutral"
"American Woodmark","AMWD","Strong Sell","Buy","Strong Sell","Neutral"
"Ameris","ABCB","Neutral","Buy","Strong Sell","Buy"
"AMERISAFE","AMSF","Strong Sell","Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Buy","Buy","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
