"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Buy","Strong Buy","Strong Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Sell","Sell","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Sell","Strong Buy","Neutral","Strong Sell"
"Acadia","AKR","Strong Sell","Sell","Neutral","Buy"
"Aceto","ACET","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Acorda","ACOR","Neutral","Neutral","Neutral","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Sell","Strong Sell","Neutral","Strong Sell"
"Advanced Energy","AEIS","Sell","Buy","Sell","Sell"
"AdvanSix","ASIX","Neutral","Strong Sell","Strong Sell","Strong Buy"
"Aegion","AEGN","Sell","Buy","Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Neutral","Strong Buy","Neutral","Neutral"
"Albany","AIN","Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Allete","ALE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Sell","Strong Buy","Strong Buy","Neutral"
"American Equity Inv. Life","AEL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"American States Water","AWR","Sell","Neutral","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Strong Sell","Buy"
"American Woodmark","AMWD","Neutral","Neutral","Strong Sell","Neutral"
"Ameris","ABCB","Strong Sell","Sell","Strong Sell","Neutral"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Buy","Strong Sell","Neutral","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Buy"
"Amphastar P","AMPH","Strong Sell","Neutral","Buy","Neutral"
"AngioDynamics","ANGO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Strong Buy","Strong Buy","Buy","Strong Sell"
"Anixter","AXE","Neutral","Strong Buy","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Strong Sell","Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Sell","Buy"
"ATN Int","ATNI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Strong Buy","Buy","Sell","Strong Buy"
"Axon Enterprise","AAXN","Strong Sell","Strong Sell","Buy","Strong Buy"
"AZZ","AZZ","Strong Sell","Neutral","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Buy","Buy","Buy","Neutral"
"Badger Meter","BMI","Sell","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Sell","Strong Buy","Strong Buy","Strong Buy"
"Banc of California","BANC","Strong Buy","Strong Buy","Strong Buy","Buy"
"Banner","BANR","Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Strong Buy","Strong Buy","Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Buy","Strong Buy","Strong Buy","Sell"
"Bel Fuse B","BELFB","Buy","Strong Buy","Strong Buy","Buy"
"Belmond","BEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Benchmark Electronics","BHE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Big 5","BGFV","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Buy","Sell","Strong Sell","Strong Sell"
"BioTelemetry","BEAT","Sell","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Neutral","Sell","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Sell","Strong Sell","Strong Sell","Buy"
"Blucora","BCOR","Strong Sell","Strong Sell","Neutral","Strong Buy"
"BofI Holding","BOFI","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Boise Cascad Llc","BCC","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Boston Private","BPFH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bottomline","EPAY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Strong Sell","Strong Sell","Buy","Strong Buy"
"Brady","BRC","Sell","Neutral","Strong Sell","Buy"
"Briggs&Stratton","BGG","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Brinks","BCO","Strong Sell","Buy","Strong Buy","Strong Buy"
"Bristow","BRS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Sell","Strong Sell","Neutral","Strong Buy"
"Brooks Automation","BRKS","Neutral","Strong Sell","Neutral","Strong Buy"
"Buckle","BKE","Strong Buy","Strong Buy","Neutral","Buy"
"Cabot","CCMP","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CACI","CACI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Strong Buy","Strong Buy","Neutral","Strong Buy"
"CalAmp","CAMP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Caleres","CAL","Buy","Strong Buy","Strong Buy","Strong Buy"
"California Water Service","CWT","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Callaway Golf","ELY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Strong Buy","Neutral","Sell","Neutral"
"Capstead Mortgage","CMO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cardtronics","CATM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Career","CECO","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Carrizo Oil&Gas","CRZO","Strong Sell","Strong Sell","Neutral","Neutral"
"Cato","CATO","Strong Sell","Strong Sell","Buy","Strong Buy"
"Cavco","CVCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Celadon","CGIP","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Central Garden&Pet","CENT","Strong Sell","Strong Sell","Buy","Strong Buy"
"Central Garden&Pet A","CENTA","Strong Sell","Strong Sell","Sell","Strong Buy"
"Century Aluminum","CENX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CEVA","CEVA","Buy","Strong Sell","Strong Sell","Strong Sell"
"Chart Industries","GTLS","Strong Sell","Buy","Strong Buy","Strong Buy"
"Chemed","CHE","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Chemours Co","CC","Sell","Strong Buy","Neutral","Strong Buy"
"Chesapeake Lodging","CHSP","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Chuy's Holdings","CHUY","Strong Sell","Sell","Strong Buy","Strong Buy"
"Cincinnati Bell","CBB","Neutral","Strong Sell","Strong Sell","Strong Sell"
"CIRCOR","CIR","Neutral","Strong Buy","Neutral","Strong Sell"
"City Holding","CHCO","Sell","Buy","Strong Buy","Strong Buy"
"Clearwater Paper","CLW","Strong Sell","Buy","Neutral","Strong Sell"
"Cloud Peak Energy","CLD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CMTSU Liquidation","CBRI","Neutral","Neutral","Strong Sell","Strong Sell"
"Cogent","CCOI","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Coherent","COHR","Strong Sell","Neutral","Strong Buy","Neutral"
"Cohu","COHU","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Columbia Banking","COLB","Buy","Neutral","Neutral","Strong Buy"
"Comfort Systems","FIX","Buy","Strong Buy","Strong Buy","Strong Buy"
"Community Bank System","CBU","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Community Health Systems","CYH","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Computer Programs&Systems","CPSI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Comtech","CMTL","Sell","Strong Buy","Strong Buy","Strong Buy"
"CONMED","CNMD","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Consolidated Communications","CNSL","Buy","Strong Sell","Strong Sell","Strong Sell"
"Contango Oil&Gas","MCF","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cooper Stnd","CPS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Core-Mark","CORE","Buy","Strong Buy","Strong Buy","Buy"
"CoreSite","COR","Buy","Strong Buy","Strong Buy","Strong Buy"
"Corindus Vascular Robotics","CR3","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CorVel","CRVL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"CPB","CPF","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Cray","CRAY","Strong Sell","Strong Sell","Strong Sell","Sell"
"Crocs","CROX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cross Country","CCRN","Neutral","Strong Sell","Strong Sell","Strong Sell"
"CryoLife","CRY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CSG Systems","CSGS","Strong Sell","Strong Sell","Strong Sell","Sell"
"CTS Corp","CTS","Strong Sell","Sell","Strong Buy","Strong Buy"
"Cubic","CUB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Customers Bancorp","CUBI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CVB Financial","CVBF","Buy","Strong Buy","Strong Buy","Strong Buy"
"Daktronics","DAKT","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Darling Ingredients","DAR","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Dave & Buster’s Entertainment","PLAY","Buy","Strong Buy","Strong Buy","Neutral"
"Depomed","DEPO","Strong Sell","Strong Sell","Neutral","Sell"
"DHI Group","DHX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Diamondrock Hospitality","DRH","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Digi","DGII","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Dime Community","DCOM","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"DineEquity","DIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Diodes","DIOD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Diplomat Pharmacy","DPLO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Donnelley Financial Solutions","DFIN","Sell","Strong Sell","Neutral","Sell"
"Dorman","DORM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"DSP Group","DSPG","Strong Buy","Strong Sell","Sell","Buy"
"DXP Enterprises","DXPE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Eagle Pharm","EGRX","Buy","Neutral","Strong Buy","Strong Buy"
"EastGroup Properties","EGP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Ebix","EBIX","Sell","Strong Sell","Buy","Strong Buy"
"Echo Global","ECHO","Strong Sell","Buy","Strong Buy","Strong Buy"
"eHealth","EHTH","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"El Paso Electric","EE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"El Pollo Loco Holdings Inc","LOCO","Strong Buy","Buy","Strong Buy","Neutral"
"Electro Scientific","ESIO","Sell","Strong Buy","Strong Buy","Strong Buy"
"Electronics for Imaging","EFII","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Emergent Biosolutions","EBS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Employers","EIG","Neutral","Sell","Strong Buy","Strong Buy"
"Enanta","ENTA","Strong Sell","Strong Sell","Sell","Strong Buy"
"Encore Capital","ECPG","Strong Buy","Buy","Neutral","Neutral"
"Encore Wire","WIRE","Sell","Strong Buy","Strong Buy","Strong Buy"
"Engility","EGL","Neutral","Sell","Strong Buy","Strong Buy"
"Enova International Inc","ENVA","Neutral","Neutral","Buy","Strong Buy"
"Enpro Industries","NPO","Strong Sell","Neutral","Neutral","Neutral"
"ePlus","PLUS","Strong Sell","Buy","Strong Buy","Strong Buy"
"Era Group Inc","ERA","Strong Sell","Sell","Neutral","Strong Buy"
"ESCO Technologies","ESE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
