"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","2.91%","6.27%","-0.00%","50.35%","64.98%","163.03%"
"A Schulman","SHLM","0.11%","0.92%","-1.46%","17.45%","66.35%","23.48%"
"AAON","AAON","0.78%","2.25%","9.35%","5.18%","10.60%","70.04%"
"AAR","AIR","0.30%","-1.81%","-1.38%","18.48%","27.95%","74.87%"
"Abercrombie&Fitch","ANF","3.41%","8.86%","-0.81%","47.96%","151.86%","31.45%"
"ABM Industries","ABM","0.90%","0.64%","4.42%","-16.76%","-29.45%","-4.93%"
"Acadia","AKR","-1.85%","-0.33%","-2.49%","-1.35%","-9.12%","-14.75%"
"Aceto","ACET","0.93%","-0.92%","-10.50%","-68.64%","-79.95%","-86.74%"
"Acorda","ACOR","3.43%","8.82%","-11.13%","26.57%","28.07%","-15.55%"
"Actuant","ATU","-1.40%","-1.58%","-4.58%","11.07%","17.33%","22.44%"
"ADTRAN","ADTN","0.93%","0.31%","5.16%","-15.76%","-27.72%","-0.37%"
"Advanced Energy","AEIS","1.31%","0.07%","0.20%","-9.19%","-13.35%","126.71%"
"AdvanSix","ASIX","-5.03%","-14.60%","-8.04%","-17.85%","3.50%","-"
"Aegion","AEGN","1.62%","1.21%","-5.29%","-1.38%","20.75%","34.41%"
"Aerojet Rocketdyne","AJRD","0.85%","2.37%","16.16%","10.58%","27.92%","53.13%"
"AeroVironment","AVAV","1.39%","3.33%","5.54%","35.43%","98.59%","192.09%"
"Agilysys","AGYS","5.10%","-5.96%","-4.92%","25.98%","51.52%","58.34%"
"Agree","ADC","-0.20%","1.35%","-0.53%","4.90%","8.81%","76.92%"
"AK Steel","AKS","0.44%","-2.38%","-1.53%","-20.14%","-16.61%","48.68%"
"Alamo","ALG","0.94%","1.73%","3.82%","-16.18%","0.45%","85.18%"
"Albany","AIN","-0.69%","-2.80%","4.13%","4.64%","22.48%","91.65%"
"Allegiant","ALGT","1.32%","2.55%","-12.01%","-18.09%","-2.54%","-41.85%"
"Allete","ALE","1.06%","-1.23%","-4.76%","2.99%","2.28%","49.54%"
"AMAG","AMAG","0.42%","8.84%","18.52%","81.13%","29.38%","-63.11%"
"Amedisys","AMED","0.89%","16.66%","21.03%","107.23%","120.67%","134.15%"
"American Assets","AAT","-0.31%","0.83%","-0.49%","1.33%","-2.93%","-4.63%"
"American Axle&Manufacturing","AXL","0.18%","1.97%","3.90%","0.12%","16.07%","-17.71%"
"American Equity Inv. Life","AEL","0.28%","-0.50%","-0.78%","15.69%","27.88%","36.47%"
"American Public Education","APEI","-0.12%","-1.93%","-3.35%","72.65%","99.77%","82.49%"
"American States Water","AWR","1.10%","1.00%","1.20%","4.85%","20.09%","56.45%"
"American Vanguard","AVD","0.70%","-0.69%","-5.07%","9.67%","5.38%","89.87%"
"American Woodmark","AMWD","-1.97%","1.62%","-9.11%","-34.89%","-11.34%","36.38%"
"Ameris","ABCB","-0.20%","4.72%","-8.44%","1.24%","6.90%","74.66%"
"AMERISAFE","AMSF","-0.32%","-0.72%","8.43%","1.22%","9.87%","34.49%"
"AMN Healthcare Services","AMN","5.26%","-9.01%","-10.78%","11.78%","44.87%","60.96%"
