"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Sell","Neutral","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Sell","Neutral","Neutral","Strong Buy"
"AAON","AAON","Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABAXIS","ABAX","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Sell","Strong Sell","Strong Sell","Neutral"
"ABM Industries","ABM","Strong Buy","Strong Buy","Sell","Strong Sell"
"Acadia","AKR","Strong Sell","Strong Sell","Strong Sell","Sell"
"Aceto","ACET","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Actuant","ATU","Strong Sell","Neutral","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Neutral","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Buy","Neutral","Strong Sell","Sell"
"AdvanSix","ASIX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Aegion","AEGN","Strong Sell","Strong Sell","Neutral","Buy"
"Aerojet Rocketdyne","AJRD","Strong Sell","Strong Sell","Sell","Buy"
"AeroVironment","AVAV","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Agree","ADC","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Strong Buy","Buy","Strong Sell"
"Alamo","ALG","Strong Buy","Neutral","Strong Sell","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Sell","Strong Sell","Strong Sell","Strong Sell"
"Allete","ALE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AMAG","AMAG","Buy","Strong Buy","Buy","Buy"
"Amedisys","AMED","Strong Sell","Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Sell","Strong Sell","Strong Sell","Neutral"
"American Axle&Manufacturing","AXL","Strong Buy","Strong Sell","Strong Sell","Sell"
"American Equity Inv. Life","AEL","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"American States Water","AWR","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Sell","Strong Buy"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Sell"
"Ameris","ABCB","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"AMERISAFE","AMSF","Neutral","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Strong Sell","Buy","Buy","Neutral"
"Amphastar P","AMPH","Neutral","Strong Buy","Neutral","Neutral"
"AngioDynamics","ANGO","Strong Sell","Neutral","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Sell","Sell","Strong Buy","Strong Buy"
"Anika","ANIK","Strong Buy","Strong Buy","Sell","Strong Sell"
"Anixter","AXE","Strong Sell","Strong Buy","Buy","Sell"
"Apogee","APOG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Sell","Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Strong Sell","Strong Buy","Strong Buy"
"Archrock","AROC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Sell","Strong Sell","Neutral","Strong Buy"
"ASGN","ASGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Neutral","Strong Buy"
"ATN Int","ATNI","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Avista","AVA","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Axon Enterprise","AAXN","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AZZ","AZZ","Strong Sell","Neutral","Strong Buy","Buy"
"B&G Foods","BGS","Buy","Strong Buy","Strong Buy","Neutral"
"Badger Meter","BMI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Strong Sell","Sell","Strong Buy","Strong Buy"
"Banc of California","BANC","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Banner","BANR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Bel Fuse B","BELFB","Strong Sell","Neutral","Buy","Strong Sell"
"Belmond","BEL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Benchmark Electronics","BHE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Big 5","BGFV","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"BioTelemetry","BEAT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Sell","Buy","Strong Buy","Strong Buy"
"Blucora","BCOR","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"BofI Holding","BOFI","Strong Sell","Strong Sell","Sell","Strong Buy"
"Boise Cascad Llc","BCC","Strong Sell","Strong Sell","Sell","Strong Buy"
"Boston Private","BPFH","Neutral","Strong Sell","Strong Sell","Sell"
"Bottomline","EPAY","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Strong Sell","Sell","Buy","Strong Buy"
"Brady","BRC","Strong Sell","Strong Sell","Strong Sell","Buy"
"Briggs&Stratton","BGG","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Brinks","BCO","Strong Sell","Neutral","Buy","Strong Buy"
"Bristow","BRS","Strong Sell","Strong Sell","Sell","Neutral"
"Brookline Bancorp","BRKL","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Brooks Automation","BRKS","Buy","Sell","Neutral","Strong Buy"
"Buckle","BKE","Strong Sell","Strong Sell","Sell","Neutral"
"Cabot","CCMP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CACI","CACI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Neutral","Strong Sell","Sell","Strong Buy"
"CalAmp","CAMP","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Calavo Growers","CVGW","Strong Sell","Strong Sell","Buy","Strong Buy"
"Caleres","CAL","Strong Sell","Strong Sell","Neutral","Strong Buy"
"California Water Service","CWT","Strong Sell","Buy","Strong Buy","Strong Buy"
"Callaway Golf","ELY","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Capella","CPLA","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Capstead Mortgage","CMO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Sell","Strong Buy","Buy","Neutral"
"Cardtronics","CATM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Career","CECO","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Strong Sell","Strong Sell","Strong Buy","Neutral"
"Carrizo Oil&Gas","CRZO","Strong Sell","Neutral","Strong Buy","Buy"
"Cato","CATO","Strong Sell","Buy","Strong Buy","Strong Buy"
"Cavco","CVCO","Strong Sell","Sell","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Celadon","CGIP","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Central Garden&Pet","CENT","Sell","Strong Sell","Strong Buy","Strong Buy"
"Central Garden&Pet A","CENTA","Neutral","Strong Sell","Strong Buy","Strong Buy"
"Century Aluminum","CENX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CEVA","CEVA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Chart Industries","GTLS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Chemed","CHE","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Chemours Co","CC","Neutral","Buy","Strong Sell","Neutral"
"Chesapeake Lodging","CHSP","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Chuy's Holdings","CHUY","Sell","Buy","Strong Buy","Strong Buy"
"Cincinnati Bell","CBB","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CIRCOR","CIR","Strong Buy","Strong Buy","Sell","Strong Sell"
"City Holding","CHCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Clearwater Paper","CLW","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cloud Peak Energy","CLD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CMTSU Liquidation","CBRI","Neutral","Neutral","Strong Sell","Strong Sell"
"Cogent","CCOI","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Coherent","COHR","Sell","Buy","Neutral","Neutral"
"Cohu","COHU","Strong Buy","Buy","Strong Buy","Strong Buy"
"Columbia Banking","COLB","Strong Sell","Strong Sell","Strong Sell","Buy"
"Comfort Systems","FIX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Community Bank System","CBU","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Community Health Systems","CYH","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Computer Programs&Systems","CPSI","Neutral","Neutral","Strong Buy","Buy"
"Comtech","CMTL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"CONMED","CNMD","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Consolidated Communications","CNSL","Strong Sell","Strong Sell","Neutral","Strong Sell"
"Contango Oil&Gas","MCF","Strong Sell","Sell","Buy","Neutral"
"Cooper Stnd","CPS","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Core-Mark","CORE","Strong Sell","Buy","Buy","Strong Sell"
"CoreSite","COR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Corindus Vascular Robotics","CR3","Buy","Buy","Buy","Strong Sell"
"CorVel","CRVL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"CPB","CPF","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cray","CRAY","Strong Sell","Strong Sell","Sell","Strong Buy"
"Crocs","CROX","Sell","Strong Buy","Strong Buy","Strong Buy"
"Cross Country","CCRN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CryoLife","CRY","Strong Sell","Neutral","Strong Buy","Strong Buy"
"CSG Systems","CSGS","Neutral","Sell","Strong Sell","Neutral"
"CTS Corp","CTS","Strong Sell","Sell","Strong Buy","Strong Buy"
"Cubic","CUB","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Customers Bancorp","CUBI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CVB Financial","CVBF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Daktronics","DAKT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Darling Ingredients","DAR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Dave & Buster’s Entertainment","PLAY","Strong Sell","Strong Sell","Neutral","Neutral"
"Depomed","DEPO","Strong Sell","Buy","Strong Buy","Sell"
"DHI Group","DHX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Diamondrock Hospitality","DRH","Strong Sell","Strong Sell","Buy","Strong Buy"
"Digi","DGII","Neutral","Neutral","Strong Buy","Strong Buy"
"Dime Community","DCOM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"DineEquity","DIN","Neutral","Neutral","Buy","Strong Buy"
"Diodes","DIOD","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Diplomat Pharmacy","DPLO","Strong Sell","Strong Sell","Sell","Neutral"
"Donnelley Financial Solutions","DFIN","Sell","Strong Buy","Strong Buy","Neutral"
"Dorman","DORM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"DSP Group","DSPG","Strong Sell","Buy","Strong Buy","Strong Buy"
"DXP Enterprises","DXPE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Eagle Pharm","EGRX","Strong Sell","Neutral","Strong Buy","Strong Buy"
"EastGroup Properties","EGP","Neutral","Neutral","Strong Buy","Strong Buy"
"Ebix","EBIX","Strong Sell","Buy","Strong Buy","Strong Buy"
"Echo Global","ECHO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"eHealth","EHTH","Strong Sell","Neutral","Strong Buy","Strong Buy"
"El Paso Electric","EE","Buy","Strong Buy","Strong Buy","Strong Buy"
"El Pollo Loco Holdings Inc","LOCO","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Electro Scientific","ESIO","Strong Buy","Neutral","Neutral","Buy"
"Electronics for Imaging","EFII","Strong Sell","Sell","Neutral","Neutral"
"Emergent Biosolutions","EBS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Employers","EIG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Enanta","ENTA","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Encore Capital","ECPG","Neutral","Strong Sell","Strong Sell","Neutral"
"Encore Wire","WIRE","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Engility","EGL","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Enova International Inc","ENVA","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Enpro Industries","NPO","Buy","Strong Buy","Neutral","Neutral"
"ePlus","PLUS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Era Group Inc","ERA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ESCO Technologies","ESE","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Essendant Inc","ESND","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Ethan Allen Interiors","ETH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Evercore","EVR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"EW Scripps A","SSP","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"ExlServices","EXLS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Exponent","EXPO","Strong Sell","Sell","Strong Buy","Strong Buy"
"Express","EXPR","Strong Sell","Sell","Strong Buy","Buy"
"Exterran Corp","EXTN","Strong Buy","Sell","Sell","Neutral"
"EZCORP","EZPW","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Fabrinet","FN","Strong Sell","Neutral","Strong Buy","Strong Buy"
"FARO","FARO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Federal Signal","FSS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Fidelity","LION","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Fiesta","FRGI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"First Bancorp","FBP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"First Commonwealth Financial","FCF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"First Financial Bancorp","FFBC","Strong Sell","Strong Sell","Sell","Strong Buy"
"First Financial Bankshares","FFIN","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"First Midwest","FMBI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"First NBC Bank","FNBCQ","Strong Buy","Buy","Strong Sell","Strong Sell"
"FirstCash","FCFS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Five Below","FIVE","Strong Sell","Sell","Strong Buy","Strong Buy"
"Flotek","FTK","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Forestar","FOR","Neutral","Strong Buy","Neutral","Strong Buy"
"Forrester","FORR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Forward Air","FWRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
