"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Sell","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Neutral","Strong Buy","Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Sell","Strong Sell","Sell","Strong Buy"
"Abercrombie&Fitch","ANF","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Buy","Buy","Neutral","Strong Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Aceto","ACET","Strong Buy","Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Neutral","Strong Buy","Neutral","Strong Buy"
"Actuant","ATU","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Neutral","Sell","Neutral","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Sell","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Sell","Strong Sell","Strong Sell","Buy"
"Aerojet Rocketdyne","AJRD","Sell","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Sell","Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Neutral","Buy","Buy","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Sell","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Sell","Strong Sell","Sell","Neutral"
"American Equity Inv. Life","AEL","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Buy","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Strong Sell","Sell","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Sell","Strong Sell","Strong Sell","Neutral"
"AMERISAFE","AMSF","Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Sell","Strong Buy","Strong Buy","Buy"
"AngioDynamics","ANGO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Sell","Strong Buy","Buy","Strong Sell"
"Anixter","AXE","Sell","Sell","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Sell","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Sell","Sell","Neutral","Strong Buy"
"Archrock","AROC","Strong Sell","Strong Sell","Buy","Strong Buy"
"Asbury Automotive","ABG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Buy","Neutral","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Sell","Neutral"
"ATN Int","ATNI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Buy","Buy","Neutral","Strong Buy"
"Axon Enterprise","AAXN","Strong Sell","Strong Sell","Neutral","Strong Buy"
"AZZ","AZZ","Strong Sell","Neutral","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Badger Meter","BMI","Strong Sell","Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Neutral","Neutral","Strong Buy","Strong Buy"
"Banc of California","BANC","Neutral","Neutral","Strong Buy","Buy"
"Banner","BANR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Sell","Neutral","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Strong Buy","Strong Buy","Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Buy","Strong Buy","Strong Buy","Sell"
"Bel Fuse B","BELFB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Belmond","BEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Benchmark Electronics","BHE","Neutral","Neutral","Strong Sell","Strong Sell"
"Big 5","BGFV","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"BioTelemetry","BEAT","Strong Sell","Sell","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Neutral","Buy","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Sell","Strong Sell","Strong Sell","Buy"
"Blucora","BCOR","Strong Sell","Strong Sell","Neutral","Strong Buy"
"BofI Holding","BOFI","Strong Sell","Strong Sell","Sell","Strong Buy"
"Boise Cascad Llc","BCC","Neutral","Buy","Neutral","Strong Buy"
"Boston Private","BPFH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bottomline","EPAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Neutral","Strong Sell","Neutral","Strong Buy"
"Brady","BRC","Sell","Strong Sell","Strong Sell","Buy"
"Briggs&Stratton","BGG","Strong Buy","Strong Buy","Sell","Strong Sell"
"Brinks","BCO","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Bristow","BRS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Brooks Automation","BRKS","Strong Sell","Strong Sell","Sell","Strong Buy"
"Buckle","BKE","Sell","Strong Buy","Strong Buy","Strong Buy"
"Cabot","CCMP","Strong Sell","Strong Sell","Neutral","Strong Buy"
"CACI","CACI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CalAmp","CAMP","Sell","Strong Buy","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Caleres","CAL","Neutral","Strong Buy","Strong Buy","Strong Buy"
"California Water Service","CWT","Strong Sell","Strong Sell","Buy","Strong Buy"
"Callaway Golf","ELY","Buy","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Sell","Neutral","Strong Sell","Neutral"
"Capstead Mortgage","CMO","Strong Buy","Buy","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cardtronics","CATM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Career","CECO","Buy","Strong Sell","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Carrizo Oil&Gas","CRZO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cato","CATO","Strong Sell","Strong Sell","Buy","Strong Buy"
"Cavco","CVCO","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Celadon","CGIP","Strong Buy","Buy","Neutral","Strong Sell"
"Central Garden&Pet","CENT","Strong Sell","Strong Sell","Sell","Strong Buy"
"Central Garden&Pet A","CENTA","Strong Sell","Strong Sell","Strong Sell","Buy"
"Century Aluminum","CENX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CEVA","CEVA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Chart Industries","GTLS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Chemed","CHE","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Chemours Co","CC","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Chesapeake Lodging","CHSP","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Chuy's Holdings","CHUY","Neutral","Strong Sell","Strong Sell","Neutral"
"Cincinnati Bell","CBB","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CIRCOR","CIR","Strong Sell","Neutral","Neutral","Strong Sell"
"City Holding","CHCO","Sell","Neutral","Strong Buy","Strong Buy"
