"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Sell","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Sell","Neutral","Buy","Strong Buy"
"AAON","AAON","Neutral","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Sell","Strong Sell","Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Sell","Sell","Neutral","Strong Sell"
"Acadia","AKR","Strong Sell","Strong Sell","Neutral","Buy"
"Aceto","ACET","Sell","Strong Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Actuant","ATU","Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Neutral","Neutral","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Sell","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Sell","Strong Sell","Strong Sell","Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Neutral","Strong Buy","Buy","Neutral"
"Albany","AIN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Sell","Neutral","Sell","Neutral"
"American Equity Inv. Life","AEL","Strong Buy","Neutral","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"American States Water","AWR","Strong Sell","Sell","Strong Buy","Strong Buy"
"American Vanguard","AVD","Neutral","Strong Sell","Strong Sell","Buy"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Sell","Strong Sell","Strong Sell","Neutral"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Strong Sell","Sell","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Buy"
"AngioDynamics","ANGO","Strong Sell","Sell","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Buy","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Neutral","Strong Buy","Buy","Strong Sell"
"Anixter","AXE","Strong Sell","Strong Sell","Neutral","Sell"
"Apogee","APOG","Sell","Neutral","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Buy","Neutral","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Sell","Neutral","Buy","Strong Buy"
"Archrock","AROC","Strong Sell","Sell","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Sell","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Sell","Buy"
"ATN Int","ATNI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Buy","Neutral","Sell","Strong Buy"
"Axon Enterprise","AAXN","Neutral","Strong Sell","Neutral","Strong Buy"
"AZZ","AZZ","Strong Buy","Neutral","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Sell","Buy","Neutral","Neutral"
"Badger Meter","BMI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Banc of California","BANC","Strong Sell","Neutral","Strong Buy","Neutral"
"Banner","BANR","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Neutral","Strong Buy","Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Buy","Strong Buy","Strong Buy","Sell"
"Bel Fuse B","BELFB","Neutral","Strong Buy","Strong Buy","Neutral"
"Belmond","BEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Benchmark Electronics","BHE","Sell","Strong Sell","Strong Sell","Strong Sell"
"Big 5","BGFV","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"BioTelemetry","BEAT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Black Box","BBOX","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Strong Sell","Strong Sell","Strong Sell","Buy"
"Blucora","BCOR","Neutral","Strong Sell","Neutral","Strong Buy"
"BofI Holding","BOFI","Strong Sell","Strong Sell","Sell","Strong Buy"
"Boise Cascad Llc","BCC","Strong Sell","Sell","Sell","Strong Buy"
"Boston Private","BPFH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bottomline","EPAY","Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Brady","BRC","Neutral","Sell","Strong Sell","Buy"
"Briggs&Stratton","BGG","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Brinks","BCO","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Bristow","BRS","Sell","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Strong Sell","Strong Sell","Sell","Strong Buy"
"Brooks Automation","BRKS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Buckle","BKE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cabot","CCMP","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"CACI","CACI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CalAmp","CAMP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Caleres","CAL","Buy","Strong Buy","Strong Buy","Strong Buy"
"California Water Service","CWT","Strong Sell","Strong Sell","Neutral","Buy"
"Callaway Golf","ELY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Strong Sell","Sell","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Strong Buy","Buy","Neutral","Neutral"
"Capstead Mortgage","CMO","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cardtronics","CATM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Career","CECO","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Carrizo Oil&Gas","CRZO","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Cato","CATO","Buy","Strong Sell","Strong Buy","Strong Buy"
"Cavco","CVCO","Sell","Strong Buy","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Celadon","CGIP","Strong Buy","Neutral","Neutral","Strong Sell"
"Central Garden&Pet","CENT","Sell","Strong Sell","Neutral","Strong Buy"
