"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.22%","0.44%","2.96%","60.28%","72.52%","195.81%"
"AAON","AAON","-3.61%","0.36%","14.38%","12.67%","30.03%","108.42%"
"AAR","AIR","-0.72%","2.33%","-2.49%","16.49%","28.78%","94.68%"
"Abercrombie&Fitch","ANF","1.49%","3.84%","18.65%","64.60%","132.50%","66.13%"
"ABM Industries","ABM","-7.97%","-4.71%","-0.10%","-19.54%","-31.01%","-3.68%"
"Acadia","AKR","0.77%","1.34%","5.29%","4.71%","-0.97%","-0.56%"
"Aceto","ACET","-0.92%","-0.61%","6.58%","-68.64%","-71.40%","-85.38%"
"Acorda","ACOR","-0.86%","2.48%","17.72%","34.73%","14.91%","-7.87%"
"Actuant","ATU","-0.84%","0.69%","4.08%","16.01%","26.78%","48.46%"
"ADTRAN","ADTN","0.29%","3.98%","5.92%","-12.14%","-23.60%","14.63%"
"Advanced Energy","AEIS","-0.53%","1.08%","1.31%","-13.75%","-17.49%","147.55%"
"AdvanSix","ASIX","-0.48%","2.29%","-15.62%","-21.42%","6.92%","-"
"Aegion","AEGN","-0.63%","2.81%","2.06%","-0.71%","20.24%","44.04%"
"Aerojet Rocketdyne","AJRD","-1.74%","0.67%","26.37%","15.67%","30.76%","80.63%"
"AeroVironment","AVAV","-1.27%","-0.01%","14.69%","50.39%","117.51%","268.82%"
"Agilysys","AGYS","1.98%","3.01%","-0.36%","33.96%","60.33%","74.81%"
"Agree","ADC","0.18%","0.79%","6.04%","9.51%","14.07%","101.76%"
"AK Steel","AKS","-4.92%","-2.75%","-18.58%","-24.91%","-19.66%","65.37%"
"Alamo","ALG","-0.76%","0.03%","9.34%","-13.26%","9.59%","96.70%"
"Albany","AIN","-1.41%","0.07%","17.93%","25.22%","48.70%","155.14%"
"Allegiant","ALGT","0.85%","0.37%","-2.23%","-11.99%","14.31%","-35.23%"
"Allete","ALE","-0.97%","-3.27%","-0.79%","2.72%","-0.56%","63.77%"
"AMAG","AMAG","-1.61%","1.45%","12.13%","84.91%","45.83%","-58.45%"
"Amedisys","AMED","1.55%","3.71%","29.21%","134.74%","148.55%","229.51%"
"American Assets","AAT","-0.30%","-0.28%","4.91%","2.75%","-3.75%","3.72%"
"American Axle&Manufacturing","AXL","-0.17%","2.13%","13.44%","4.05%","27.39%","-7.47%"
"American Equity Inv. Life","AEL","-1.31%","-1.26%","5.43%","20.05%","30.58%","54.87%"
"American Public Education","APEI","1.13%","1.86%","-20.78%","42.32%","98.06%","70.17%"
"American States Water","AWR","0.49%","1.03%","1.34%","5.44%","24.59%","69.61%"
"American Vanguard","AVD","1.24%","4.88%","-4.23%","3.82%","2.26%","69.86%"
"American Woodmark","AMWD","-3.42%","-1.68%","-0.18%","-37.08%","2.25%","29.85%"
"Ameris","ABCB","0.20%","0.81%","0.20%","3.73%","12.61%","91.35%"
"AMERISAFE","AMSF","-0.40%","-2.11%","-0.79%","1.54%","15.83%","42.42%"
"AMN Healthcare Services","AMN","-0.95%","0.61%","-6.19%","16.85%","52.45%","73.66%"
"Amneal Pharma A","AMRX","-1.38%","9.99%","23.93%","42.16%","26.92%","-42.31%"
