"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.46%","0.00%","8.52%","53.55%","58.61%","158.97%"
"A Schulman","SHLM","-0.35%","-1.37%","-2.93%","15.57%","66.22%","13.08%"
"AAON","AAON","0.83%","3.24%","8.92%","-0.14%","-2.27%","59.21%"
"AAR","AIR","0.70%","7.86%","-1.36%","19.83%","27.93%","58.15%"
"ABAXIS","ABAX","0.00%","0.01%","0.33%","68.19%","60.82%","54.16%"
"Abercrombie&Fitch","ANF","1.01%","9.54%","-2.40%","54.16%","179.31%","24.74%"
"ABM Industries","ABM","1.32%","-3.32%","-1.18%","-20.41%","-31.73%","-7.83%"
"Acadia","AKR","1.67%","-0.70%","-2.12%","-2.08%","-6.75%","-14.55%"
"Aceto","ACET","0.92%","-6.02%","-21.53%","-68.25%","-78.80%","-87.16%"
"Acorda","ACOR","1.57%","-1.19%","-4.43%","35.90%","39.47%","-17.40%"
"Actuant","ATU","-0.18%","1.45%","-3.44%","10.87%","15.20%","21.96%"
"ADTRAN","ADTN","2.49%","5.65%","8.22%","-14.99%","-30.88%","0.92%"
"Advanced Energy","AEIS","-0.72%","1.07%","-0.90%","-10.40%","-20.21%","131.56%"
"AdvanSix","ASIX","2.22%","4.13%","2.95%","-4.73%","17.95%","-"
"Aegion","AEGN","1.06%","0.47%","-3.71%","1.10%","7.75%","45.34%"
"Aerojet Rocketdyne","AJRD","-0.46%","2.08%","3.93%","-2.53%","32.16%","27.13%"
"AeroVironment","AVAV","0.62%","2.52%","25.38%","33.44%","96.64%","165.93%"
"Agilysys","AGYS","0.06%","-0.60%","6.13%","33.88%","56.72%","73.05%"
"Agree","ADC","2.43%","0.52%","1.27%","5.79%","15.17%","76.12%"
"AK Steel","AKS","-1.63%","5.23%","2.33%","-14.66%","-25.23%","80.22%"
"Alamo","ALG","1.10%","1.04%","-2.48%","-19.65%","-1.53%","74.37%"
"Albany","AIN","0.55%","2.98%","3.56%","4.07%","17.56%","64.48%"
"Allegiant","ALGT","0.52%","3.42%","-1.78%","-7.08%","-0.35%","-28.51%"
