"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","1.39%","3.78%","11.99%","55.67%","59.06%","146.08%"
"A Schulman","SHLM","-0.23%","-1.04%","-3.59%","15.30%","61.34%","15.96%"
"AAON","AAON","0.27%","2.80%","11.03%","0.14%","-1.47%","62.61%"
"AAR","AIR","-0.70%","2.43%","-1.14%","18.99%","28.12%","63.58%"
"ABAXIS","ABAX","0.01%","0.02%","0.11%","68.21%","62.85%","49.66%"
"Abercrombie&Fitch","ANF","-2.64%","3.97%","-6.34%","50.09%","173.64%","24.93%"
"ABM Industries","ABM","-0.27%","-4.59%","-1.77%","-20.63%","-31.88%","-8.13%"
"Acadia","AKR","-0.82%","-1.59%","-6.41%","-2.89%","-7.16%","-14.48%"
"Aceto","ACET","-1.52%","-5.56%","-19.25%","-68.73%","-78.83%","-87.01%"
"Acorda","ACOR","-1.37%","-3.52%","-2.38%","34.03%","39.23%","-17.27%"
"Actuant","ATU","-0.18%","-1.23%","-5.88%","10.67%","16.42%","22.32%"
"ADTRAN","ADTN","0.30%","5.43%","14.98%","-14.73%","-29.18%","0.67%"
"Advanced Energy","AEIS","-1.03%","1.18%","-1.66%","-11.32%","-20.22%","124.04%"
"AdvanSix","ASIX","-2.40%","1.85%","2.06%","-7.01%","15.33%","-"
"Aegion","AEGN","-1.36%","-1.01%","-2.57%","-0.28%","6.96%","49.00%"
"Aerojet Rocketdyne","AJRD","-0.43%","0.17%","3.70%","-2.95%","30.40%","30.52%"
"AeroVironment","AVAV","0.40%","2.55%","26.62%","33.97%","96.45%","182.11%"
"Agilysys","AGYS","-0.36%","-0.67%","5.95%","33.39%","57.80%","78.63%"
"Agree","ADC","-1.71%","-1.15%","-0.45%","3.99%","13.21%","75.90%"
"AK Steel","AKS","0.83%","5.64%","-0.20%","-13.96%","-21.45%","83.08%"
"Alamo","ALG","0.64%","1.44%","-0.88%","-19.14%","-0.86%","78.16%"
"Albany","AIN","0.70%","2.38%","4.89%","4.80%","19.59%","71.37%"
"Allegiant","ALGT","0.28%","0.70%","0.03%","-6.82%","-0.41%","-29.02%"
"Allete","ALE","-1.14%","-0.06%","1.59%","4.25%","5.54%","69.78%"
"AMAG","AMAG","-1.35%","0.46%","0.46%","64.91%","13.21%","-69.36%"
"Amedisys","AMED","0.22%","1.71%","10.01%","81.37%","61.08%","113.97%"
