"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Buy","Neutral","Neutral","Strong Buy"
"AAON","AAON","Sell","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Sell","Buy","Strong Buy","Strong Buy"
"ABAXIS","ABAX","Sell","Neutral","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Sell","Strong Sell","Neutral","Strong Buy"
"ABM Industries","ABM","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Acadia","AKR","Strong Sell","Neutral","Neutral","Neutral"
"Aceto","ACET","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Sell","Neutral","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Sell","Sell","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Neutral","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Neutral"
"AdvanSix","ASIX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Aegion","AEGN","Strong Sell","Strong Sell","Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Sell","Strong Sell","Buy","Buy"
"AeroVironment","AVAV","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Strong Buy","Buy","Strong Sell"
"Alamo","ALG","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Allete","ALE","Neutral","Sell","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Sell","Neutral","Sell","Neutral"
"Amedisys","AMED","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Sell","Sell","Neutral","Neutral"
"American Axle&Manufacturing","AXL","Strong Sell","Strong Sell","Strong Sell","Sell"
"American Equity Inv. Life","AEL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"American States Water","AWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Sell"
"Ameris","ABCB","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Neutral","Neutral"
"AngioDynamics","ANGO","Strong Sell","Neutral","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Anika","ANIK","Sell","Neutral","Strong Sell","Strong Sell"
"Anixter","AXE","Neutral","Strong Buy","Buy","Neutral"
"Apogee","APOG","Neutral","Neutral","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Sell","Strong Sell","Buy","Strong Buy"
"Archrock","AROC","Strong Sell","Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Sell","Strong Buy","Neutral","Strong Buy"
"ASGN","ASGN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Neutral","Strong Buy"
"ATN Int","ATNI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Avista","AVA","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Axon Enterprise","AAXN","Sell","Strong Buy","Strong Buy","Strong Buy"
"AZZ","AZZ","Neutral","Strong Buy","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Sell","Strong Sell","Neutral","Neutral"
"Badger Meter","BMI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Strong Sell","Sell","Strong Buy","Strong Buy"
"Banc of California","BANC","Strong Sell","Strong Sell","Sell","Sell"
"Banner","BANR","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Barnes&Noble","BKS","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Bel Fuse B","BELFB","Neutral","Strong Buy","Strong Buy","Neutral"
"Belmond","BEL","Strong Sell","Strong Sell","Sell","Strong Sell"
"Benchmark Electronics","BHE","Strong Sell","Strong Sell","Neutral","Neutral"
"Big 5","BGFV","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"BioTelemetry","BEAT","Strong Sell","Neutral","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Blucora","BCOR","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"BofI Holding","BOFI","Strong Sell","Buy","Buy","Strong Buy"
"Boise Cascad Llc","BCC","Strong Sell","Strong Sell","Sell","Strong Buy"
"Boston Private","BPFH","Strong Sell","Strong Sell","Strong Sell","Sell"
"Bottomline","EPAY","Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Sell","Strong Buy","Strong Buy","Strong Buy"
"Brady","BRC","Strong Sell","Strong Sell","Strong Sell","Buy"
"Briggs&Stratton","BGG","Sell","Strong Sell","Strong Sell","Strong Sell"
"Brinks","BCO","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Bristow","BRS","Strong Buy","Strong Buy","Buy","Neutral"
"Brookline Bancorp","BRKL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Brooks Automation","BRKS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Buckle","BKE","Strong Sell","Strong Sell","Sell","Neutral"
"Cabot","CCMP","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CACI","CACI","Strong Sell","Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Neutral","Strong Sell","Sell","Strong Buy"
"CalAmp","CAMP","Strong Sell","Sell","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Neutral","Sell","Strong Buy","Strong Buy"
"Caleres","CAL","Sell","Strong Buy","Strong Buy","Strong Buy"
"California Water Service","CWT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Callaway Golf","ELY","Strong Sell","Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Strong Buy","Sell","Strong Sell","Buy"
"Capella","CPLA","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Capstead Mortgage","CMO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Strong Buy","Strong Buy","Buy","Neutral"
"Cardtronics","CATM","Strong Sell","Neutral","Neutral","Sell"
"Career","CECO","Sell","Strong Buy","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Strong Sell","Sell","Strong Buy","Strong Buy"
"Carrizo Oil&Gas","CRZO","Strong Buy","Buy","Strong Buy","Buy"
"Cato","CATO","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Cavco","CVCO","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Strong Sell","Neutral","Neutral","Sell"
"Celadon","CGIP","Strong Sell","Sell","Neutral","Strong Sell"
"Central Garden&Pet","CENT","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Central Garden&Pet A","CENTA","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Century Aluminum","CENX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CEVA","CEVA","Strong Sell","Strong Sell","Strong Sell","Sell"
"Chart Industries","GTLS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Chemed","CHE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Chemours Co","CC","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Chesapeake Lodging","CHSP","Strong Sell","Buy","Strong Buy","Strong Buy"
"Chuy's Holdings","CHUY","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Cincinnati Bell","CBB","Neutral","Strong Sell","Strong Sell","Strong Sell"
"CIRCOR","CIR","Neutral","Neutral","Strong Sell","Strong Sell"
"City Holding","CHCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Clearwater Paper","CLW","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cloud Peak Energy","CLD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CMTSU Liquidation","CBRI","Neutral","Sell","Strong Sell","Strong Sell"
"Cogent","CCOI","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Coherent","COHR","Neutral","Strong Buy","Neutral","Neutral"
"Cohu","COHU","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Columbia Banking","COLB","Neutral","Strong Buy","Neutral","Strong Buy"
"Comfort Systems","FIX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Community Bank System","CBU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Community Health Systems","CYH","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Computer Programs&Systems","CPSI","Neutral","Strong Buy","Strong Buy","Buy"
"Comtech","CMTL","Strong Sell","Sell","Strong Buy","Strong Buy"
"CONMED","CNMD","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Consolidated Communications","CNSL","Strong Buy","Strong Buy","Buy","Strong Sell"
"Contango Oil&Gas","MCF","Strong Sell","Sell","Strong Buy","Neutral"
"Cooper Stnd","CPS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Core-Mark","CORE","Neutral","Strong Buy","Buy","Strong Sell"
"CoreSite","COR","Sell","Neutral","Strong Buy","Strong Buy"
"Corindus Vascular Robotics","CR3","Strong Buy","Strong Buy","Buy","Strong Sell"
"CorVel","CRVL","Strong Sell","Buy","Strong Buy","Strong Buy"
"CPB","CPF","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Cray","CRAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Crocs","CROX","Strong Sell","Strong Sell","Buy","Strong Buy"
"Cross Country","CCRN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
