"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Neutral","Strong Buy","Neutral","Strong Sell"
"Acadia","AKR","Sell","Neutral","Neutral","Buy"
"Aceto","ACET","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Sell","Neutral","Neutral","Strong Buy"
"Actuant","ATU","Strong Sell","Neutral","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Sell","Strong Sell","Neutral","Strong Sell"
"Advanced Energy","AEIS","Strong Buy","Strong Buy","Neutral","Neutral"
"AdvanSix","ASIX","Neutral","Strong Sell","Strong Sell","Strong Buy"
"Aegion","AEGN","Strong Buy","Buy","Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Neutral","Neutral","Strong Buy","Strong Buy"
"Agree","ADC","Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Sell","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Neutral","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Neutral","Sell","Strong Sell","Strong Sell"
"Allete","ALE","Strong Buy","Neutral","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Neutral","Strong Sell","Strong Buy","Strong Buy"
"American States Water","AWR","Strong Sell","Neutral","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Strong Sell","Buy"
"American Woodmark","AMWD","Neutral","Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Neutral","Strong Sell","Buy"
"AMERISAFE","AMSF","Neutral","Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Neutral","Strong Sell","Sell","Strong Buy"
"Amneal Pharma A","AMRX","Buy","Strong Buy","Strong Buy","Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Strong Sell","Sell","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Sell","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Neutral","Strong Buy","Buy","Strong Sell"
"Anixter","AXE","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Apogee","APOG","Sell","Strong Buy","Strong Buy","Strong Buy"
