"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Buy","Strong Buy","Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Neutral","Neutral","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Buy","Strong Buy","Buy","Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Strong Buy","Buy","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Neutral","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Neutral","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Strong Buy","Buy"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Neutral","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Neutral","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Buy","Strong Sell","Strong Sell","Buy"
"American Woodmark","AMWD","Strong Buy","Buy","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Buy","Sell","Neutral"
"AMERISAFE","AMSF","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Buy","Buy","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
