"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.67%","1.81%","0.90%","59.22%","72.03%","173.45%"
"A Schulman","SHLM","0.00%","0.57%","2.09%","18.12%","44.03%","29.22%"
"AAON","AAON","1.42%","7.01%","16.96%","16.49%","34.22%","97.28%"
"AAR","AIR","1.97%","2.82%","-1.08%","17.05%","30.91%","83.96%"
"Abercrombie&Fitch","ANF","0.25%","6.02%","8.95%","62.65%","195.01%","72.34%"
"ABM Industries","ABM","2.04%","5.78%","10.42%","-12.65%","-24.63%","0.06%"
"Acadia","AKR","0.39%","3.48%","6.48%","4.46%","-1.07%","-8.81%"
"Aceto","ACET","0.15%","2.48%","4.09%","-67.96%","-79.18%","-86.44%"
"Acorda","ACOR","1.94%","3.40%","3.03%","34.73%","27.59%","-3.34%"
"Actuant","ATU","1.20%","3.51%","6.70%","16.40%","30.31%","36.98%"
"ADTRAN","ADTN","2.11%","5.30%","1.20%","-12.66%","-22.12%","8.40%"
"Advanced Energy","AEIS","1.67%","-1.15%","-1.50%","-13.38%","-17.13%","133.33%"
"AdvanSix","ASIX","0.76%","0.76%","-13.78%","-20.70%","8.42%","-"
"Aegion","AEGN","2.04%","4.29%","1.88%","0.31%","24.14%","39.86%"
"Aerojet Rocketdyne","AJRD","2.26%","1.22%","23.47%","17.37%","30.18%","77.59%"
"AeroVironment","AVAV","1.25%","5.85%","15.55%","53.45%","123.44%","253.49%"
"Agilysys","AGYS","0.88%","0.95%","-2.62%","30.21%","59.10%","66.04%"
"Agree","ADC","0.30%","3.02%","6.17%","9.45%","13.44%","90.01%"
"AK Steel","AKS","1.59%","9.56%","-11.31%","-21.02%","-17.07%","61.96%"
"Alamo","ALG","1.17%","4.08%","10.54%","-11.41%","11.46%","101.67%"
"Albany","AIN","1.49%","0.97%","22.86%","27.26%","53.03%","145.83%"
"Allegiant","ALGT","-0.11%","0.44%","-5.63%","-11.73%","17.91%","-36.20%"
"Allete","ALE","-0.06%","0.84%","1.66%","5.54%","2.62%","54.95%"
"AMAG","AMAG","2.70%","-0.20%","14.58%","86.79%","42.65%","-58.72%"
"Amedisys","AMED","0.34%","3.26%","24.54%","127.51%","140.42%","196.10%"
"American Assets","AAT","-0.05%","1.67%","5.60%","3.61%","-1.34%","-3.32%"
"American Axle&Manufacturing","AXL","1.47%","9.91%","13.03%","5.46%","29.96%","-8.18%"
"American Equity Inv. Life","AEL","0.43%","3.27%","5.95%","22.26%","33.99%","47.62%"
"American Public Education","APEI","-1.11%","2.29%","-19.03%","42.71%","99.16%","68.16%"
"American States Water","AWR","0.54%","2.96%","1.93%","5.65%","24.98%","61.42%"
"American Vanguard","AVD","3.94%","2.33%","-4.58%","0.76%","-1.00%","62.96%"
"American Woodmark","AMWD","3.71%","6.32%","0.17%","-33.51%","7.58%","27.73%"
"Ameris","ABCB","0.81%","2.77%","-4.03%","3.84%","14.53%","81.08%"
"AMERISAFE","AMSF","-0.08%","-0.63%","1.61%","2.60%","15.96%","34.73%"
"AMN Healthcare Services","AMN","2.28%","3.46%","-4.43%","18.38%","54.85%","70.87%"
"Amneal Pharma A","AMRX","-2.10%","8.34%","23.30%","42.70%","32.00%","-45.28%"
"Amphastar P","AMPH","1.45%","3.05%","7.81%","-5.30%","17.62%","32.12%"
"AngioDynamics","ANGO","1.77%","4.18%","3.51%","34.88%","36.35%","52.48%"
"ANI Pharma","ANIP","1.03%","1.27%","-19.31%","-12.01%","25.13%","14.84%"
"Anika","ANIK","0.00%","-0.75%","17.94%","-23.54%","-21.68%","18.18%"
"Anixter","AXE","0.55%","2.96%","0.83%","-3.82%","2.45%","20.61%"
"Apogee","APOG","1.65%","3.87%","4.32%","10.32%","23.02%","-2.23%"
"Applied Industrial Technologies","AIT","1.49%","2.55%","4.47%","14.98%","42.49%","95.41%"
"ArcBest Corp","ARCB","1.38%","6.11%","0.42%","33.57%","86.89%","62.03%"
"Archrock","AROC","0.00%","3.72%","-1.18%","19.52%","26.77%","5.73%"
"Asbury Automotive","ABG","1.78%","4.03%","11.61%","20.94%","52.06%","-1.90%"
"ASGN","ASGN","1.25%","1.46%","7.40%","42.12%","98.61%","142.99%"
"Assertio Therapeutics","ASRT","-2.12%","-8.08%","-10.53%","-8.20%","25.04%","-74.30%"
"Astec","ASTE","3.80%","6.90%","-20.54%","-17.42%","3.49%","33.16%"
"Atlas Air","AAWW","1.63%","6.42%","-9.33%","6.05%","-1.43%","48.88%"
"ATN Int","ATNI","1.79%","5.09%","38.76%","36.77%","26.43%","2.58%"
"Avista","AVA","0.37%","0.49%","2.01%","-0.25%","-0.77%","53.54%"
"Axon Enterprise","AAXN","-0.55%","4.57%","-14.80%","140.79%","194.87%","199.72%"
"AZZ","AZZ","1.96%","2.53%","-0.09%","7.14%","16.00%","9.30%"
"B&G Foods","BGS","-2.59%","2.08%","3.90%","-9.10%","-0.62%","7.90%"
"Badger Meter","BMI","1.67%","6.08%","4.57%","14.96%","22.66%","-7.49%"
"Balchem","BCPC","0.83%","4.41%","5.03%","29.26%","41.63%","80.37%"
"Banc of California","BANC","0.00%","0.76%","3.09%","-3.15%","7.24%","62.34%"
"Banner","BANR","1.33%","2.15%","7.07%","21.41%","20.36%","46.63%"
"Barnes","B","1.82%","5.49%","13.03%","9.42%","14.75%","78.06%"
"Barnes & Noble Education Inc","BNED","-2.01%","1.93%","20.27%","-22.94%","-6.48%","-50.66%"
