"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","1.36%","-0.22%","3.71%","58.51%","69.32%","161.40%"
"A Schulman","SHLM","-0.11%","-0.23%","1.16%","17.32%","47.88%","21.83%"
"AAON","AAON","0.75%","3.21%","10.73%","9.67%","27.17%","74.70%"
"AAR","AIR","-0.89%","-3.71%","-5.34%","12.83%","25.83%","68.36%"
"Abercrombie&Fitch","ANF","2.36%","0.85%","2.89%","57.03%","183.33%","52.31%"
"ABM Industries","ABM","1.03%","1.91%","6.21%","-16.57%","-26.71%","-6.78%"
"Acadia","AKR","0.83%","4.58%","5.69%","1.79%","-2.42%","-13.99%"
"Aceto","ACET","-0.62%","2.23%","-1.23%","-68.93%","-79.85%","-87.34%"
"Acorda","ACOR","-0.36%","3.53%","-2.96%","29.84%","27.17%","-10.59%"
"Actuant","ATU","1.93%","2.84%","3.20%","14.62%","26.09%","25.16%"
"ADTRAN","ADTN","2.49%","3.46%","2.49%","-14.99%","-23.84%","1.86%"
"Advanced Energy","AEIS","-0.76%","-1.43%","-3.65%","-13.04%","-17.45%","124.66%"
"AdvanSix","ASIX","0.11%","-2.50%","-15.46%","-21.20%","6.56%","-"
"Aegion","AEGN","0.69%","-0.81%","-3.18%","-3.15%","21.33%","32.78%"
"Aerojet Rocketdyne","AJRD","-0.44%","-0.66%","17.91%","15.45%","32.96%","62.40%"
"AeroVironment","AVAV","2.62%","4.71%","12.18%","48.77%","122.98%","225.48%"
"Agilysys","AGYS","0.51%","-0.19%","-3.10%","29.64%","54.11%","67.23%"
"Agree","ADC","1.54%","3.28%","4.44%","7.87%","13.64%","81.82%"
"AK Steel","AKS","4.17%","-1.39%","-13.44%","-24.91%","-19.05%","35.78%"
"Alamo","ALG","1.10%","1.69%","8.28%","-13.95%","9.18%","91.80%"
"Albany","AIN","-2.07%","-0.13%","19.26%","23.43%","50.50%","125.95%"
