"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-1.90%","0.83%","3.92%","55.89%","63.66%","157.08%"
"A Schulman","SHLM","-0.23%","-0.23%","0.69%","17.32%","54.14%","22.75%"
"AAON","AAON","0.00%","0.65%","9.09%","6.27%","19.27%","67.89%"
"AAR","AIR","-0.20%","-1.37%","0.68%","16.95%","28.17%","72.42%"
"Abercrombie&Fitch","ANF","-1.51%","1.60%","6.24%","53.36%","185.27%","40.54%"
"ABM Industries","ABM","-0.42%","-2.19%","-2.01%","-18.48%","-29.71%","-8.67%"
"Acadia","AKR","-0.08%","-0.93%","-1.44%","-2.74%","-7.89%","-17.49%"
"Aceto","ACET","1.27%","-1.85%","-7.02%","-69.22%","-80.66%","-87.44%"
"Acorda","ACOR","3.16%","3.35%","-6.88%","29.37%","30.90%","-12.85%"
"Actuant","ATU","0.00%","0.36%","-0.53%","11.46%","22.08%","21.81%"
"ADTRAN","ADTN","1.26%","-1.23%","2.88%","-16.80%","-25.81%","0.94%"
"Advanced Energy","AEIS","0.07%","-2.95%","0.73%","-11.72%","-17.08%","123.61%"
"AdvanSix","ASIX","-0.29%","-1.48%","-11.74%","-19.42%","5.81%","-"
"Aegion","AEGN","-1.65%","-2.94%","-4.68%","-3.97%","18.43%","28.19%"
"Aerojet Rocketdyne","AJRD","1.16%","6.72%","21.34%","17.56%","34.46%","62.66%"
"AeroVironment","AVAV","0.96%","4.91%","9.80%","43.45%","113.29%","206.54%"
"Agilysys","AGYS","-0.69%","3.80%","-3.94%","28.99%","51.15%","68.87%"
"Agree","ADC","-0.30%","-0.11%","-1.00%","4.14%","9.73%","76.68%"
"AK Steel","AKS","-0.93%","-4.90%","-7.38%","-24.56%","-18.51%","35.56%"
"Alamo","ALG","0.18%","-0.55%","6.36%","-15.22%","5.08%","86.09%"
"Albany","AIN","-0.59%","0.73%","20.03%","22.86%","49.06%","121.47%"
"Allegiant","ALGT","1.11%","3.12%","-7.65%","-14.54%","6.35%","-42.68%"
"Allete","ALE","0.41%","1.16%","-0.01%","4.30%","4.82%","50.08%"
"AMAG","AMAG","-1.17%","1.60%","16.55%","91.32%","52.71%","-59.73%"
"Amedisys","AMED","-0.04%","5.22%","21.18%","116.09%","130.85%","150.99%"
"American Assets","AAT","-0.80%","-0.88%","0.29%","0.10%","-5.50%","-8.20%"
"American Axle&Manufacturing","AXL","-1.69%","-6.07%","-2.17%","-4.58%","13.64%","-24.24%"
"American Equity Inv. Life","AEL","0.20%","-0.99%","1.13%","16.95%","27.85%","28.04%"
"American Public Education","APEI","-0.66%","-21.52%","-23.46%","36.13%","81.38%","54.79%"
"American States Water","AWR","-0.57%","-1.98%","-0.34%","2.42%","18.29%","51.73%"
"American Vanguard","AVD","0.77%","-4.63%","-11.94%","-0.51%","-1.76%","70.30%"
"American Woodmark","AMWD","-2.97%","-4.45%","-11.01%","-37.35%","-13.88%","24.81%"
"Ameris","ABCB","-0.61%","-0.41%","-5.27%","0.73%","8.25%","71.68%"
"AMERISAFE","AMSF","0.24%","1.61%","6.77%","2.44%","11.19%","32.67%"
"AMN Healthcare Services","AMN","-2.12%","0.18%","-7.05%","12.39%","49.19%","57.07%"
"Amneal Pharma A","AMRX","5.52%","5.62%","14.18%","28.65%","17.05%","-52.58%"
"Amphastar P","AMPH","1.79%","-0.96%","6.65%","-8.37%","19.12%","20.42%"
"AngioDynamics","ANGO","0.00%","-0.51%","3.64%","28.38%","28.31%","43.48%"
"ANI Pharma","ANIP","0.33%","1.40%","-19.26%","-11.20%","29.98%","4.51%"
"Anika","ANIK","0.22%","-0.26%","17.47%","-23.04%","-20.52%","15.38%"
"Anixter","AXE","-2.10%","-3.98%","8.04%","-8.03%","-4.96%","12.25%"
"Apogee","APOG","-0.02%","-1.32%","-2.11%","7.54%","-2.58%","-9.38%"
"Applied Industrial Technologies","AIT","2.15%","-0.14%","0.75%","8.30%","30.53%","80.89%"
"ArcBest Corp","ARCB","-2.34%","-3.97%","3.15%","28.39%","76.54%","40.75%"
"Archrock","AROC","-4.31%","-3.18%","-0.16%","21.71%","36.68%","-9.81%"
"Asbury Automotive","ABG","-0.47%","0.20%","10.84%","16.64%","45.80%","-10.83%"
"ASGN","ASGN","-1.68%","-2.96%","8.29%","39.05%","88.70%","127.12%"
"Astec","ASTE","-0.39%","-1.16%","-25.06%","-21.23%","-3.38%","19.41%"
"Atlas Air","AAWW","-0.66%","-3.42%","-14.61%","2.64%","-4.22%","33.60%"
"ATN Int","ATNI","2.90%","6.92%","26.78%","30.31%","20.24%","-2.86%"
"Avista","AVA","-0.04%","-0.06%","1.06%","-1.59%","-2.39%","50.04%"
"Axon Enterprise","AAXN","-0.80%","-9.82%","-10.05%","130.11%","181.92%","154.19%"
"AZZ","AZZ","0.37%","-1.02%","-2.01%","4.79%","7.96%","0.28%"
"B&G Foods","BGS","-1.43%","-0.32%","3.00%","-11.95%","-1.90%","4.24%"
"Badger Meter","BMI","0.86%","-0.28%","14.44%","10.25%","17.11%","-14.32%"
"Balchem","BCPC","-0.29%","-2.28%","0.90%","23.26%","33.09%","64.49%"
"Banc of California","BANC","-1.62%","-0.85%","3.57%","-4.46%","1.44%","57.09%"
"Banner","BANR","-0.66%","-0.63%","7.08%","17.24%","15.52%","34.79%"
"Barnes","B","-0.54%","-1.94%","8.29%","4.08%","10.26%","58.75%"
"Barnes & Noble Education Inc","BNED","-2.15%","5.66%","12.61%","-25.24%","-7.78%","-55.13%"
"Barnes&Noble","BKS","0.41%","3.73%","13.33%","-8.66%","-16.16%","-65.62%"
"Bel Fuse B","BELFB","-0.41%","1.24%","20.05%","-2.50%","-7.88%","21.96%"
"Belmond","BEL","0.80%","40.00%","36.35%","28.00%","24.94%","33.45%"
"Benchmark Electronics","BHE","-0.20%","0.00%","-14.00%","-12.37%","-19.94%","16.44%"
"Big 5","BGFV","3.48%","3.48%","-11.85%","-21.71%","-27.88%","-46.35%"
"Biglari","BH","2.24%","4.45%","-0.04%","-53.54%","-39.19%","-54.69%"
"BioTelemetry","BEAT","-3.07%","-4.00%","12.08%","84.62%","51.03%","375.04%"
"BJs Restaurants","BJRI","-1.33%","1.04%","2.11%","73.21%","91.64%","36.53%"
"Black Box","BBOX","1.34%","2.03%","-33.77%","-57.46%","-62.25%","-90.48%"
"Blackbaud","BLKB","0.87%","-1.05%","-15.59%","2.11%","13.98%","53.19%"
"Blucora","BCOR","0.00%","-0.86%","-8.32%","57.01%","49.25%","150.90%"
"BofI Holding","BOFI","-1.18%","-9.25%","-8.85%","23.31%","31.77%","14.79%"
"Boise Cascad Llc","BCC","-0.57%","-1.48%","-4.93%","8.65%","45.47%","37.58%"
"Boston Private","BPFH","-1.42%","-3.15%","-13.71%","-10.36%","-7.05%","11.16%"
"Bottomline","EPAY","-0.36%","4.49%","7.94%","69.64%","100.65%","125.40%"
"Boyd Gaming","BYD","-1.94%","-4.52%","-9.88%","-1.85%","30.20%","96.01%"
"Brady","BRC","0.13%","0.13%","-4.71%","-1.32%","15.08%","57.21%"
"Briggs&Stratton","BGG","0.00%","-3.59%","-6.83%","-32.24%","-27.77%","-14.01%"
"Brinks","BCO","-1.95%","-3.35%","-6.32%","-1.14%","2.71%","156.26%"
"Bristow","BRS","-3.41%","-3.41%","-21.66%","-15.96%","52.15%","-71.64%"
"Brookline Bancorp","BRKL","-1.12%","-1.12%","-3.28%","12.74%","25.98%","63.89%"
"Brooks Automation","BRKS","-0.97%","0.54%","-7.89%","24.36%","17.93%","168.17%"
"Buckle","BKE","0.96%","7.99%","13.58%","10.95%","92.34%","-34.68%"
"Cabot","CCMP","-0.01%","-1.39%","6.14%","28.71%","74.91%","164.91%"
"CACI","CACI","-0.03%","0.06%","0.98%","36.08%","41.20%","113.26%"
"Cal-Maine","CALM","-0.10%","3.78%","5.25%","8.21%","31.78%","-7.80%"
"CalAmp","CAMP","0.13%","1.00%","-3.20%","8.63%","27.70%","40.33%"
"Calavo Growers","CVGW","0.26%","4.69%","3.20%","16.41%","33.40%","85.38%"
"Caleres","CAL","-0.25%","1.79%","5.21%","5.47%","42.49%","8.05%"
"California Water Service","CWT","-1.05%","-0.17%","-2.12%","-11.62%","4.51%","77.82%"
"Callaway Golf","ELY","-0.13%","2.53%","20.26%","60.23%","76.44%","146.63%"
"Cambrex","CBM","-1.71%","-5.33%","9.43%","25.73%","13.55%","23.04%"
"Cantel Medical","CMD","0.56%","1.14%","1.54%","-6.50%","29.07%","77.85%"
"Capstead Mortgage","CMO","1.46%","2.08%","-2.80%","-3.70%","-13.77%","-22.94%"
"Carbo Ceramics","CRR","-2.71%","-3.99%","-15.62%","-17.19%","32.34%","-72.03%"
"Cardtronics","CATM","-0.33%","0.07%","14.80%","62.90%","14.06%","-14.61%"
"Career","CECO","-1.30%","-1.82%","-6.59%","38.49%","94.76%","319.30%"
"Caretrust Inc","CTRE","0.69%","-1.24%","3.55%","4.42%","-5.35%","56.11%"
"Carrizo Oil&Gas","CRZO","-4.28%","-6.11%","-16.80%","11.28%","77.38%","-32.46%"
"Cato","CATO","-0.73%","-3.33%","6.61%","53.02%","67.42%","-34.52%"
"Cavco","CVCO","-1.77%","-0.09%","2.66%","46.89%","75.60%","205.22%"
"Cedar Realty","CDR","-0.45%","-3.49%","-7.71%","-27.14%","-13.65%","-36.26%"
"Celadon","CGIP","2.67%","2.33%","-14.68%","-51.88%","-33.04%","-84.95%"
"Central Garden&Pet","CENT","1.23%","-4.44%","-7.23%","3.91%","18.07%","260.43%"
"Central Garden&Pet A","CENTA","0.85%","-5.58%","-9.29%","-2.17%","11.28%","208.70%"
"Century Aluminum","CENX","-0.74%","-2.43%","-15.31%","-38.59%","-15.84%","98.68%"
"CEVA","CEVA","-1.01%","6.16%","-7.28%","-36.51%","-29.23%","52.13%"
"Chart Industries","GTLS","0.34%","-1.31%","16.88%","64.02%","128.07%","210.92%"
"Chemed","CHE","-0.35%","-0.53%","-2.95%","29.42%","65.74%","110.93%"
"Chemours Co","CC","-1.67%","-7.52%","-1.38%","-11.59%","-5.63%","317.15%"
"Chesapeake Lodging","CHSP","-0.38%","-2.05%","-4.28%","14.88%","24.63%","-0.95%"
"Chuy's Holdings","CHUY","4.40%","-10.64%","-14.82%","-2.67%","33.82%","-17.15%"
"Cincinnati Bell","CBB","4.76%","-5.47%","-22.19%","-41.97%","-43.46%","-37.63%"
"CIRCOR","CIR","-1.06%","-2.08%","12.71%","-10.02%","-9.30%","-8.20%"
"City Holding","CHCO","0.01%","0.24%","6.24%","19.03%","28.60%","66.31%"
