"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-1.46%","1.53%","16.65%","55.53%","53.89%","162.32%"
"A Schulman","SHLM","1.51%","0.46%","-1.69%","17.45%","73.96%","21.36%"
"AAON","AAON","-0.55%","1.68%","10.65%","-0.95%","3.86%","64.11%"
"AAR","AIR","-0.19%","0.50%","-0.00%","18.10%","26.60%","68.18%"
"ABAXIS","ABAX","-0.06%","-0.30%","-0.01%","67.81%","60.42%","70.18%"
"Abercrombie&Fitch","ANF","-6.30%","-7.51%","-8.17%","39.87%","154.75%","20.04%"
"ABM Industries","ABM","0.10%","1.81%","-0.86%","-20.81%","-32.63%","-7.38%"
"Acadia","AKR","-0.86%","0.08%","-5.84%","-2.74%","-8.21%","-14.52%"
"Aceto","ACET","-2.20%","-8.80%","-20.66%","-69.89%","-79.96%","-87.11%"
"Acorda","ACOR","2.32%","-3.04%","-0.52%","33.80%","25.60%","-14.86%"
"Actuant","ATU","0.18%","-1.60%","-5.63%","9.29%","11.72%","23.66%"
"ADTRAN","ADTN","-0.90%","3.44%","15.73%","-14.47%","-30.46%","1.91%"
"Advanced Energy","AEIS","-0.86%","-1.87%","-0.27%","-12.82%","-21.11%","125.49%"
"AdvanSix","ASIX","0.85%","1.83%","4.53%","-7.25%","13.10%","-"
"Aegion","AEGN","0.36%","-0.87%","-1.87%","-1.18%","6.17%","48.52%"
"Aerojet Rocketdyne","AJRD","-1.99%","-4.97%","0.38%","-6.83%","21.89%","27.56%"
"AeroVironment","AVAV","-1.66%","-1.82%","25.91%","30.59%","92.24%","179.50%"
"Agilysys","AGYS","0.97%","0.85%","9.15%","35.02%","58.36%","82.60%"
"Agree","ADC","-0.57%","-1.14%","-1.75%","2.51%","10.36%","73.51%"
"AK Steel","AKS","3.27%","8.89%","14.40%","-8.04%","-23.23%","105.73%"
"Alamo","ALG","-0.75%","-0.07%","-0.78%","-20.46%","-5.97%","73.12%"
"Albany","AIN","1.41%","2.06%","7.05%","5.04%","19.21%","75.98%"
"Allegiant","ALGT","-3.56%","0.43%","-1.59%","-9.79%","-3.36%","-30.95%"
"Allete","ALE","-0.18%","-0.49%","-0.53%","3.63%","7.04%","66.69%"
"AMAG","AMAG","-1.62%","-3.63%","-0.09%","60.38%","6.52%","-69.83%"
"Amedisys","AMED","-2.39%","0.70%","9.38%","78.32%","58.21%","112.74%"
"American Assets","AAT","-0.35%","-0.19%","-3.61%","-2.22%","-6.73%","-10.01%"
"American Axle&Manufacturing","AXL","0.53%","-4.54%","-2.98%","-6.22%","0.82%","-21.33%"
"American Equity Inv. Life","AEL","-0.65%","0.37%","-2.33%","14.64%","26.73%","32.94%"
"American Public Education","APEI","-1.02%","-1.35%","2.70%","74.45%","84.78%","71.84%"
"American States Water","AWR","0.25%","-0.17%","3.26%","3.90%","22.30%","59.31%"
"American Vanguard","AVD","1.20%","-4.76%","-8.89%","6.87%","14.75%","59.21%"
"American Woodmark","AMWD","-3.70%","-3.53%","-11.06%","-36.08%","-15.61%","36.95%"
"Ameris","ABCB","-2.49%","0.00%","-9.28%","5.50%","7.73%","95.73%"
"AMERISAFE","AMSF","0.24%","3.40%","4.26%","1.22%","6.31%","40.40%"
"AMN Healthcare Services","AMN","-0.66%","0.00%","1.85%","23.05%","56.39%","99.54%"
"Amneal Pharma A","AMRX","-0.05%","3.05%","12.90%","15.68%","-0.72%","-60.86%"
"Amphastar P","AMPH","0.23%","4.57%","10.42%","-10.76%","-3.05%","3.75%"
"AngioDynamics","ANGO","-1.38%","1.38%","-5.06%","28.50%","24.82%","36.81%"
"ANI Pharma","ANIP","1.01%","1.31%","4.54%","10.15%","43.24%","4.23%"
"Anika","ANIK","-1.89%","-1.49%","11.84%","-36.39%","-28.95%","-0.98%"
"Anixter","AXE","-1.24%","10.66%","11.61%","-5.79%","-13.00%","17.74%"
"Apogee","APOG","0.29%","-2.84%","12.27%","6.06%","-8.42%","-10.53%"
"Applied Industrial Technologies","AIT","-1.27%","1.51%","1.93%","8.66%","28.36%","96.65%"
"ArcBest Corp","ARCB","-7.15%","-1.45%","-3.60%","23.50%","99.77%","47.56%"
"Archrock","AROC","-0.59%","-1.02%","6.05%","20.19%","11.19%","-15.64%"
"Asbury Automotive","ABG","0.87%","1.75%","-3.58%","9.30%","30.75%","-17.25%"
"ASGN","ASGN","-1.48%","-0.13%","6.92%","30.37%","57.26%","121.96%"
"Astec","ASTE","-20.71%","-20.66%","-19.60%","-17.59%","-5.32%","27.47%"
"Atlas Air","AAWW","-1.09%","-1.81%","-4.37%","15.69%","15.20%","39.52%"
"ATN Int","ATNI","-0.83%","-2.89%","2.62%","-2.24%","-17.92%","-23.44%"
"Avista","AVA","-0.10%","-0.57%","-4.57%","-2.31%","-4.25%","60.65%"
"Axon Enterprise","AAXN","-3.54%","2.27%","16.57%","172.60%","184.30%","133.79%"
"AZZ","AZZ","0.09%","1.67%","24.97%","7.24%","5.79%","6.14%"
"B&G Foods","BGS","-0.81%","-0.97%","-7.58%","-13.23%","-17.46%","5.24%"
"Badger Meter","BMI","-1.24%","13.44%","15.85%","8.58%","14.32%","-6.72%"
"Balchem","BCPC","-0.32%","0.18%","2.04%","22.67%","24.08%","80.42%"
"Banc of California","BANC","-1.68%","0.10%","-1.95%","-7.65%","-6.98%","40.12%"
