"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Sell","Strong Sell","Neutral","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABAXIS","ABAX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Buy","Neutral","Strong Sell","Strong Sell"
"Acadia","AKR","Neutral","Neutral","Neutral","Neutral"
"Aceto","ACET","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Neutral","Neutral","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Sell","Neutral","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Sell","Neutral","Strong Sell","Neutral"
"AdvanSix","ASIX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aegion","AEGN","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Buy","Strong Buy","Buy","Strong Sell"
"Alamo","ALG","Strong Buy","Neutral","Strong Sell","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Sell"
"Allete","ALE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Buy","Strong Buy","Buy","Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Neutral","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Sell","Neutral","Neutral","Sell"
"American Equity Inv. Life","AEL","Strong Sell","Sell","Strong Buy","Strong Buy"
"American Public Education","APEI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"American States Water","AWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Sell","Strong Sell","Neutral","Strong Buy"
"American Woodmark","AMWD","Strong Sell","Strong Sell","Strong Sell","Sell"
"Ameris","ABCB","Strong Buy","Strong Sell","Sell","Strong Buy"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Neutral","Strong Buy","Strong Buy","Neutral"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Sell","Sell"
"AngioDynamics","ANGO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Anika","ANIK","Strong Sell","Neutral","Strong Sell","Strong Sell"
"Anixter","AXE","Strong Buy","Strong Buy","Sell","Strong Sell"
"Apogee","APOG","Strong Sell","Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Neutral","Neutral","Neutral","Strong Buy"
"ASGN","ASGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Astec","ASTE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"ATN Int","ATNI","Strong Sell","Sell","Sell","Sell"
