"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-2.00%","-1.12%","1.85%","56.03%","65.41%","156.71%"
"A Schulman","SHLM","-0.23%","-0.34%","0.46%","17.45%","52.71%","23.07%"
"AAON","AAON","0.50%","1.65%","11.75%","8.86%","26.22%","73.70%"
"AAR","AIR","-3.24%","-3.99%","-3.05%","13.92%","27.23%","68.27%"
"Abercrombie&Fitch","ANF","-8.61%","2.53%","1.44%","53.41%","181.77%","39.49%"
"ABM Industries","ABM","-0.10%","-0.03%","6.20%","-17.39%","-27.84%","-7.81%"
"Acadia","AKR","1.77%","2.95%","3.84%","0.91%","-4.40%","-14.86%"
"Aceto","ACET","0.31%","-0.92%","-5.28%","-68.73%","-79.57%","-87.29%"
"Acorda","ACOR","-1.76%","4.49%","-5.57%","30.30%","28.21%","-13.71%"
"Actuant","ATU","-0.78%","0.81%","1.35%","12.57%","22.23%","22.97%"
"ADTRAN","ADTN","-0.93%","0.94%","0.31%","-17.05%","-25.35%","-1.47%"
"Advanced Energy","AEIS","-1.52%","-3.14%","-1.37%","-12.37%","-15.97%","122.54%"
"AdvanSix","ASIX","-3.27%","-6.40%","-13.67%","-21.37%","6.81%","-"
"Aegion","AEGN","-1.73%","-2.20%","-3.51%","-3.81%","20.73%","28.80%"
"Aerojet Rocketdyne","AJRD","-2.98%","0.98%","18.27%","15.96%","33.90%","59.81%"
"AeroVironment","AVAV","-1.27%","3.05%","9.00%","44.98%","117.93%","209.94%"
"Agilysys","AGYS","-0.69%","0.57%","-3.65%","28.99%","54.39%","66.21%"
"Agree","ADC","0.42%","0.83%","2.47%","6.26%","12.01%","78.92%"
"AK Steel","AKS","-2.27%","-6.52%","-14.54%","-27.83%","-22.34%","24.16%"
"Alamo","ALG","-1.28%","0.27%","6.98%","-14.85%","8.33%","89.53%"
"Albany","AIN","0.98%","1.51%","22.29%","25.87%","53.93%","129.73%"
"Allegiant","ALGT","0.89%","4.33%","-2.16%","-12.12%","13.86%","-41.33%"
"Allete","ALE","-0.22%","0.34%","0.53%","4.69%","4.51%","49.91%"
"AMAG","AMAG","-0.40%","-2.36%","12.47%","87.17%","46.31%","-61.62%"
"Amedisys","AMED","-0.51%","3.55%","24.42%","120.32%","136.18%","155.40%"
"American Assets","AAT","0.91%","0.39%","4.00%","1.88%","-3.25%","-7.61%"
"American Axle&Manufacturing","AXL","-1.74%","-4.28%","-2.33%","-4.05%","16.55%","-23.29%"
"American Equity Inv. Life","AEL","-0.03%","1.03%","3.65%","18.39%","33.75%","29.74%"
"American Public Education","APEI","0.00%","2.28%","-21.11%","39.52%","95.25%","55.96%"
"American States Water","AWR","-0.37%","-0.52%","-1.39%","2.62%","22.69%","51.26%"
"American Vanguard","AVD","-2.15%","-2.56%","-12.11%","-1.37%","-1.37%","71.20%"
"American Woodmark","AMWD","-2.34%","-4.90%","-5.62%","-37.47%","-12.93%","23.39%"
"Ameris","ABCB","-1.12%","-0.37%","-4.23%","1.04%","11.70%","70.88%"
"AMERISAFE","AMSF","0.16%","1.27%","5.47%","3.25%","14.80%","32.64%"
"AMN Healthcare Services","AMN","-0.71%","-1.23%","-7.10%","14.31%","49.54%","51.59%"
"Amneal Pharma A","AMRX","-0.95%","8.94%","17.39%","31.77%","22.23%","-53.15%"
"Amphastar P","AMPH","-1.02%","1.86%","6.58%","-9.04%","18.81%","18.16%"
"AngioDynamics","ANGO","0.37%","-0.00%","2.13%","29.46%","26.28%","43.82%"
"ANI Pharma","ANIP","-2.01%","-1.25%","-20.08%","-13.11%","22.38%","-1.69%"
"Anika","ANIK","-2.31%","-0.60%","19.30%","-22.96%","-21.17%","14.25%"
"Anixter","AXE","-1.25%","-2.54%","9.74%","-6.58%","-0.77%","13.08%"
"Apogee","APOG","-2.39%","-2.29%","-2.70%","6.21%","-1.04%","-11.00%"
"Applied Industrial Technologies","AIT","-0.78%","2.35%","4.66%","12.04%","38.48%","88.12%"
"ArcBest Corp","ARCB","-2.81%","-5.96%","0.45%","25.87%","75.10%","37.70%"
"Archrock","AROC","-3.97%","-7.28%","-5.10%","15.24%","31.52%","-14.25%"
"Asbury Automotive","ABG","-0.73%","-1.26%","8.29%","16.33%","48.45%","-12.13%"
"ASGN","ASGN","-0.10%","-1.52%","7.35%","40.14%","95.55%","124.33%"
"Astec","ASTE","-2.33%","-1.74%","-25.63%","-22.75%","-2.02%","17.68%"
"Atlas Air","AAWW","-2.42%","-5.22%","-15.41%","-0.34%","-3.39%","29.34%"
"ATN Int","ATNI","-1.79%","4.05%","29.28%","30.15%","22.94%","-4.34%"
"Avista","AVA","0.24%","0.69%","1.07%","-0.70%","-0.70%","50.43%"
"Axon Enterprise","AAXN","-2.07%","2.85%","-13.62%","130.26%","184.08%","151.21%"
"AZZ","AZZ","-1.20%","0.28%","-0.93%","4.50%","12.30%","-0.35%"
"B&G Foods","BGS","1.05%","1.03%","1.69%","-10.90%","-1.20%","4.61%"
"Badger Meter","BMI","-1.52%","-0.58%","13.11%","8.26%","17.61%","-15.54%"
"Balchem","BCPC","-0.37%","-0.89%","1.10%","23.80%","36.46%","63.49%"
"Banc of California","BANC","-0.62%","-1.58%","4.36%","-3.73%","7.17%","56.17%"
"Banner","BANR","-0.95%","0.74%","7.15%","18.85%","20.44%","36.65%"
"Barnes","B","-0.56%","-1.34%","8.75%","3.68%","10.14%","57.81%"
"Barnes & Noble Education Inc","BNED","-0.96%","0.97%","16.70%","-24.51%","-8.39%","-55.86%"
"Barnes&Noble","BKS","0.79%","4.96%","16.51%","-5.22%","-15.33%","-64.78%"
"Bel Fuse B","BELFB","-1.17%","1.61%","15.53%","0.48%","-2.88%","25.43%"
"Belmond","BEL","-0.31%","5.30%","40.71%","29.80%","26.69%","33.17%"
"Benchmark Electronics","BHE","-0.49%","-0.12%","-13.49%","-12.30%","-18.47%","16.16%"
"Big 5","BGFV","-1.68%","3.54%","-12.69%","-23.03%","-23.53%","-47.91%"
"Biglari","BH","-0.48%","6.77%","3.82%","-51.98%","-34.66%","-53.51%"
"BioTelemetry","BEAT","-2.64%","-6.47%","7.01%","78.76%","49.51%","332.79%"
"BJs Restaurants","BJRI","0.47%","0.78%","2.88%","76.92%","95.74%","38.17%"
"Black Box","BBOX","-7.14%","6.85%","0.00%","-56.06%","-53.43%","-90.24%"
"Blackbaud","BLKB","-1.97%","-0.21%","-16.22%","1.88%","15.21%","51.06%"
"Blucora","BCOR","-0.72%","-0.29%","-10.08%","55.43%","50.66%","149.46%"
"BofI Holding","BOFI","-2.02%","0.62%","-8.61%","24.88%","39.43%","13.60%"
"Boise Cascad Llc","BCC","-0.90%","-0.23%","-4.76%","10.28%","50.43%","38.15%"
"Boston Private","BPFH","-1.43%","-2.13%","-13.75%","-10.68%","-3.50%","10.49%"
"Bottomline","EPAY","0.96%","6.54%","8.19%","73.39%","107.99%","125.88%"
"Boyd Gaming","BYD","-0.54%","-1.48%","-8.27%","0.34%","36.16%","95.50%"
"Brady","BRC","-0.40%","-0.67%","0.81%","-1.58%","16.74%","53.94%"
"Briggs&Stratton","BGG","-0.70%","5.93%","5.32%","-27.43%","-11.32%","-7.95%"
"Brinks","BCO","-1.78%","-3.75%","-6.83%","-2.10%","1.31%","150.32%"
"Bristow","BRS","-3.75%","-6.81%","-26.47%","-21.83%","42.88%","-72.88%"
"Brookline Bancorp","BRKL","-0.83%","-0.56%","-2.99%","13.69%","29.82%","64.21%"
"Brooks Automation","BRKS","-1.42%","-2.84%","-10.15%","22.14%","19.29%","166.27%"
"Buckle","BKE","-4.11%","6.14%","13.56%","12.84%","88.73%","-34.36%"
"Cabot","CCMP","-9.41%","-10.29%","-5.34%","16.91%","61.18%","140.10%"
"CACI","CACI","-0.50%","-0.85%","0.78%","36.27%","43.93%","112.78%"
