"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Buy","Strong Buy","Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Neutral","Strong Sell","Sell","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Buy","Strong Buy","Buy","Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Strong Buy","Buy","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Buy","Strong Buy"
"Actuant","ATU","Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Sell","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Neutral","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Buy","Buy","Neutral","Strong Buy"
"Aerojet Rocketdyne","AJRD","Sell","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Sell","Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Strong Buy","Buy"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Sell","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Sell","Buy","Strong Buy","Buy"
"Amedisys","AMED","Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Buy","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Sell","Strong Sell","Strong Sell","Neutral"
"American Woodmark","AMWD","Neutral","Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Buy","Strong Sell","Buy"
"AMERISAFE","AMSF","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Strong Sell","Neutral","Neutral","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Neutral","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Strong Sell","Neutral","Neutral","Strong Sell"
"Anixter","AXE","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Apogee","APOG","Strong Buy","Buy","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ASGN","ASGN","Sell","Neutral","Strong Buy","Strong Buy"
"Assertio Therapeutics","ASRT","Strong Buy","Strong Sell","Sell","Sell"
"Astec","ASTE","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Buy","Strong Sell","Strong Sell","Buy"
"ATN Int","ATNI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Avista","AVA","Strong Sell","Neutral","Neutral","Strong Buy"
"Axon Enterprise","AAXN","Strong Buy","Neutral","Strong Buy","Strong Buy"
"AZZ","AZZ","Strong Sell","Buy","Strong Buy","Strong Buy"
"B&G Foods","BGS","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Badger Meter","BMI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Balchem","BCPC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Banc of California","BANC","Strong Buy","Neutral","Strong Buy","Buy"
"Banner","BANR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Barnes","B","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Barnes & Noble Education Inc","BNED","Buy","Strong Buy","Neutral","Strong Sell"
"Barnes&Noble","BKS","Strong Sell","Neutral","Neutral","Sell"
"Bel Fuse B","BELFB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Belmond","BEL","Buy","Strong Buy","Strong Buy","Strong Buy"
"Benchmark Electronics","BHE","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Big 5","BGFV","Strong Sell","Sell","Strong Sell","Strong Sell"
"Biglari","BH","Strong Buy","Strong Buy","Sell","Strong Sell"
"BioTelemetry","BEAT","Buy","Strong Buy","Strong Buy","Strong Buy"
"BJs Restaurants","BJRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Black Box","BBOX","Neutral","Neutral","Strong Sell","Strong Sell"
"Blackbaud","BLKB","Neutral","Strong Sell","Strong Sell","Buy"
"Blucora","BCOR","Strong Buy","Neutral","Neutral","Strong Buy"
"BofI Holding","BOFI","Strong Buy","Strong Sell","Sell","Strong Buy"
"Boise Cascad Llc","BCC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boston Private","BPFH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Bottomline","EPAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boyd Gaming","BYD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Brady","BRC","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Briggs&Stratton","BGG","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Brinks","BCO","Buy","Strong Sell","Neutral","Strong Buy"
"Bristow","BRS","Buy","Strong Sell","Strong Sell","Strong Sell"
"Brookline Bancorp","BRKL","Neutral","Neutral","Neutral","Strong Buy"
"Brooks Automation","BRKS","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"Buckle","BKE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cabot","CCMP","Neutral","Strong Sell","Neutral","Strong Buy"
"CACI","CACI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cal-Maine","CALM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CalAmp","CAMP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Calavo Growers","CVGW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Caleres","CAL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"California Water Service","CWT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Callaway Golf","ELY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cambrex","CBM","Sell","Strong Buy","Strong Buy","Strong Buy"
"Cantel Medical","CMD","Strong Buy","Strong Buy","Neutral","Neutral"
"Capstead Mortgage","CMO","Buy","Neutral","Strong Sell","Strong Sell"
"Carbo Ceramics","CRR","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Cardtronics","CATM","Buy","Strong Buy","Strong Buy","Strong Buy"
"Career","CECO","Sell","Strong Sell","Strong Buy","Strong Buy"
"Caretrust Inc","CTRE","Buy","Strong Buy","Strong Buy","Strong Buy"
"Carrizo Oil&Gas","CRZO","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Cato","CATO","Neutral","Neutral","Strong Buy","Strong Buy"
"Cavco","CVCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cedar Realty","CDR","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Celadon","CGIP","Strong Buy","Strong Buy","Buy","Strong Sell"
"Central Garden&Pet","CENT","Strong Buy","Strong Sell","Sell","Strong Buy"
"Central Garden&Pet A","CENTA","Strong Buy","Strong Sell","Strong Sell","Strong Buy"
"Century Aluminum","CENX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"CEVA","CEVA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Chart Industries","GTLS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Chemed","CHE","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Chemours Co","CC","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Chesapeake Lodging","CHSP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Chuy's Holdings","CHUY","Neutral","Strong Sell","Strong Sell","Neutral"
"Cincinnati Bell","CBB","Strong Buy","Neutral","Strong Sell","Strong Sell"
"CIRCOR","CIR","Neutral","Strong Buy","Neutral","Strong Sell"
"City Holding","CHCO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Clearwater Paper","CLW","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Cloud Peak Energy","CLD","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"CMTSU Liquidation","CBRI","Neutral","Neutral","Strong Sell","Strong Sell"
"Cogent","CCOI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Coherent","COHR","Strong Sell","Neutral","Strong Buy","Neutral"
"Cohu","COHU","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Columbia Banking","COLB","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Comfort Systems","FIX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Community Bank System","CBU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Community Health Systems","CYH","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Computer Programs&Systems","CPSI","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Comtech","CMTL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CONMED","CNMD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Consolidated Communications","CNSL","Buy","Strong Buy","Sell","Strong Sell"
"Contango Oil&Gas","MCF","Neutral","Strong Buy","Strong Buy","Neutral"
"Cooper Stnd","CPS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Core-Mark","CORE","Strong Buy","Strong Buy","Strong Buy","Buy"
"CoreSite","COR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Corindus Vascular Robotics","CR3","Strong Sell","Strong Sell","Sell","Strong Sell"
"CorVel","CRVL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CPB","CPF","Strong Buy","Buy","Sell","Sell"
"Cray","CRAY","Neutral","Strong Sell","Strong Sell","Sell"
"Crocs","CROX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cross Country","CCRN","Strong Buy","Sell","Strong Sell","Strong Sell"
"CryoLife","CRY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CSG Systems","CSGS","Strong Sell","Strong Sell","Strong Sell","Sell"
"CTS Corp","CTS","Neutral","Sell","Buy","Strong Buy"
"Cubic","CUB","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Customers Bancorp","CUBI","Neutral","Strong Sell","Strong Sell","Strong Sell"
"CVB Financial","CVBF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Daktronics","DAKT","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Darling Ingredients","DAR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dave & Buster’s Entertainment","PLAY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"DHI Group","DHX","Neutral","Sell","Strong Sell","Strong Sell"
"Diamondrock Hospitality","DRH","Strong Sell","Sell","Sell","Strong Buy"
"Digi","DGII","Strong Buy","Sell","Neutral","Strong Buy"
"Dime Community","DCOM","Strong Buy","Buy","Strong Sell","Sell"
"DineEquity","DIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Diodes","DIOD","Sell","Neutral","Strong Buy","Strong Buy"
