"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.45%","-0.44%","12.78%","59.57%","59.01%","191.07%"
"AAON","AAON","0.49%","-1.21%","8.21%","11.31%","25.31%","97.53%"
"AAR","AIR","-0.49%","1.81%","-1.71%","18.61%","29.23%","91.53%"
"Abercrombie&Fitch","ANF","-0.55%","-5.12%","14.90%","56.17%","113.66%","37.06%"
"ABM Industries","ABM","1.84%","4.05%","1.22%","-16.28%","-28.92%","-1.34%"
"Acadia","AKR","-0.42%","-0.77%","4.99%","3.91%","-0.91%","-3.07%"
"Aceto","ACET","2.67%","6.79%","5.81%","-66.51%","-67.39%","-84.56%"
"Acorda","ACOR","-1.04%","-1.04%","14.63%","33.33%","37.50%","-10.54%"
"Actuant","ATU","0.00%","-0.34%","2.45%","15.61%","21.62%","36.43%"
"ADTRAN","ADTN","0.29%","0.00%","4.62%","-12.14%","-23.08%","6.12%"
"Advanced Energy","AEIS","-1.14%","1.34%","-3.69%","-12.60%","-19.80%","143.02%"
"AdvanSix","ASIX","-0.62%","2.06%","-16.63%","-19.80%","5.67%","-"
"Aegion","AEGN","0.85%","-1.15%","0.73%","-1.85%","15.18%","35.65%"
"Aerojet Rocketdyne","AJRD","-1.83%","-0.47%","6.59%","15.13%","21.23%","74.62%"
"AeroVironment","AVAV","0.60%","2.07%","17.12%","53.51%","75.87%","258.46%"
"Agilysys","AGYS","-0.80%","-1.88%","-1.88%","31.43%","56.85%","57.16%"
"Agree","ADC","0.02%","1.58%","7.48%","11.24%","14.17%","101.12%"
"AK Steel","AKS","0.45%","5.65%","-3.02%","-20.67%","-19.82%","45.31%"
"Alamo","ALG","-1.58%","-0.36%","4.89%","-13.57%","6.31%","89.45%"
"Albany","AIN","-0.51%","0.58%","17.01%","25.96%","44.40%","142.63%"
"Allegiant","ALGT","-1.32%","-0.99%","9.10%","-12.86%","14.28%","-33.04%"
"Allete","ALE","1.00%","-1.10%","-2.57%","1.59%","-2.31%","58.10%"
"AMAG","AMAG","-0.41%","0.20%","11.34%","85.28%","47.01%","-60.75%"
"Amedisys","AMED","0.11%","-0.61%","31.35%","133.31%","135.41%","218.27%"
"American Assets","AAT","-0.41%","0.03%","2.26%","2.77%","-3.25%","2.02%"
"American Axle&Manufacturing","AXL","0.27%","3.84%","10.05%","8.04%","25.94%","-8.91%"
"American Equity Inv. Life","AEL","-0.43%","0.60%","3.86%","20.76%","33.68%","52.97%"
"American Public Education","APEI","-2.09%","-1.26%","-20.18%","40.52%","90.79%","60.51%"
"American States Water","AWR","0.93%","-1.95%","-0.42%","3.38%","21.44%","58.60%"
"American Vanguard","AVD","1.64%","6.62%","0.23%","10.69%","7.41%","62.80%"
"American Woodmark","AMWD","3.55%","8.60%","6.65%","-31.67%","7.49%","34.28%"
"Ameris","ABCB","-0.30%","-1.00%","6.22%","2.70%","12.37%","81.52%"
"AMERISAFE","AMSF","0.72%","1.28%","0.88%","2.84%","17.75%","43.55%"
"AMN Healthcare Services","AMN","0.85%","2.61%","-2.40%","19.90%","58.10%","75.74%"
"Amneal Pharma A","AMRX","-1.56%","-4.10%","18.41%","36.34%","4.85%","-44.58%"
"Amphastar P","AMPH","0.99%","0.83%","4.70%","-5.04%","14.12%","41.96%"
"AngioDynamics","ANGO","0.76%","-0.27%","6.15%","34.94%","31.77%","52.03%"
"ANI Pharma","ANIP","0.94%","0.80%","-13.73%","-10.38%","20.33%","18.43%"
"Anika","ANIK","-0.17%","-0.19%","3.40%","-23.22%","-22.92%","16.89%"
"Anixter","AXE","-0.28%","0.07%","-1.37%","-5.39%","-2.57%","12.94%"
"Apogee","APOG","0.38%","-0.44%","-2.05%","8.73%","13.78%","-4.66%"
"Applied Industrial Technologies","AIT","0.58%","0.98%","3.68%","13.66%","35.79%","82.81%"
"ArcBest Corp","ARCB","1.68%","2.98%","4.08%","35.52%","63.13%","67.76%"
"Archrock","AROC","-0.39%","-0.78%","-6.96%","20.95%","24.51%","-6.00%"
"Asbury Automotive","ABG","0.07%","0.40%","8.18%","18.83%","41.23%","-5.61%"
"ASGN","ASGN","0.13%","1.46%","1.66%","42.83%","92.45%","155.14%"
"Assertio Therapeutics","ASRT","-11.00%","-6.47%","-26.52%","-19.13%","7.07%","-75.83%"
"Astec","ASTE","-0.31%","2.28%","-0.41%","-16.36%","-1.51%","23.84%"
"Atlas Air","AAWW","0.08%","1.14%","-7.38%","5.88%","-7.04%","50.33%"
"ATN Int","ATNI","0.38%","0.07%","15.44%","33.44%","21.74%","3.21%"
"Avista","AVA","0.56%","0.47%","2.21%","0.41%","0.58%","64.70%"
"Axon Enterprise","AAXN","-0.33%","4.80%","-1.25%","153.13%","208.98%","186.67%"
"AZZ","AZZ","0.09%","0.74%","0.09%","6.16%","10.94%","7.21%"
"B&G Foods","BGS","2.45%","-0.00%","-0.16%","-10.81%","2.79%","3.16%"
"Badger Meter","BMI","-1.81%","-0.18%","3.84%","13.28%","17.97%","-7.10%"
"Balchem","BCPC","1.03%","1.85%","5.71%","31.54%","41.44%","81.14%"
"Banc of California","BANC","0.50%","0.50%","0.00%","-3.15%","7.82%","61.42%"
"Banner","BANR","0.06%","-2.15%","2.57%","17.18%","17.18%","45.44%"
"Barnes","B","0.25%","0.46%","0.56%","7.84%","9.13%","76.62%"
"Barnes & Noble Education Inc","BNED","10.06%","8.64%","5.16%","-28.28%","14.09%","-54.19%"
"Barnes&Noble","BKS","0.94%","-6.96%","-12.30%","-20.15%","-30.97%","-65.73%"
"Bel Fuse B","BELFB","-1.96%","1.10%","22.00%","9.02%","7.65%","55.44%"
"Belmond","BEL","0.00%","2.48%","46.67%","34.69%","29.41%","45.12%"
