"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-0.22%","-0.67%","12.85%","58.87%","62.91%","185.71%"
"AAON","AAON","0.12%","-5.24%","10.91%","10.76%","25.85%","98.20%"
"AAR","AIR","0.43%","1.58%","0.62%","19.19%","29.90%","92.00%"
"Abercrombie&Fitch","ANF","0.92%","-3.18%","16.07%","57.03%","119.31%","42.70%"
"ABM Industries","ABM","1.21%","-5.97%","0.49%","-17.79%","-29.46%","-2.85%"
"Acadia","AKR","1.31%","0.42%","7.70%","4.35%","-0.04%","-4.39%"
"Aceto","ACET","1.81%","3.06%","6.31%","-67.38%","-68.03%","-85.19%"
"Acorda","ACOR","-1.03%","-0.86%","18.69%","34.73%","47.83%","-11.70%"
"Actuant","ATU","-0.51%","-1.18%","5.41%","15.61%","23.68%","40.22%"
"ADTRAN","ADTN","-0.29%","-0.00%","4.31%","-12.40%","-23.13%","7.96%"
"Advanced Energy","AEIS","0.51%","1.97%","-1.03%","-11.59%","-18.34%","144.31%"
"AdvanSix","ASIX","-0.44%","2.20%","-13.61%","-19.30%","8.05%","-"
"Aegion","AEGN","-0.68%","-2.60%","2.48%","-2.67%","16.64%","35.39%"
"Aerojet Rocketdyne","AJRD","0.25%","-0.38%","32.00%","17.28%","25.35%","77.62%"
"AeroVironment","AVAV","-0.05%","0.18%","17.95%","52.60%","84.22%","255.90%"
"Agilysys","AGYS","-1.27%","0.87%","0.74%","32.49%","56.74%","59.35%"
"Agree","ADC","1.13%","1.74%","8.91%","11.22%","16.80%","98.65%"
"AK Steel","AKS","1.36%","0.00%","-16.60%","-21.02%","-22.53%","49.50%"
"Alamo","ALG","-0.37%","0.48%","10.75%","-12.18%","10.32%","96.74%"
"Albany","AIN","-1.02%","-0.32%","20.53%","26.61%","49.04%","147.46%"
"Allegiant","ALGT","0.15%","1.18%","9.71%","-11.70%","15.32%","-33.82%"
"Allete","ALE","-0.81%","-3.03%","-2.31%","0.58%","-2.91%","56.46%"
"AMAG","AMAG","-0.80%","-1.00%","16.00%","86.04%","48.94%","-62.57%"
"Amedisys","AMED","-1.53%","0.83%","31.47%","133.07%","146.89%","214.27%"
"American Assets","AAT","1.21%","0.13%","5.25%","3.19%","-2.11%","0.10%"
"American Axle&Manufacturing","AXL","-1.29%","3.38%","9.42%","7.75%","25.77%","-9.61%"
"American Equity Inv. Life","AEL","-0.29%","-0.29%","3.64%","21.28%","34.65%","50.65%"
"American Public Education","APEI","0.70%","1.99%","-18.67%","43.51%","100.84%","60.78%"
"American States Water","AWR","-0.95%","-2.37%","-0.62%","2.43%","21.58%","56.52%"
