"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"A Schulman","SHLM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAON","AAON","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAR","AIR","Neutral","Strong Sell","Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABM Industries","ABM","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Acadia","AKR","Strong Buy","Neutral","Strong Buy","Neutral"
"Aceto","ACET","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Buy","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Advanced Energy","AEIS","Neutral","Strong Sell","Strong Sell","Sell"
"AdvanSix","ASIX","Neutral","Strong Sell","Strong Sell","Buy"
"Aegion","AEGN","Strong Buy","Neutral","Neutral","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Buy","Strong Buy","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Albany","AIN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Buy","Strong Sell","Strong Sell"
"Allete","ALE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMAG","AMAG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Strong Buy","Neutral","Buy","Neutral"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Neutral","Strong Sell","Sell","Strong Buy"
"American States Water","AWR","Strong Buy","Neutral","Strong Buy","Strong Buy"
"American Vanguard","AVD","Neutral","Strong Sell","Strong Sell","Buy"
"American Woodmark","AMWD","Neutral","Strong Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Sell","Strong Sell","Buy"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Buy","Sell","Neutral","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Buy"
"AngioDynamics","ANGO","Neutral","Neutral","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Anika","ANIK","Strong Buy","Strong Buy","Buy","Neutral"
"Anixter","AXE","Strong Buy","Buy","Strong Buy","Neutral"
