S&P Small-Cap 600 ETF (VIOO)
Holding details,07/31/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="2501578","LGND      ","LIGAND PHARM","50,893","$11,111,469.00","0.56100","Biotechnology","US  ",-,
,="2483074","TREX      ","TREX CO INC","139,015","$10,807,026.00","0.54500","Building Products","US  ",-,
,="BFY8W20","ASGN      ","ASGN INC","117,428","$10,603,748.00","0.53500","Human Resource & Employment Services","US  ",-,
,="B013D75","STMP      ","STAMPS.COM INC","39,769","$10,379,709.00","0.52400","Internet Software & Services","US  ",-,
,="2159267","CACI      ","CACI INTL-A","58,950","$10,328,040.00","0.52100","IT Consulting & Other Services","US  ",-,
,="2630085","NEOG      ","NEOGEN CORP","123,199","$10,151,598.00","0.51200","Health Care Supplies","US  ",-,
,="BD4LHG4","NGVT      ","INGEVITY CORP","100,498","$10,016,636.00","0.50500","Specialty Chemicals","US  ",-,
,="B89M5F2","PDCE      ","PDC ENERGY INC","157,855","$9,941,708.00","0.50200","Oil & Gas Exploration & Production","US  ",-,
,="BP8XZL1","HQY       ","HEALTHEQUITY INC","125,284","$9,458,942.00","0.47700","Managed Health Care","US  ",-,
,="BDT5S35","AAXN      ","AXON ENTERPRISE","137,084","$9,312,116.00","0.47000","Aerospace & Defense","US  ",-,
,="2266026","FFIN      ","FIRST FIN BANKSH","157,684","$8,924,914.00","0.45000","Regional Banks","US  ",-,
,="2386849","KFY       ","KORN/FERRY INTL","135,030","$8,909,279.00","0.45000","Human Resource & Employment Services","US  ",-,
,="B3WNNP3","GDOT      ","GREEN DOT CORP-A","110,593","$8,772,237.00","0.44300","Consumer Finance","US  ",-,
,="BZCG9B4","FCFS      ","FIRSTCASH INC","107,260","$8,709,512.00","0.43900","Consumer Finance","US  ",-,
,="2007281","NSP       ","INSPERITY INC","89,239","$8,486,629.00","0.42800","Human Resource & Employment Services","US  ",-,
,="BYXJQG9","SR        ","SPIRE INC","118,493","$8,484,099.00","0.42800","Gas Utilities","US  ",-,
,="B3BRJZ8","JBT       ","JOHN BEAN TECH","75,855","$8,389,563.00","0.42300","Industrial Machinery","US  ",-,
,="2766173","SIGI      ","SELECT INS GRP","139,678","$8,352,744.00","0.42100","Property & Casualty Insurance","US  ",-,
,="BJSVLL5","INGN      ","INOGEN INC","41,425","$8,253,931.00","0.41600","Health Care Equipment","US  ",-,
,="2370585","GBCI      ","GLACIER BANCORP","188,986","$8,069,702.00","0.40700","Regional Banks","US  ",-,
,="2883890","TTEK      ","TETRA TECH INC","132,319","$8,044,995.00","0.40600","Environmental & Facilities Services","US  ",-,
,="2942605","AVA       ","AVISTA CORP","156,768","$7,929,325.00","0.40000","Multi-Utilities","US  ",-,
,="2455761","EGP       ","EASTGROUP PROP","83,141","$7,925,000.00","0.40000","Industrial REITs","US  ",-,
,="2250289","DAR       ","DARLING INGREDIE","393,964","$7,914,737.00","0.39900","Agricultural Products","US  ",-,
,="2977500","WWW       ","WOLVERINE WORLD","222,873","$7,885,247.00","0.39800","Footwear","US  ",-,
,="2080732","B         ","BARNES GROUP INC","115,860","$7,861,101.00","0.39700","Industrial Machinery","US  ",-,
,="2072074","BCPC      ","BALCHEM CORP","76,854","$7,707,688.00","0.38900","Specialty Chemicals","US  ",-,
,="2222062","CBU       ","COMMUNITY BANK S","121,826","$7,705,495.00","0.38900","Regional Banks","US  ",-,
,="2191300","AEL       ","AMER EQUITY INVT","214,517","$7,664,692.00","0.38700","Life & Health Insurance","US  ",-,
,="B2QGDP1","HI        ","HILLENBRAND INC","148,713","$7,465,393.00","0.37700","Industrial Machinery","US  ",-,
,="2795542","SMTC      ","SEMTECH CORP","156,793","$7,439,828.00","0.37500","Semiconductors","US  ",-,
,="2814210","SKYW      ","SKYWEST INC","123,818","$7,416,698.00","0.37400","Airlines","US  ",-,
,="B6T6J81","PRLB      ","PROTO LABS INC","59,029","$7,357,965.00","0.37100","Industrial Machinery","US  ",-,
,="B0L2NP0","KS        ","KAPSTONE PAPER A","209,833","$7,297,992.00","0.36800","Paper Products","US  ",-,
,="2572381","CCMP      ","CABOT MICROELEC","60,431","$7,278,914.00","0.36700","Semiconductor Equipment","US  ",-,
,="2614153","MYGN      ","MYRIAD GENETICS","166,343","$7,277,506.00","0.36700","Biotechnology","US  ",-,
,="2809250","SSD       ","SIMPSON MFG","98,755","$7,205,165.00","0.36400","Building Products","US  ",-,
,="2351449","FCN       ","FTI CONSULTING","90,149","$7,118,165.00","0.35900","Research & Consulting Services","US  ",-,
,="2352806","FFBC      ","FIRST FIN BANCRP","232,684","$7,061,959.00","0.35600","Regional Banks","US  ",-,
,="2580555","MMSI      ","MERIT MEDICAL","128,407","$6,972,500.00","0.35200","Health Care Supplies","US  ",-,
,="2176608","COLB      ","COLUMBIA BANKING","169,657","$6,944,061.00","0.35000","Regional Banks","US  ",-,
,="2719070","RLI       ","RLI CORP","92,756","$6,934,439.00","0.35000","Property & Casualty Insurance","US  ",-,
,="2466428","UNF       ","UNIFIRST CORP/MA","36,913","$6,908,268.00","0.34900","Diversified Support Services","US  ",-,
,="2825933","SJI       ","SOUTH JERSEY IND","203,481","$6,904,110.00","0.34800","Gas Utilities","US  ",-,
,="2813552","AMN       ","AMN HEALTHCARE","113,819","$6,886,050.00","0.34700","Health Care Services","US  ",-,
,="2086309","AIT       ","APPLIED INDU TEC","92,096","$6,874,966.00","0.34700","Trading Companies & Distributors","US  ",-,
,="2354664","FUL       ","HB FULLER CO","120,243","$6,815,373.00","0.34400","Specialty Chemicals","US  ",-,
,="2553911","SHOO      ","STEVEN MADDEN","125,924","$6,806,192.00","0.34300","Footwear","US  ",-,
,="B7XJTN8","QLYS      ","QUALYS INC","77,951","$6,789,532.00","0.34300","Systems Software","US  ",-,
,="B45K9N8","VAC       ","MARRIOTT VACATIO","55,591","$6,621,444.00","0.33400","Hotels, Resorts & Cruise Lines","US  ",-,
,="B15JLG1","VG        ","VONAGE HOLDINGS","514,200","$6,586,902.00","0.33200","Alternative Carriers","US  ",-,
,="2341439","FMBI      ","FIRST MIDWEST/IL","245,326","$6,542,844.00","0.33000","Regional Banks","US  ",-,
,="B72ZBG4","SUPN      ","SUPERNUS PHARMAC","123,556","$6,542,290.00","0.33000","Pharmaceuticals","US  ",-,
,="BD8ZX20","SRCI      ","SRC ENERGY INC","576,344","$6,524,214.00","0.32900","Oil & Gas Exploration & Production","US  ",-,
,="B188HK1","SFLY      ","SHUTTERFLY INC","78,905","$6,490,725.00","0.32700","Internet & Direct Marketing Retail","US  ",-,
,="2682105","PENN      ","PENN NATL GAMING","201,185","$6,447,979.00","0.32500","Casinos & Gaming","US  ",-,
,="2024332","AMED      ","AMEDISYS INC","68,582","$6,421,333.00","0.32400","Health Care Services","US  ",-,
,="BZ0P3W2","BLD       ","TOPBUILD COR","85,240","$6,331,627.00","0.31900","Homebuilding","US  ",-,
,="2658441","ONB       ","OLD NATL BANCORP","318,430","$6,193,464.00","0.31200","Regional Banks","US  ",-,
,="BYXR425","RH        ","RH","45,536","$6,186,521.00","0.31200","Homefurnishing Retail","US  ",-,
,="2616773","MDCO      ","MEDICINES COMP","154,025","$6,119,413.00","0.30900","Pharmaceuticals","US  ",-,
,="2707956","PSB       ","PS BUSINESS PARK","47,765","$6,102,934.00","0.30800","Diversified REITs","US  ",-,
,="2330318","EXPO      ","EXPONENT INC","123,820","$6,054,798.00","0.30600","Research & Consulting Services","US  ",-,
,="BWD7PX9","AJRD      ","AEROJET ROCKETDY","179,601","$6,052,554.00","0.30500","Aerospace & Defense","US  ",-,
,="2851808","EE        ","EL PASO ELECTRIC","96,772","$6,028,896.00","0.30400","Electric Utilities","US  ",-,
,="BJ3V905","ENDP      ","ENDO INTERNATION","481,876","$5,994,537.00","0.30200","Pharmaceuticals","US  ",-,
,="B06DT50","LHCG      ","LHC GROUP INC","69,491","$5,981,785.00","0.30200","Health Care Services","US  ",-,
,="BRHZ1X6","GWB       ","GREAT WESTERN BA","140,139","$5,864,817.00","0.29600","Regional Banks","US  ",-,
,="2160645","CVBF      ","CVB FINANCIAL","243,528","$5,825,190.00","0.29400","Regional Banks","US  ",-,
,="2447821","INDB      ","INDEP BANK/MA","65,852","$5,821,317.00","0.29400","Regional Banks","US  ",-,
,="2601218","MOG.A     ","MOOG INC-CLASS A","77,222","$5,792,422.00","0.29200","Aerospace & Defense","US  ",-,
,="B19HNF4","GTLS      ","CHART INDUSTRIES","73,744","$5,758,669.00","0.29100","Industrial Machinery","US  ",-,
,="2049175","AEIS      ","ADV ENERGY INDS","93,547","$5,728,818.00","0.28900","Semiconductor Equipment","US  ",-,
,="B090B96","DRH       ","DIAMONDROCK HOSP","477,625","$5,693,290.00","0.28700","Hotel & Resort REITs","US  ",-,
,="2943620","WTS       ","WATTS WATER TE-A","66,279","$5,670,168.00","0.28600","Industrial Machinery","US  ",-,
,="2715186","KWR       ","QUAKER CHEMICAL","31,685","$5,625,355.00","0.28400","Specialty Chemicals","US  ",-,
,="BQV0M37","TVPT      ","TRAVELPORT WORLD","296,711","$5,607,838.00","0.28300","Data Processing & Outsourced Services","US  ",-,
,="2810133","SFNC      ","SIMMONS FIRST -A","186,454","$5,556,329.00","0.28000","Regional Banks","US  ",-,
,="BYQ44Y5","LCII      ","LCI INDUSTRIES","59,982","$5,515,345.00","0.27800","Auto Parts & Equipment","US  ",-,
,="2789523","OMCL      ","OMNICELL INC","92,515","$5,504,643.00","0.27800","Health Care Technology","US  ",-,
,="B018VB0","MNTA      ","MOMENTA PHARMACE","184,682","$5,466,587.00","0.27600","Biotechnology","US  ",-,
,="BYXB201","VIAV      ","VIAVI SOLUTIONS","539,310","$5,457,817.00","0.27500","Communications Equipment","US  ",-,
,="2906496","UFPI      ","UNIVERSAL FOREST","146,431","$5,394,518.00","0.27200","Building Products","US  ",-,
,="2600088","MNRO      ","MONRO INC","78,932","$5,323,963.00","0.26900","Automotive Retail","US  ",-,
,="B4MF0Q6","SEM       ","SELECT MEDICAL","255,790","$5,320,432.00","0.26800","Health Care Facilities","US  ",-,
,="2612737","PRA       ","PROASSURANCE COR","128,468","$5,305,728.00","0.26800","Property & Casualty Insurance","US  ",-,
,="2944742","WDFC      ","WD-40 CO","33,082","$5,298,082.00","0.26700","Household Products","US  ",-,
,="2862156","UCBI      ","UNITED COMMUNITY","176,319","$5,294,860.00","0.26700","Regional Banks","US  ",-,
,="2718594","DORM      ","DORMAN PRODUCTS","70,559","$5,269,346.00","0.26600","Auto Parts & Equipment","US  ",-,
,="2566522","AKR       ","ACADIA REALTY","194,441","$5,265,462.00","0.26600","Retail REITs","US  ",-,
,="2267171","AWR       ","AMER STATES WATE","87,309","$5,249,017.00","0.26500","Water Utilities","US  ",-,
,="B51JS17","CPS       ","COOPER-STANDARD","38,910","$5,245,068.00","0.26500","Auto Parts & Equipment","US  ",-,
,="B0J2NS5","IRBT      ","IROBOT CORP","66,176","$5,244,448.00","0.26500","Household Appliances","US  ",-,
,="2092801","CRZO      ","CARRIZO OIL&GAS","185,475","$5,226,686.00","0.26400","Oil & Gas Exploration & Production","US  ",-,
