S&P Small-Cap 600 ETF (VIOO)
Holding details,06/30/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="2951292","NPO       ","ENPRO INDUSTRIES","48,710","$3,407,265.00","0.18200","Industrial Machinery","US  ",-,
,="2310202","EFII      ","ELEC FOR IMAGING","103,759","$3,378,393.00","0.18000","Technology Hardware, Storage & Periphera","US  ",-,
,="B8JFD24","THRM      ","GENTHERM INC","85,860","$3,374,298.00","0.18000","Auto Parts & Equipment","US  ",-,
,="2508405","LZB       ","LA-Z-BOY INC","108,943","$3,333,656.00","0.17800","Home Furnishings","US  ",-,
,="B1P36Y6","CENTA     ","CENTRAL GARDEN-A","81,721","$3,307,249.00","0.17600","Household Products","US  ",-,
,="B03W0P7","NP        ","NEENAH INC","38,976","$3,307,114.00","0.17600","Paper Products","US  ",-,
,="2883641","TNC       ","TENNANT CO","41,818","$3,303,622.00","0.17600","Industrial Machinery","US  ",-,
,="2825308","MANT      ","MANTECH INTL-A","61,484","$3,298,002.00","0.17600","IT Consulting & Other Services","US  ",-,
,="BDQYWV1","VREX      ","VAREX IMAGIN","88,011","$3,264,328.00","0.17400","Health Care Equipment","US  ",-,
,="2665300","OXM       ","OXFORD INDS INC","39,236","$3,255,803.00","0.17300","Apparel, Accessories & Luxury Goods","US  ",-,
,="BCD7L64","BEAT      ","BIOTELEMETRY INC","72,186","$3,248,370.00","0.17300","Health Care Services","US  ",-,
,="2296926","FBP       ","FIRST BANCORP PR","424,030","$3,243,830.00","0.17300","Regional Banks","US  ",-,
,="2333986","FSS       ","FED SIGNAL CORP","138,929","$3,235,656.00","0.17200","Construction Machinery & Heavy Trucks","US  ",-,
,="2772396","ECOL      ","US ECOLOGY INC","50,740","$3,232,138.00","0.17200","Environmental & Facilities Services","US  ",-,
,="2090816","BHE       ","BENCHMARK ELECTR","110,103","$3,209,502.00","0.17100","Electronic Manufacturing Services","US  ",-,
,="2925833","UNT       ","UNIT CORP","125,566","$3,209,467.00","0.17100","Oil & Gas Drilling","US  ",-,
,="BJTD9L6","KN        ","KNOWLES CORP","209,512","$3,205,534.00","0.17100","Electronic Components","US  ",-,
,="2561204","MDC       ","MDC HOLDINGS INC","104,138","$3,204,326.00","0.17100","Homebuilding","US  ",-,
,="2725851","RAVN      ","RAVEN INDUSTRIES","83,066","$3,193,888.00","0.17000","Industrial Conglomerates","US  ",-,
,="2210885","CSGS      ","CSG SYSTEMS INTL","78,105","$3,192,151.00","0.17000","Data Processing & Outsourced Services","US  ",-,
,="BZCFW78","GNL       ","GLOBAL NET LEASE","156,041","$3,187,918.00","0.17000","Diversified REITs","US  ",-,
,="2067735","AKS       ","AK STEEL HLDG","733,307","$3,182,552.00","0.17000","Steel","US  ",-,
,="2158781","CALM      ","CAL-MAINE FOODS","69,158","$3,170,894.00","0.16900","Packaged Foods & Meats","US  ",-,
,="B86V808","TILE      ","INTERFACE INC","137,759","$3,161,569.00","0.16800","Office Services & Supplies","US  ",-,
,="B4JSZL8","FN        ","FABRINET","85,533","$3,155,312.00","0.16800","Electronic Manufacturing Services","US  ",-,
,="2046176","APOG      ","APOGEE ENTERPR","65,394","$3,150,029.00","0.16800","Building Products","US  ",-,
,="B2QH310","IRDM      ","IRIDIUM COMMUNIC","194,809","$3,136,425.00","0.16700","Alternative Carriers","US  ",-,
,="BPBSZJ1","KRG       ","KITE REALTY GROU","183,466","$3,133,599.00","0.16700","Retail REITs","US  ",-,
,="2925844","ACOR      ","ACORDA THERAPEUT","108,788","$3,122,216.00","0.16600","Biotechnology","US  ",-,
,="2721967","RMBS      ","RAMBUS INC","248,899","$3,121,193.00","0.16600","Semiconductors","US  ",-,
,="2782038","SWM       ","SCHWEITZER-MAUDU","71,256","$3,115,312.00","0.16600","Paper Products","US  ",-,
,="B1YWRN0","VRTU      ","VIRTUSA CORP","63,956","$3,113,378.00","0.16600","IT Consulting & Other Services","US  ",-,
,="2081133","BPFH      ","BOSTON PRIV FINL","195,146","$3,102,821.00","0.16500","Regional Banks","US  ",-,
,="2268130","AAON      ","AAON INC","93,316","$3,102,757.00","0.16500","Building Products","US  ",-,
,="2673154","PATK      ","PATRICK INDS INC","54,570","$3,102,305.00","0.16500","Building Products","US  ",-,
,="B1Q1RR9","EIG       ","EMPLOYERS HOLDIN","77,023","$3,096,325.00","0.16500","Property & Casualty Insurance","US  ",-,
,="2270500","DIOD      ","DIODES INC","89,761","$3,094,062.00","0.16500","Semiconductors","US  ",-,
,="2456957","DIN       ","DINE BRANDS GLOB","41,336","$3,091,933.00","0.16500","Restaurants","US  ",-,
,="2222608","CTB       ","COOPER TIRE & RU","117,024","$3,077,731.00","0.16400","Tires & Rubber","US  ",-,
,="2958538","SAFT      ","SAFETY INSURANCE","35,751","$3,053,135.00","0.16300","Property & Casualty Insurance","US  ",-,
,="2111579","OSIS      ","OSI SYSTEMS INC","39,443","$3,050,127.00","0.16200","Electronic Equipment & Instruments","US  ",-,
,="B7KY3Z6","EVTC      ","EVERTEC INC","139,496","$3,047,988.00","0.16200","Data Processing & Outsourced Services","US  ",-,
,="2779342","SHLM      ","SCHULMAN (A)","68,356","$3,041,842.00","0.16200","Specialty Chemicals","US  ",-,
,="2840174","SXI       ","STANDEX INTL CO","29,680","$3,033,296.00","0.16200","Industrial Machinery","US  ",-,
,="2655981","ODP       ","OFFICE DEPOT INC","1,188,750","$3,031,313.00","0.16100","Specialty Stores","US  ",-,
,="2030674","AMWD      ","AMER WOODMARK CO","32,981","$3,019,411.00","0.16100","Building Products","US  ",-,
,="2069128","BMI       ","BADGER METER INC","67,510","$3,017,697.00","0.16100","Electronic Equipment & Instruments","US  ",-,
,="2627850","NAVG      ","NAVIGATORS GROUP","52,831","$3,011,367.00","0.16000","Property & Casualty Insurance","US  ",-,
,="2597748","PLUS      ","EPLUS INC","31,741","$2,986,828.00","0.15900","Technology Distributors","US  ",-,
,="2821113","SONC      ","SONIC CORP","86,266","$2,969,276.00","0.15800","Restaurants","US  ",-,
,="BV0LCR0","SHAK      ","SHAKE SHACK IN-A","44,834","$2,967,114.00","0.15800","Restaurants","US  ",-,
,="B57VWJ3","SPSC      ","SPS COMMERCE INC","40,363","$2,965,873.00","0.15800","Internet Software & Services","US  ",-,
,="B1Q1RT1","HF        ","HFF INC-A","86,178","$2,960,214.00","0.15800","Real Estate Services","US  ",-,
,="BMP8TL6","CTRE      ","CARETRUST REI","176,413","$2,944,333.00","0.15700","Health Care REITs","US  ",-,
,="BZ8FLW0","TLRD      ","TAILORED BRANDS","115,075","$2,936,714.00","0.15600","Apparel Retail","US  ",-,
,="2855855","ABG       ","ASBURY AUTO GRP","42,471","$2,911,387.00","0.15500","Automotive Retail","US  ",-,
,="2387109","GES       ","GUESS? INC","135,022","$2,889,471.00","0.15400","Apparel Retail","US  ",-,
,="BRYQ4L1","ENVA      ","ENOVA INTERNATIO","78,710","$2,876,851.00","0.15300","Consumer Finance","US  ",-,
,="2121352","GPI       ","GROUP 1 AUTOMOTI","45,509","$2,867,067.00","0.15300","Automotive Retail","US  ",-,
,="BRB38H9","DPLO      ","DIPLOMAT PHARMAC","111,908","$2,860,368.00","0.15200","Health Care Services","US  ",-,
,="2572109","LMNX      ","LUMINEX CORP","96,033","$2,835,854.00","0.15100","Life Sciences Tools & Services","US  ",-,
,="2911166","USPH      ","US PHYSICAL THER","29,420","$2,824,320.00","0.15000","Health Care Facilities","US  ",-,
,="2779234","SCHL      ","SCHOLASTIC CORP","63,534","$2,815,192.00","0.15000","Publishing","US  ",-,
,="BZ0P429","GCI       ","GANNETT CO INC","262,401","$2,807,691.00","0.15000","Publishing","US  ",-,
,="2853417","STRA      ","STRAYER EDUCATIO","24,840","$2,807,168.00","0.15000","Education Services","US  ",-,
,="2974329","MSTR      ","MICROSTRATEGY","21,839","$2,789,932.00","0.14900","Application Software","US  ",-,
,="BD8Q1B8","TVTY      ","TIVITY HEALTH IN","79,183","$2,787,242.00","0.14800","Health Care Services","US  ",-,
,="B0T7Z62","CROX      ","CROCS INC","158,217","$2,786,201.00","0.14800","Footwear","US  ",-,
,="2487612","KEM       ","KEMET CORP","115,045","$2,778,337.00","0.14800","Electronic Manufacturing Services","US  ",-,
,="2369226","ROCK      ","GIBRALTAR INDUST","73,592","$2,759,700.00","0.14700","Building Products","US  ",-,
,="2239244","CTS       ","CTS CORP","76,577","$2,756,772.00","0.14700","Electronic Manufacturing Services","US  ",-,
,="BT8RWQ5","JRVR      ","JAMES RIVER GROU","69,808","$2,742,756.00","0.14600","Property & Casualty Insurance","US  ",-,
,="BBGT609","FOSL      ","FOSSIL GROUP INC","101,946","$2,739,289.00","0.14600","Apparel, Accessories & Luxury Goods","US  ",-,
,="BJSP4C9","IBP       ","INSTALLED BUILDI","48,364","$2,734,984.00","0.14600","Homebuilding","US  ",-,
,="2577052","LPSN      ","LIVEPERSON INC","129,464","$2,731,690.00","0.14600","Internet Software & Services","US  ",-,
,="2972721","WGO       ","WINNEBAGO INDS","67,184","$2,727,670.00","0.14500","Automobile Manufacturers","US  ",-,
,="BLTFST7","ARCB      ","ARCBEST CORP","59,460","$2,717,322.00","0.14500","Trucking","US  ",-,
,="B4WXG84","UFCS      ","UNITED FIRE GROU","49,561","$2,701,570.00","0.14400","Property & Casualty Insurance","US  ",-,
,="2037062","HLX       ","HELIX ENERGY SOL","322,713","$2,688,199.00","0.14300","Oil & Gas Equipment & Services","US  ",-,
,="B3V8JL7","PMT       ","PENNYMAC MORTGAG","141,508","$2,687,237.00","0.14300","Mortgage REITs","US  ",-,
,="2771133","BABY      ","NATUS MEDICAL","77,890","$2,687,205.00","0.14300","Health Care Equipment","US  ",-,
,="2161778","CHCO      ","CITY HOLDING CO","35,658","$2,682,551.00","0.14300","Regional Banks","US  ",-,
,="2912374","UVE       ","UNIVERSAL INSURA","75,987","$2,667,144.00","0.14200","Property & Casualty Insurance","US  ",-,
,="BZCD9S2","PVAC      ","PENN VIRGINIA","31,400","$2,665,546.00","0.14200","Oil & Gas Exploration & Production","US  ",-,
,="B0GWDP5","CPLA      ","CAPELLA EDUCATIO","26,995","$2,664,407.00","0.14200","Education Services","US  ",-,
,="2860536","SYKE      ","SYKES ENTERPRISE","92,343","$2,657,632.00","0.14200","Data Processing & Outsourced Services","US  ",-,
,="2060370","ASTE      ","ASTEC INDUSTRIES","44,400","$2,655,120.00","0.14100","Construction Machinery & Heavy Trucks","US  ",-,
,="2620398","NTRI      ","NUTRISYSTEM INC","68,821","$2,649,609.00","0.14100","Internet & Direct Marketing Retail","US  ",-,
,="2067672","AZZ       ","AZZ INC","60,218","$2,616,472.00","0.13900","Heavy Electrical Equipment","US  ",-,
,="BYXR9C0","PUMP      ","PROPETRO HOLDING","166,247","$2,606,753.00","0.13900","Oil & Gas Equipment & Services","US  ",-,
,="B6ZJTH3","MGPI      ","MGP INGREDIENTS","29,337","$2,605,419.00","0.13900","Distillers & Vintners","US  ",-,
,="B0PPHS6","AMSF      ","AMERISAFE INC","44,940","$2,595,285.00","0.13800","Property & Casualty Insurance","US  ",-,
,="BVSS693","DEA       ","EASTERLY GOVERNM","131,272","$2,593,935.00","0.13800","Office REITs","US  ",-,
,="BYMMZL7","ASIX      ","ADVANSIX INC","70,742","$2,591,279.00","0.13800","Commodity Chemicals","US  ",-,
,="BH2R795","NEWM      ","NEW MEDIA INVEST","139,715","$2,581,933.00","0.13800","Publishing","US  ",-,
,="BYT1841","CATM      ","CARDTRONICS PL-A","106,250","$2,569,125.00","0.13700","Data Processing & Outsourced Services","US  ",-,
,="B01KGF5","VVI       ","VIAD CORP","47,325","$2,567,381.00","0.13700","Diversified Support Services","US  ",-,
,="2227089","PJC       ","PIPER JAFFRAY CO","33,342","$2,562,333.00","0.13600","Investment Banking & Brokerage","US  ",-,
,="2149622","MTRN      ","MATERION CORP","47,267","$2,559,508.00","0.13600","Diversified Metals & Mining","US  ",-,
,="2200552","BJRI      ","BJ'S RESTAURANTS","41,910","$2,514,600.00","0.13400","Restaurants","US  ",-,
,="2932048","WNC       ","WABASH NATIONAL","134,160","$2,503,426.00","0.13300","Construction Machinery & Heavy Trucks","US  ",-,
,="2143646","CECO      ","CAREER EDUCATION","153,913","$2,488,773.00","0.13300","Education Services","US  ",-,
,="2644547","OFIX      ","ORTHOFIX INTL","43,720","$2,484,170.00","0.13200","Health Care Equipment","US  ",-,
,="BF4HN46","SNBR      ","SLEEP NUMBER COR","85,534","$2,482,197.00","0.13200","Homefurnishing Retail","US  ",-,
,="2722777","RPT       ","RAMCO-GERSHENSON","186,369","$2,461,934.00","0.13100","Retail REITs","US  ",-,
,="2476513","WETF      ","WISDOMTREE INVES","270,828","$2,459,118.00","0.13100","Asset Management & Custody Banks","US  ",-,
,="2888613","TMP       ","TOMPKINS FINANCI","28,626","$2,458,401.00","0.13100","Regional Banks","US  ",-,
,="2196781","CHS       ","CHICO'S FAS INC","299,588","$2,438,646.00","0.13000","Apparel Retail","US  ",-,
,="B0637B2","CORE      ","CORE-MARK HOLDIN","107,211","$2,433,690.00","0.13000","Distributors","US  ",-,
,="B888DV3","NBHC      ","NATIONAL-CL A","62,892","$2,427,002.00","0.12900","Regional Banks","US  ",-,
,="BG3G1B4","LGIH      ","LGI HOMES INC","41,984","$2,423,736.00","0.12900","Homebuilding","US  ",-,
,="2438126","EGOV      ","NIC INC","155,637","$2,420,155.00","0.12900","Internet Software & Services","US  ",-,
,="BCZNFT1","TPRE      ","THIRD POINT REIN","193,359","$2,416,988.00","0.12900","Reinsurance","US  ",-,
,="2516613","LNN       ","LINDSAY CORP","24,848","$2,410,008.00","0.12800","Agricultural & Farm Machinery","US  ",-,
,="B17V2N9","PGTI      ","PGT INNOVATIONS","115,415","$2,406,403.00","0.12800","Building Products","US  ",-,
,="2848736","STC       ","STEWART INFO SVC","55,725","$2,400,076.00","0.12800","Property & Casualty Insurance","US  ",-,
,="2665128","OMI       ","OWENS & MINOR","143,046","$2,390,299.00","0.12700","Health Care Distributors","US  ",-,
,="2767756","SCSC      ","SCANSOURCE INC","59,261","$2,388,218.00","0.12700","Technology Distributors","US  ",-,
,="2519849","TBI       ","TRUEBLUE INC","87,885","$2,368,501.00","0.12600","Human Resource & Employment Services","US  ",-,
,="2318790","OSUR      ","ORASURE TECH","142,314","$2,343,912.00","0.12500","Health Care Supplies","US  ",-,
,="BYN7H26","ALRM      ","ALARM.COM HOLDIN","58,000","$2,342,040.00","0.12500","Internet Software & Services","US  ",-,
,="2564797","NCI       ","NAVIGANT CONSULT","105,073","$2,326,316.00","0.12400","Research & Consulting Services","US  ",-,
,="2273446","WIRE      ","ENCORE WIRE","48,716","$2,311,574.00","0.12300","Electrical Components & Equipment","US  ",-,
,="B16NWY7","CRAY      ","CRAY INC","93,954","$2,311,268.00","0.12300","Technology Hardware, Storage & Periphera","US  ",-,
,="2619880","HFWA      ","HERITAGE FINL","66,200","$2,307,070.00","0.12300","Regional Banks","US  ",-,
,="2891826","FORM      ","FORMFACTOR INC","171,143","$2,276,202.00","0.12100","Semiconductor Equipment","US  ",-,
,="2797838","CKH       ","SEACOR HOLDINGS","39,740","$2,275,910.00","0.12100","Oil & Gas Equipment & Services","US  ",-,
,="B5LYMC1","CLDT      ","CHATHAM LODGING","107,000","$2,270,540.00","0.12100","Hotel & Resort REITs","US  ",-,
,="2893071","TGI       ","TRIUMPH GROUP","115,542","$2,264,623.00","0.12100","Aerospace & Defense","US  ",-,
,="2856289","RGR       ","STURM RUGER & CO","40,407","$2,262,792.00","0.12100","Leisure Products","US  ",-,
,="2838306","SMP       ","STANDARD MOTOR","46,809","$2,262,747.00","0.12100","Auto Parts & Equipment","US  ",-,
,="2167475","CBL       ","CBL & ASSOC PROP","403,178","$2,245,701.00","0.12000","Retail REITs","US  ",-,
,="B3RDWC8","MXL       ","MAXLINEAR","143,908","$2,243,526.00","0.12000","Semiconductors","US  ",-,
,="BF4L070","CEIX      ","CONSOL ENERGY IN","58,395","$2,239,448.00","0.11900","Coal & Consumable Fuels","US  ",-,
,="2636878","NR        ","NEWPARK RESOURCE","206,134","$2,236,554.00","0.11900","Oil & Gas Equipment & Services","US  ",-,
,="BD5JS97","DF        ","DEAN FOODS CO","212,738","$2,235,876.00","0.11900","Packaged Foods & Meats","US  ",-,
,="BDDXF67","INVA      ","INNOVIVA INC","161,177","$2,224,243.00","0.11800","Pharmaceuticals","US  ",-,
,="BYRYKS0","ARR       ","ARMOUR RESIDENTI","97,378","$2,221,192.00","0.11800","Mortgage REITs","US  ",-,
,="2518415","RTEC      ","RUDOLPH TECHNOL","74,790","$2,213,784.00","0.11800","Semiconductor Equipment","US  ",-,
,="BGDW5G5","NMIH      ","NMI HOLDINGS I-A","135,248","$2,204,542.00","0.11700","Thrifts & Mortgage Finance","US  ",-,
,="2239017","CRY       ","CRYOLIFE INC","78,193","$2,177,675.00","0.11600","Health Care Equipment","US  ",-,
,="2485876","SBSI      ","SOUTHSIDE BAN IN","64,540","$2,173,707.00","0.11600","Regional Banks","US  ",-,
,="2608985","MTSC      ","MTS SYSTEMS CORP","41,222","$2,170,338.00","0.11600","Electronic Equipment & Instruments","US  ",-,
,="BNFZBM9","BEL       ","BELMOND LTD-A","194,605","$2,169,846.00","0.11600","Hotels, Resorts & Cruise Lines","US  ",-,
,="B1GHPN9","IPHS      ","INNOPHOS HOLDING","45,369","$2,159,564.00","0.11500","Specialty Chemicals","US  ",-,
,="BF23JJ3","RMAX      ","RE/MAX HOLDINGS","41,121","$2,156,796.00","0.11500","Real Estate Services","US  ",-,
,="2442547","PRFT      ","PERFICIENT INC","81,704","$2,154,534.00","0.11500","IT Consulting & Other Services","US  ",-,
,="2698146","GTY       ","GETTY REALTY","76,449","$2,153,568.00","0.11500","Retail REITs","US  ",-,
,="B6TPXR5","HAFC      ","HANMI FINL CORP","75,909","$2,152,020.00","0.11500","Regional Banks","US  ",-,
,="B3KKGQ8","VRTS      ","VIRTUS INVEST","16,794","$2,148,792.00","0.11400","Asset Management & Custody Banks","US  ",-,
,="2106661","FARO      ","FARO TECH","39,316","$2,136,825.00","0.11400","Electronic Equipment & Instruments","US  ",-,
,="B02T2D1","FSP       ","FRANKLIN STREET","249,020","$2,131,611.00","0.11400","Office REITs","US  ",-,
,="2715391","QSII      ","QUALITY SYSTEMS","109,289","$2,131,136.00","0.11400","Health Care Technology","US  ",-,
,="2473150","IPAR      ","INTER PARFUMS","39,773","$2,127,856.00","0.11300","Personal Products","US  ",-,
,="BN40158","SPTN      ","SPARTANNASH CO","83,212","$2,123,570.00","0.11300","Food Distributors","US  ",-,
,="2414018","HTLD      ","HEARTLAND EXPRES","114,284","$2,119,968.00","0.11300","Trucking","US  ",-,
,="2269229","DBD       ","DIEBOLD NIXDORF","177,036","$2,115,580.00","0.11300","Technology Hardware, Storage & Periphera","US  ",-,
,="BL95N25","PAHC      ","PHIBRO ANIMAL-A","45,896","$2,113,511.00","0.11300","Pharmaceuticals","US  ",-,
,="2143099","PETS      ","PETMED EXPRESS","47,794","$2,105,326.00","0.11200","Internet & Direct Marketing Retail","US  ",-,
,="2568357","MRTN      ","MARTEN TRANSPORT","89,750","$2,104,638.00","0.11200","Trucking","US  ",-,
,="2274922","ANDE      ","ANDERSONS INC","61,189","$2,092,664.00","0.11100","Food Distributors","US  ",-,
,="B7ZKH46","AMBC      ","AMBAC FINANCIAL","105,111","$2,086,453.00","0.11100","Property & Casualty Insurance","US  ",-,
,="BCRYTK1","IRT       ","INDEPENDENCE REA","202,269","$2,085,393.00","0.11100","Residential REITs","US  ",-,
,="B1VQR35","SMCI      ","SUPER MICRO COMP","88,136","$2,084,416.00","0.11100","Technology Hardware, Storage & Periphera","US  ",-,
,="2609858","LABL      ","MULTI-COLOR CORP","32,233","$2,083,863.00","0.11100","Commercial Printing","US  ",-,
,="BVGC697","VSTO      ","VISTA OUTDOOR","133,060","$2,061,099.00","0.11000","Leisure Products","US  ",-,
,="2420316","CASH      ","META FINANCIAL G","21,082","$2,053,387.00","0.10900","Thrifts & Mortgage Finance","US  ",-,
,="BDW0D09","AAOI      ","APPLIED OPTOELEC","45,706","$2,052,199.00","0.10900","Communications Equipment","US  ",-,
,="BN458W9","RYAM      ","RAYONIER ADV","120,079","$2,052,150.00","0.10900","Specialty Chemicals","US  ",-,
,="2443078","ECPG      ","ENCORE CAPITAL G","55,603","$2,035,070.00","0.10800","Consumer Finance","US  ",-,
,="B3R0638","SXC       ","SUNCOKE ENERGY I","151,565","$2,030,971.00","0.10800","Steel","US  ",-,
,="B7ZR219","SSTK      ","SHUTTERSTOCK INC","42,671","$2,025,166.00","0.10800","Internet Software & Services","US  ",-,
,="2407052","EXTR      ","EXTREME NETWORKS","253,310","$2,016,348.00","0.10700","Communications Equipment","US  ",-,
,="BYQBFS7","TRHC      ","TABULA RASA HEAL","31,555","$2,014,156.00","0.10700","Health Care Technology","US  ",-,
,="2372008","GLT       ","GLATFELTER","102,124","$2,000,609.00","0.10700","Paper Products","US  ",-,
,="2021634","ALG       ","ALAMO GROUP","22,099","$1,996,866.00","0.10600","Construction Machinery & Heavy Trucks","US  ",-,
,="2918576","PRSC      ","PROVIDENCE SERVI","25,329","$1,989,593.00","0.10600","Health Care Services","US  ",-,
,="B1YWR85","TYPE      ","MONOTYPE IMAGING","97,889","$1,987,147.00","0.10600","Application Software","US  ",-,
,="2906429","TRST      ","TRUSTCO BANK NY","223,049","$1,985,136.00","0.10600","Thrifts & Mortgage Finance","US  ",-,
,="B6XHXY4","CUBI      ","CUSTOMERS BANCOR","69,163","$1,962,846.00","0.10500","Regional Banks","US  ",-,
,="2230946","CPF       ","CENTRAL PACIFIC","68,449","$1,961,064.00","0.10400","Regional Banks","US  ",-,
,="2622220","NANO      ","NANOMETRICS INC","55,289","$1,957,783.00","0.10400","Semiconductor Equipment","US  ",-,
,="B764L34","AEGN      ","AEGION CORP","75,272","$1,938,254.00","0.10300","Construction & Engineering","US  ",-,
,="2164700","CAMP      ","CALAMP CORP","82,723","$1,938,200.00","0.10300","Communications Equipment","US  ",-,
,="BCD47X4","BANC      ","BANC OF CALIFORN","98,821","$1,931,951.00","0.10300","Regional Banks","US  ",-,
,="B4M8043","USCR      ","US CONCRETE INC","36,750","$1,929,375.00","0.10300","Construction Materials","US  ",-,
,="2771984","CMO       ","CAPSTEAD MORTGAG","214,818","$1,922,621.00","0.10200","Mortgage REITs","US  ",-,
,="2752677","KND       ","KINDRED HEALTHCA","210,828","$1,897,452.00","0.10100","Health Care Facilities","US  ",-,
,="2456441","INTL      ","INTL FCSTONE INC","36,580","$1,891,552.00","0.10100","Investment Banking & Brokerage","US  ",-,
,="B00CR04","ANGO      ","ANGIODYNAMICS IN","85,022","$1,890,889.00","0.10100","Health Care Equipment","US  ",-,
,="2927497","UHT       ","UNIVERSAL HEALTH","29,385","$1,880,052.00","0.10000","Health Care REITs","US  ",-,
,="B0X46B1","KOP       ","KOPPERS HOLDINGS","48,997","$1,879,035.00","0.10000","Commodity Chemicals","US  ",-,
,="B07LSQ7","CNSL      ","CONSOLIDATED COM","151,601","$1,873,788.00","0.10000","Integrated Telecommunication Services","US  ",-,
,="BYMC5T5","EXTN      ","EXTERRAN CORP","74,807","$1,873,167.00","0.10000","Oil & Gas Equipment & Services","US  ",-,
,="B0G4KC7","RUTH      ","RUTH'S HOSPITALI","66,486","$1,864,932.00","0.09900","Restaurants","US  ",-,
,="BYYTSK6","HT        ","HERSHA HOSPITAL","86,136","$1,847,617.00","0.09800","Hotel & Resort REITs","US  ",-,
,="BF0FM92","SVU       ","SUPERVALU INC","89,277","$1,831,964.00","0.09800","Food Retail","US  ",-,
,="2367101","GCO       ","GENESCO INC","46,113","$1,830,686.00","0.09800","Apparel Retail","US  ",-,
,="B7V5P52","FRGI      ","FIESTA RESTAURAN","63,738","$1,829,281.00","0.09700","Restaurants","US  ",-,
,="BYXQNK3","XPER      ","XPERI CORP","113,372","$1,825,289.00","0.09700","Semiconductor Equipment","US  ",-,
,="2186254","CENX      ","CENTURY ALUMINUM","115,498","$1,819,094.00","0.09700","Aluminum","US  ",-,
,="2733092","RCII      ","RENT-A-CENTER","123,382","$1,816,183.00","0.09700","Computer & Electronics Retail","US  ",-,
,="2526991","XOXO      ","XO GROUP INC","56,596","$1,811,072.00","0.09600","Internet Software & Services","US  ",-,
,="B4M7GZ3","ECHO      ","ECHO GLOBAL LOGI","61,664","$1,803,672.00","0.09600","Air Freight & Logistics","US  ",-,
,="B8NB2R6","NFBK      ","NORTHFIELD BANCO","107,787","$1,791,420.00","0.09500","Thrifts & Mortgage Finance","US  ",-,
,="2680767","PEI       ","PENN REIT","162,709","$1,788,172.00","0.09500","Retail REITs","US  ",-,
,="BZB1XF2","TCMD      ","TACTILE SYSTEMS","34,381","$1,787,812.00","0.09500","Health Care Equipment","US  ",-,
,="2534671","LDL       ","LYDALL INC","40,774","$1,779,785.00","0.09500","Industrial Machinery","US  ",-,
,="2149934","BKE       ","THE BUCKLE INC","65,936","$1,773,678.00","0.09400","Apparel Retail","US  ",-,
,="2643168","MOV       ","MOVADO GROUP","36,397","$1,757,975.00","0.09400","Apparel, Accessories & Luxury Goods","US  ",-,
,="2549385","MHO       ","M/I HOMES INC","66,266","$1,754,724.00","0.09300","Homebuilding","US  ",-,
,="2215341","CMTL      ","COMTECH TELECOMM","54,781","$1,746,418.00","0.09300","Communications Equipment","US  ",-,
,="2156581","BGG       ","BRIGGS & STRATTN","99,035","$1,744,006.00","0.09300","Industrial Machinery","US  ",-,
,="2680303","JCP       ","J.C. PENNEY CO","733,131","$1,715,527.00","0.09100","Department Stores","US  ",-,
,="2862532","SSP       ","EW SCRIPPS-A","127,934","$1,713,036.00","0.09100","Broadcasting","US  ",-,
,="B4WHS46","HMST      ","HOMESTREET INC","63,233","$1,704,129.00","0.09100","Thrifts & Mortgage Finance","US  ",-,
,="2502678","SRDX      ","SURMODICS INC","30,845","$1,702,644.00","0.09100","Health Care Equipment","US  ",-,
,="2496384","CIR       ","CIRCOR INTL","45,977","$1,699,310.00","0.09100","Industrial Machinery","US  ",-,
,="B11FJD6","GPRE      ","GREEN PLAINS INC","90,979","$1,664,916.00","0.08900","Oil & Gas Refining & Marketing","US  ",-,
,="2066721","AVP       ","AVON PRODUCTS","1,024,491","$1,659,675.00","0.08800","Personal Products","US  ",-,
,="2052924","ADTN      ","ADTRAN INC","111,460","$1,655,181.00","0.08800","Communications Equipment","US  ",-,
,="2930774","VICR      ","VICOR CORP","37,908","$1,650,893.00","0.08800","Electrical Components & Equipment","US  ",-,
,="2577870","HSTM      ","HEALTHSTREAM INC","60,024","$1,639,255.00","0.08700","Health Care Technology","US  ",-,
,="2208426","COHU      ","COHU INC","66,733","$1,635,626.00","0.08700","Semiconductor Equipment","US  ",-,
,="2938422","VECO      ","VEECO INSTRUMENT","113,486","$1,617,176.00","0.08600","Semiconductor Equipment","US  ",-,
,="B44C366","HSKA      ","HESKA CORP","15,561","$1,615,076.00","0.08600","Health Care Equipment","US  ",-,
,="2879123","TISI      ","TEAM INC","69,673","$1,609,446.00","0.08600","Environmental & Facilities Services","US  ",-,
,="2487117","KELYA     ","KELLY SERVICES-A","71,668","$1,608,947.00","0.08600","Human Resource & Employment Services","US  ",-,
,="B5KKQN9","LL        ","LUMBER LIQUIDATO","66,062","$1,608,610.00","0.08600","Home Improvement Retail","US  ",-,
,="2472759","ITG       ","INVESTMENT TECH","76,685","$1,604,250.00","0.08500","Investment Banking & Brokerage","US  ",-,
,="B464DZ9","EXPR      ","EXPRESS INC","174,362","$1,595,412.00","0.08500","Apparel Retail","US  ",-,
