Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",832150000,12.76,3.37,73950000,2.72,0,0.00%
AAON,"Aaon Inc",1918994000,43.27,0.84,54500000,0.7,0.32,0.88%
AAT,"American Assets Trust",1803894000,18.84,0.45,40130000,0.41,1.08,2.90%
AAWW,"Atlas Air Ww",1770030000,12.92,5.46,223470000,1.19,0,0.00%
AAXN,"Axon Inc",4255597000,170.36,0.42,5210000,0.82,0,0.00%
ABAX,"Abaxis Inc",1904842000,64.07,1.3,27180000,1.3,0.72,0.86%
ABCB,"Ameris Bancorp",1981661000,19.69,2.62,73550000,1.22,0.4,0.78%
ABG,"Asbury Automotive Group Inc",1431722000,10.26,6.8,139100000,1.54,0,0.00%
ABM,"ABM Industries Incorporated",1973515000,18.4,1.61,3800000,0.81,0.7,2.36%
ACET,"Aceto Cp",100991000,4.06,0.8,11380000,1.7,0.04,1.23%
ACLS,"Axcelis Tech Inc",700870000,13.74,1.59,126960000,1.05,0,0.00%
ACOR,"Acorda Therapeutics",1372091000,0,-0.46,-223360000,1.63,0,0.00%
ADC,"Agree Realty Corp",1583078000,19.11,2.06,58110000,0.34,2.16,4.07%
ADTN,"Adtran Inc",788120000,0,0.34,23840000,0.61,0.36,2.24%
AEGN,"Aegion Corp",837889000,25.7,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2377892000,13.18,4.62,137860000,1.34,0,0.00%
AEL,"American Equity Investment Life",3167015000,10.61,3.34,174650000,2.49,0.26,0.73%
AGYS,"Agilysys Inc",387655000,0,-0.36,-8350000,0.33,0,0.00%
AHH,"Armada Hoffler Properties Inc",697601000,15.39,0.45,21050000,0.52,0.8,5.30%
AIN,"Albany International Corp",2059190000,37.41,1.7,33110000,1.61,0.68,1.07%
AIR,"AAR Corp",1635559000,27.71,1.69,15600000,1.26,0.3,0.64%
AIT,"Applied Industrial Technologies",2919915000,21.39,3.46,133910000,0.95,1.2,1.62%
AJRD,"Aerojet Rocketdyne Holdings",2295955000,36.81,0.83,-9200000,1.13,0,0.00%
AKR,"Acadia Realty Trust",2185796000,18.3,0.63,60830000,0.44,1.08,4.10%
AKS,"AK Steel Holding Corp",1522899000,20.46,0.24,6200000,2.84,0,0.00%
ALG,"Alamo Group",1056539000,18.96,4.73,44320000,0.85,0.44,0.49%
ALGT,"Allegiant Travel Com",2322370000,13.68,10.46,194900000,0.14,2.8,1.96%
ALRM,Alarm.Com,2098730000,42.78,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",760410000,0,-0.32,-199230000,0.32,0,0.00%
AMBC,"Ambac Financial Grp",912946000,3.65,5.58,-328720000,1.69,0,0.00%
AMED,"Amedisys Inc",3248984000,37.46,2.53,30300000,0.6,0,0.00%
AMN,"Amn Healthcare Services Inc",2942775000,22.06,2.74,132560000,0.41,0,0.00%
AMPH,"Amphastar Pharma",775590000,71.17,0.23,4510000,1.34,0,0.00%
AMSF,"Amerisafe Inc",1179675000,18.69,3.24,46230000,0.81,0.88,1.45%
AMWD,"Amer Woodmark Cp",1537380000,17.71,4.94,63140000,1.83,0,0.00%
ANDE,"Andersons Inc",990500000,29.12,1.19,42510000,1.22,0.66,1.90%
ANF,"Abercrombie & Fitch Company",1821517000,27.71,0.96,7090000,0.81,0.8,3.01%
ANGO,"Angiodynamics Inc",793256000,28.67,0.73,16340000,1.03,0,0.00%
ANIK,"Anika Therapeutics",502929000,20.3,1.71,31820000,1.83,0,0.00%
ANIP,"ANI Pharma Inc",832608000,17.12,4.14,-1080000,2.84,0,0.00%
APEI,"American Pub. Edu.",725700000,33.01,1.36,21120000,0.67,0,0.00%
APOG,"Apogee Entrpr Inc",1384947000,15.87,3.1,79490000,1.48,0.63,1.28%
ARCB,"Arcbest Corp",1197388000,24.39,1.87,59730000,1.82,0.32,0.70%
ARI,"Apollo Commercial Real Estate",2320157000,11.02,1.7,193030000,0.51,1.84,9.82%
AROC,"Archrock Inc",925059000,0,-0.1,18950000,2.9,0.48,3.81%
ARR,"Armour Residential R",969566000,8.46,2.72,181150000,0.56,2.28,9.90%
ASGN,"On Assignment",4423011000,25.56,3.29,157680000,1.9,0,0.00%
ASIX,"Advansix Inc",1222440000,15.26,2.57,146700000,1.41,0,0.00%
ASNA,"Ascena Retail Grp",725977000,0,-0.04,-1067300000,1.75,0,0.00%
ASTE,"Astec Inds Inc",1423960000,34.33,1.79,37800000,1.13,0.4,0.65%
ATNI,"Atn International",881617000,38.21,1.46,31490000,0.5,0.68,1.22%
ATU,"Actuant Corp",1708245000,31.22,0.9,-66210000,1.46,0.04,0.14%
AVA,"Avista Corp",3309768000,26.49,1.9,115920000,0.32,1.49,2.96%
AVAV,"Aerovironment Inc",1791816000,71.62,1.04,20070000,1.19,0,0.00%
AVD,"American Vanguard Corp",652660000,35.56,0.62,20270000,1.07,0.08,0.36%
AVP,"Avon Products",649270000,14.7,0.1,22000000,1.31,0,0.00%
AWR,"American States Water Company",2234045000,32.67,1.84,69370000,0.4,1.02,1.70%
AXE,"Anixter International Inc",2207040000,12.55,5.23,109000000,2.07,0,0.00%
AXL,"American Axle & Manufacturing",1839040000,4.58,3.72,337100000,1.34,0,0.00%
AZZ,"Azz Inc",1419937000,50.75,1.06,45170000,1.24,0.68,1.26%
B,"Barnes Group",3254269000,20.91,2.9,59420000,1.34,0.64,1.06%
BABY,"Natus Medical Inc",1108979000,22.89,1.4,-20290000,0.48,0,0.00%
BANC,"First Pactrust Bancorp",973858000,24.19,0.8,57710000,0.87,0.52,2.69%
BANR,"Banner Corp",2000904000,19.64,3.14,60780000,1.01,1.4,2.27%
BCC,"Boise Cascade L.L.C.",1786077000,17.37,2.6,82960000,1.99,0.28,0.62%
BCOR,"Blucora Inc",1787589000,25.67,1.49,27040000,-0.04,0,0.00%
BCPC,"Balchem Cp",3226092000,36.77,2.71,90070000,0.9,0.42,0.42%
BEAT,"Biotelemetry Inc",1649337000,45.45,1.1,-15960000,1.41,0,0.00%
BEL,"Belmond Ltd",1176488000,114.5,0.1,-45040000,1.32,0,0.00%
BELFB,"Bel Fuse Inc Cl B",271878000,29.67,0.75,-11900000,0.63,0.28,1.26%
BFS,"Saul Centers",1187212000,17.49,1.45,48260000,0.66,2.08,3.96%
BGFV,"Big 5 Sporting",146727000,25.38,0.26,1100000,-0.65,0.6,9.09%
BGG,"Briggs & Stratton Corp",718563000,13.84,1.28,56650000,0.65,0.56,3.16%
BGS,"B&G Foods Holdings",2041550000,14.86,2.08,217460000,0.45,1.9,6.15%
BHE,"Benchmark Electronics",1398286000,17.63,1.67,-31970000,0.4,0.6,2.04%
BHLB,"Berkshire Hills Bancorp",1859949000,15.94,2.4,55250000,0.67,0.88,2.16%
BJRI,"Bj's Restaurants Inc",1337193000,37.98,1.68,44780000,0.67,0.44,0.69%
BKE,"Buckle Inc",1208790000,12.68,1.9,89710000,0.76,1,4.15%
BKS,"Barnes & Noble",400345000,11.22,0.49,-125480000,1.93,0.6,10.91%
BLD,"Topbuild Corp",2994014000,26.7,3.07,158130000,0.59,0,0.00%
BMI,"Badger Meter",1484610000,39.13,1.14,34570000,0.67,0.52,1.11%
BNED,"Barnes & Noble Education Inc C",259468000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2583315000,17.09,2.4,134740000,0.29,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1267511000,18.2,0.95,40590000,1.03,0.48,2.96%
BRC,"Brady Corp",1950598000,19.02,1.94,95650000,1.14,0.83,2.25%
BRKL,"Brookline Bancorp",1489936000,21.32,0.87,50520000,0.95,0.4,2.16%
BRKS,"Brooks Automation",2287612000,23.23,1.41,62610000,1.02,0.4,1.22%
