Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",801214000,15.07,3.37,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2030301000,48.44,0.8,54500000,0.82,0.32,0.83%
AAT,"American Assets Trust",1823636000,18.66,0.4,40130000,0.38,1.08,2.80%
AAWW,"Atlas Air Ww",1580844000,10.18,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3481587000,127.58,0.42,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2346994000,17.86,2.73,73550000,1.05,0.4,0.82%
ABG,"Asbury Automotive Group Inc",1535408000,10.21,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2062921000,19.53,1.61,3800000,0.81,0.7,2.23%
ACET,"Aceto Cp",98528000,4.05,0.8,11380000,1.62,0.04,1.23%
ACLS,"Axcelis Tech Inc",723246000,13.2,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1252062000,26.58,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1563878000,19.02,1.91,58110000,0.33,2.16,4.03%
ADTN,"Adtran Inc",761453000,0,-0.06,23840000,0.61,0.36,2.21%
AEGN,"Aegion Corp",818009000,25.41,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2438118000,13.09,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3317482000,10.14,3.34,174650000,2.4,0.26,0.72%
AGYS,"Agilysys Inc",363854000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",761706000,16.2,0.46,21050000,0.61,0.8,5.09%
AIN,"Albany International Corp",2461690000,31.76,1.7,33110000,1.67,0.68,0.91%
AIR,"AAR Corp",1632433000,27.57,1.69,15600000,1.21,0.3,0.64%
AIT,"Applied Industrial Technologies",2883150000,21.34,3.46,133910000,0.94,1.2,1.62%
AJRD,"Aerojet Rocketdyne Holdings",2605932000,35.8,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2185830000,19.05,0.58,60830000,0.41,1.08,4.02%
AKS,"AK Steel Holding Corp",1413485000,16.63,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1129364000,18.47,5.21,44320000,0.87,0.44,0.46%
ALGT,"Allegiant Travel Com",2083832000,12.08,10.62,194900000,0.15,2.8,2.18%
ALRM,Alarm.Com,2281270000,43.63,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",868644000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",948757000,3.71,5.58,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3509087000,37.2,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2635695000,20.16,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",837582000,77.39,0.23,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1198935000,18.59,3.34,46230000,0.79,0.88,1.42%
AMWD,"Amer Woodmark Cp",1490872000,17.29,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1134830000,25.18,1.19,42510000,1.16,0.66,1.86%
ANF,"Abercrombie & Fitch Company",1756439000,27.41,0.96,7090000,0.72,0.8,3.04%
ANGO,"Angiodynamics Inc",783175000,29.4,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",601425000,25.52,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",673308000,13.22,4.14,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",712580000,31.95,1.36,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1408977000,16.08,3.1,79490000,1.45,0.63,1.26%
ARCB,"Arcbest Corp",1225592000,19.75,2.42,59730000,1.92,0.32,0.67%
ARI,"Apollo Commercial Real Estate",2299244000,11.41,1.65,193030000,0.54,1.84,9.77%
AROC,"Archrock Inc",946572000,1320,0.01,18950000,2.92,0.53,4.00%
ARR,"Armour Residential R",978227000,8.72,2.68,181150000,0.64,2.28,9.76%
ASGN,"On Assignment",4804801000,25.44,3.62,157680000,1.91,0,0.00%
ASIX,"Advansix Inc",1044565000,13.39,1.74,146700000,1.47,0,0.00%
ASNA,"Ascena Retail Grp",804461000,0,-0.04,-1067300000,1.66,0,0.00%
ASTE,"Astec Inds Inc",1071607000,21.19,2.2,37800000,1.04,0.4,0.86%
ATNI,"Atn International",1062990000,43.17,1.56,31490000,0.61,0.68,1.01%
ATU,"Actuant Corp",1705200000,31.22,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3324571000,26,1.95,115920000,0.25,1.49,2.94%
AVAV,"Aerovironment Inc",1858524000,73.84,1.04,20070000,1.14,0,0.00%
AVD,"American Vanguard Corp",609432000,31.06,0.62,20270000,1.01,0.08,0.39%
AVP,"Avon Products",787383000,17.8,0.1,22000000,1.24,0,0.00%
AWR,"American States Water Company",2192047000,36.45,1.84,69370000,0.27,1.02,1.69%
AXE,"Anixter International Inc",2455964000,13.48,5.4,109000000,2.12,0,0.00%
AXL,"American Axle & Manufacturing",1950107000,4.65,2.73,337100000,1.37,0,0.00%
AZZ,"Azz Inc",1408223000,51.04,1.06,45170000,1.42,0.68,1.26%
B,"Barnes Group",3442528000,22.46,2.99,59420000,1.37,0.64,0.95%
BABY,"Natus Medical Inc",1185727000,25.5,1.41,-20290000,0.58,0,0.00%
BANC,"First Pactrust Bancorp",1014329000,26.18,0.76,57710000,0.83,0.52,2.61%
BANR,"Banner Corp",2102420000,19.35,3.36,60780000,0.98,1.4,2.15%
BCC,"Boise Cascade L.L.C.",1711160000,13.25,2.6,82960000,1.98,0.28,0.64%
BCOR,"Blucora Inc",1653108000,20.35,1.72,27040000,-0.14,0,0.00%
BCPC,"Balchem Cp",3286386000,37.52,2.07,90070000,0.84,0.42,0.41%
BEAT,"Biotelemetry Inc",1896902000,43.23,1.33,-15960000,1.3,0,0.00%
BEL,"Belmond Ltd",1145663000,112,0.1,-45040000,1.33,0,0.00%
BELFB,"Bel Fuse Inc Cl B",302555000,28.2,0.86,-11900000,0.55,0.28,1.15%
BFS,"Saul Centers",1234575000,18.19,1.45,48260000,0.66,2.08,3.81%
BGFV,"Big 5 Sporting",121080000,47.92,0.12,1100000,-0.69,0.6,10.44%
BGG,"Briggs & Stratton Corp",743311000,13.93,1.28,56650000,0.64,0.56,3.14%
BGS,"B&G Foods Holdings",2020755000,15.15,2.05,217460000,0.47,1.9,6.12%
BHE,"Benchmark Electronics",1217862000,16.04,1.59,-31970000,0.23,0.6,2.35%
BHLB,"Berkshire Hills Bancorp",1884930000,16.07,2.56,55250000,0.74,0.88,2.14%
BJRI,"Bj's Restaurants Inc",1329515000,31.52,1.98,44780000,0.76,0.44,0.71%
BKE,"Buckle Inc",1181928000,12.84,1.9,89710000,0.65,1,4.10%
BKS,"Barnes & Noble",433101000,12.04,0.49,-125480000,1.85,0.6,10.17%
BLD,"Topbuild Corp",2691973000,23.39,3.07,158130000,0.5,0,0.00%
BMI,"Badger Meter",1525364000,44.04,1.2,34570000,0.72,0.52,0.98%
BNED,"Barnes & Noble Education Inc C",277766000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2325922000,16.32,2.4,134740000,0.12,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1205123000,16.07,0.89,40590000,0.96,0.48,3.36%
BRC,"Brady Corp",1958359000,19.25,1.94,95650000,1.09,0.83,2.22%
BRKL,"Brookline Bancorp",1445760000,19.25,0.93,50520000,0.85,0.4,2.23%
BRKS,"Brooks Automation",2103503000,19.54,1.41,62610000,1,0.4,1.36%
BRS,"Bristow Group Inc",422326000,0,-2.15,-195660000,2.96,0,0.00%
CACI,"Caci International",4494165000,23.2,7.76,163670000,1.45,0,0.00%
CAL,"Caleres Inc",1506467000,15.84,2.19,87200000,0.84,0.28,0.81%
CALM,"Cal-Maine Foods In",2268590000,15.61,2.97,125930000,0.54,1.4,3.03%
CAMP,"Calamp Corp",816732000,24.26,0.95,16620000,1.75,0,0.00%
CASH,"Meta Financial Grp",897250000,13.77,6.63,44920000,1.02,0.52,0.57%
CATM,"Cardtronics Inc",1401597000,11.21,1.98,-145350000,0.84,0,0.00%
CATO,"Cato Corp",619213000,28.64,0.88,8540000,0.71,1.32,5.24%
CBB,"Cincinnati Bell Inc",421880000,0,-0.27,35100000,1.24,0,0.00%
CBL,"Cbl & Associates Properties",770064000,2.28,-0.12,120940000,1.14,0.8,18.10%
CBM,"Cambrex Corp",2092054000,17,3.75,102450000,2.4,0,0.00%
CBU,"Community Bank System",3259022000,20.06,3.16,150720000,1,1.36,2.15%
CCMP,"Cabot Microelectron",3144183000,25.48,4.82,86950000,1.37,1.6,1.30%
CCOI,"Cogent Comm Hldgs",2313210000,104.38,0.48,5880000,0.5,2.08,4.15%
CCRN,"Cross Ctry Hlthcr",328425000,16.98,0.51,37510000,0.86,0,0.00%
CDR,"Cedar Shopping Centers Inc",416830000,7.65,-0.21,19140000,0.87,0.2,4.36%
CECO,"Career Education",1201973000,31.56,0.54,-31900000,2.77,0,0.00%
CEIX,"Consol Energy Inc",1243131000,0,4.84,67630000,N/A,0,0.00%
CENT,"Central Garden",2156749000,22.04,1.92,78830000,0.05,0,0.00%
CENTA,"Central Garden & Pet",1971558000,20.35,1.92,78830000,0.32,0,0.00%
CENX,"Century Aluminum C",1052712000,17.91,0.69,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",634381000,106.15,0.52,17030000,1.06,0,0.00%
CHCO,"City Holding Co",1243448000,18,4.45,54310000,0.67,1.84,2.30%
CHCT,"Community Healthcare Trust Inc",576488000,21.2,0.23,3510000,0.79,1.6,5.20%
CHS,"Chico's Fas",1230895000,14.4,0.65,101000000,0.75,0.34,3.63%
CHSP,"Chesapeake Lodging Trust",1895956000,14,1.21,76240000,0.92,1.6,5.04%
CHUY,"Chuy's Holdings Inc",518670000,34.72,0.88,28960000,-0.23,0,0.00%
CIR,"Circor International",875891000,22.71,1.97,11790000,1.87,0.08,0.17%
CJ,"C&J Energy Services Inc",1631340000,16.21,1.46,22460000,0.91,0,0.00%
CKH,"Seacor Smit Inc",937055000,37.84,1.37,61640000,0.79,0,0.00%
CLD,"Cloud Peak Energy Inc",197786000,0,-0.61,-6640000,1.94,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",967150000,10.65,0.83,29480000,1.07,1.32,6.17%
CLW,"Clearwater Paper Corp",434280000,15.84,1.66,97340000,1.03,0,0.00%
CMO,"Capstead Mortgage Corp",754800000,14.84,0.55,79590000,0.1,0.56,6.86%
CMTL,"Comtech Telecom Co",819599000,53.06,0.65,15830000,1.55,0.4,1.16%
CNMD,"C O N M E D Cp",2164751000,37.04,2.1,55490000,0.55,0.8,1.03%
CNSL,"Consolidated Communications Holdings Inc",771638000,0,-0.23,64950000,0.78,1.55,14.06%
COHU,"Cohu Inc",763776000,18.04,1.52,32840000,1.11,0.24,0.88%
COKE,"Coca Cola Bot Cons",1430756000,42.35,3.59,96540000,0.18,1,0.66%
COLB,"Columbia Banking Sys",3076080000,17.16,2.43,112830000,1.12,1.04,2.49%
CORE,"Core Mark Holding",1341119000,25.25,0.98,33500000,0.63,0.4,1.41%
CORT,"Corcept Therapeutics",1622579000,27.04,0.52,129120000,1.7,0,0.00%
CPF,"Central Pacific Financial Co",828800000,15.97,1.74,41200000,1.08,0.84,3.02%
CPS,"Cooper Std Hldg Inc",2475733000,11.91,11.72,135300000,0.73,0,0.00%
CPSI,"Computer Programs",379021000,18.63,1.46,-17100000,-0.04,0.4,1.47%
CRAY,"Cray Inc",888053000,0,-0.84,-133830000,1.48,0,0.00%
CROX,"Crocs Inc",1246793000,160.36,0.03,10240000,0.45,0,0.00%
CRR,"Carbo Ceramics",245776000,0,-3,-253120000,1.54,0,0.00%
CRVL,"Corvel Cp",1067664000,27.96,2.03,35700000,0.66,0,0.00%
CRY,Cryolife,1172160000,105.32,0.33,3700000,0.73,0,0.00%
CRZO,"Carrizo Oil & Gas",2004149000,11.57,1.69,87110000,2.15,0,0.00%
CSGS,"C S G Sys Intl",1268018000,17.03,2.27,61360000,0.87,0.84,2.17%
CTB,"Cooper Tire & Rubber Company",1474267000,14.14,2.69,95400000,0.66,0.42,1.39%
CTRE,"Caretrust REIT Inc",1428487000,14.18,0.54,25870000,0.78,0.82,4.63%
CTRL,"Control4 Corp",828936000,34.49,0.92,15980000,-0.22,0,0.00%
CTS,"Cts Corp",1182968000,25.03,1.43,14450000,1.23,0.16,0.45%
CUB,"Cubic Corp",1959198000,0,-0.45,-11210000,0.99,0.27,0.40%
CUBI,"Customers Bancorp",835380000,10.77,2.44,78840000,0.72,0,0.00%
CUTR,"Cutera Inc",463761000,92.73,0.68,29990000,0.38,0,0.00%
CVBF,"Cvb Financial Corp",2666087000,20.16,1.19,104410000,1.38,0.56,2.33%
CVCO,"Cavco Inds Inc",2019988000,32.47,6.07,61500000,1.45,0,0.00%
CVGW,"Calavo Growers Inc",1663879000,38.62,2.43,37270000,0.56,0.95,1.01%
CWT,"California Water Service Group Holding",1951642000,33.18,1.21,67180000,0.61,0.75,1.87%
CYH,"Community Health Systems",351075000,0,-0.9,-2459000000,1.68,0,0.00%
CYTK,Cytokinetics,387530000,0,-2.42,-127790000,1.39,0,0.00%
DAKT,"Daktronics Inc",383028000,38.91,0.22,5560000,1.08,0.28,3.27%
DAR,"Darling International Inc",3375325000,26.51,0.78,128470000,1.37,0,0.00%
DBD,"Diebold Nixdorf Inc",410886000,9.54,0.65,-233100000,2.04,0.3,4.84%
DCOM,"Dime Community Bncsh",664989000,12.79,1.36,51880000,0.58,0.56,3.22%
DDD,"3D Systems Corp",2044028000,0,-0.56,-66190000,1.26,0,0.00%
DEA,"Easterly Government Properties",922397000,15.98,0.1,4450000,0.41,1.04,5.25%
DEPO,"Depomed Inc",493776000,0,-0.58,-102500000,1.27,0,0.00%
DF,"Dean Foods Company",776475000,10.72,0.8,61590000,0.46,0.36,4.48%
DFIN,"Donnelly Financial Solutions Inc",629340000,20.08,0.91,9700000,2.38,0,0.00%
DGII,"Digi Intl Inc",359568000,77.94,0.17,9370000,1.41,0,0.00%
DIN,"Dineequity Inc",1278825000,18.83,3.79,-330540000,0.05,2.52,3.53%
DIOD,"Diodes Inc",1898305000,19.52,1.71,-1810000,1.01,0,0.00%
DNR,"Denbury Resources",1877084000,10.93,0.28,163150000,3.22,0,0.00%
DORM,"Dorman Products Inc",2480953000,20.04,3.72,106600000,0.93,0,0.00%
DPLO,"Diplomat Pharmacy Inc",1406246000,24.26,0.88,15510000,1.14,0,0.00%
DRH,"Diamondrock Hospitality Company",2415101000,11.92,0.39,91880000,1.39,0.5,4.24%
DSPG,"D S P Group Inc",279579000,51.46,0.24,-3000000,0.95,0,0.00%
DSW,"DSW Inc",2195876000,17.11,1.6,67300000,0.63,1,3.65%
DXPE,"Dxp Enterprise",845572000,34.21,0.92,16890000,2.5,0,0.00%
EBIX,"Ebix Inc",2514535000,25.17,3.17,100620000,1.3,0.3,0.38%
EBS,"Emergent Biosolutions",2710584000,21.76,2.51,82590000,1.2,0,0.00%
ECHO,"Echo Global Logistic",939295000,26.19,1.26,12620000,1.57,0,0.00%
ECOL,"US Ecology Inc",1508514000,33.84,2.07,49370000,0.65,0.72,1.03%
ECPG,"Encore Capital Grp",921456000,8.84,4.05,83230000,1.4,0,0.00%
EE,"El Paso Electric Company",2557366000,27.56,2.27,98260000,0.4,1.44,2.30%
EFII,"Elec Imaging Inc",1521346000,428.5,0.08,-15350000,1.08,0,0.00%
EGHT,"8X8 Inc",2048374000,0,-0.36,-104500000,0.44,0,0.00%
EGL,"Engility Holdings Inc",1246259000,14.89,2.25,-35190000,1.83,0,0.00%
EGOV,"Nic Inc",1084928000,18.84,0.86,51610000,0.47,0.32,1.98%
