Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",844539000,17.32,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2160951000,51.69,0.8,54500000,0.82,0.32,0.77%
AAT,"American Assets Trust",1861412000,18.98,0.4,40130000,0.38,1.08,2.75%
AAWW,"Atlas Air Ww",1587239000,10.03,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3822876000,120.77,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2368872000,18.32,2.73,73550000,1.05,0.4,0.80%
ABG,"Asbury Automotive Group Inc",1533373000,10.38,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2005070000,18.85,1.61,3800000,0.81,0.7,2.31%
ACET,"Aceto Cp",100529000,4.05,0.8,11380000,1.62,0.04,1.23%
ACLS,"Axcelis Tech Inc",639110000,11.48,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1372172000,28.61,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1647076000,19.98,1.91,58110000,0.33,2.16,3.83%
ADTN,"Adtran Inc",809193000,0,-0.06,23840000,0.61,0.36,2.12%
AEGN,"Aegion Corp",811491000,25.51,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2269945000,12.41,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3375569000,10.3,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",392784000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",774907000,16.35,0.46,21050000,0.61,0.8,5.04%
AIN,"Albany International Corp",2477790000,32.61,2.36,33110000,1.67,0.68,0.88%
AIR,"AAR Corp",1597693000,27.08,1.69,15600000,1.21,0.3,0.66%
AIT,"Applied Industrial Technologies",2983376000,20.66,3.71,141630000,0.94,1.2,1.57%
AJRD,"Aerojet Rocketdyne Holdings",2721600000,37.59,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2339865000,20.32,0.58,60830000,0.41,1.08,3.77%
AKS,"AK Steel Holding Corp",1353538000,15.74,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1153997000,18.79,5.21,44320000,0.87,0.44,0.45%
ALGT,"Allegiant Travel Com",2188064000,12.82,10.62,194900000,0.15,2.8,2.06%
ALRM,Alarm.Com,2668338000,53,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",847962000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",985474000,4.51,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3963762000,42.52,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2730675000,21,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",833605000,120.8,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1234566000,18.73,3.34,46230000,0.79,0.88,1.41%
AMWD,"Amer Woodmark Cp",1490872000,16.59,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1147565000,28.69,1.41,42510000,1.16,0.66,1.63%
ANF,"Abercrombie & Fitch Company",1853379000,29.89,0.96,7090000,0.72,0.8,2.79%
ANGO,"Angiodynamics Inc",820434000,30.82,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",603904000,25.44,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",677977000,13.42,4.27,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",589478000,23.45,1.52,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1410673000,16.11,3.1,79490000,1.45,0.63,1.26%
ARCB,"Arcbest Corp",1213380000,19.44,2.42,59730000,1.92,0.32,0.68%
ARI,"Apollo Commercial Real Estate",2380437000,11.73,1.65,193030000,0.54,1.84,9.51%
AROC,"Archrock Inc",1656448000,1280,0.01,18950000,2.92,0.53,4.13%
