Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
AAOI,"Applied Optoelect",829567000,17.36,2.47,73950000,2.56,N/A,0.00%
AAON,"Aaon Inc",2121756000,51.69,0.8,54500000,0.82,0.29,0.71%
AAT,"American Assets Trust",1841108000,19.04,0.4,40130000,0.38,1.07,2.74%
AAWW,"Atlas Air Ww",1592355000,10.14,6.12,223470000,1.16,N/A,0.00%
AAXN,"Axon Inc",3887612000,123.68,0.53,5210000,0.86,N/A,0.00%
ABCB,"Ameris Bancorp",2373624000,18.26,2.73,73550000,1.05,0.4,0.80%
ABG,"Asbury Automotive Group Inc",1538460000,10.32,7.3,139100000,1.4,N/A,0.00%
ABM,"ABM Industries Incorporated",2014274000,18.94,1.61,3800000,0.81,0.695,2.27%
ACET,"Aceto Cp",101915000,4.08,0.8,11380000,1.62,0.205,6.19%
ACLS,"Axcelis Tech Inc",648818000,11.69,1.69,126960000,0.97,N/A,0.00%
ACOR,"Acorda Therapeutics",1386416000,28.61,1.01,-223360000,1.46,N/A,0.00%
ADC,"Agree Realty Corp",1645621000,20.08,1.91,58110000,0.33,2.085,3.69%
ADTN,"Adtran Inc",811580000,0,-0.06,23840000,0.61,0.36,2.12%
AEGN,"Aegion Corp",812143000,25.15,0.99,-69050000,1.74,N/A,0.00%
AEIS,"Advanced Energy",2321570000,12.38,4.69,137860000,1.19,N/A,0.00%
AEL,"American Equity Investment Life",3374667000,10.44,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",387610000,0,-0.31,-8350000,0.35,N/A,0.00%
AHH,"Armada Hoffler Properties Inc",768062000,16.34,0.46,21050000,0.61,0.78,4.96%
AIN,"Albany International Corp",2530920000,32.61,2.36,33110000,1.67,0.68,0.87%
AIR,"AAR Corp",1619926000,27.21,1.69,15600000,1.21,0.3,0.64%
AIT,"Applied Industrial Technologies",2979504000,20.77,3.71,141630000,0.94,1.19,1.55%
AJRD,"Aerojet Rocketdyne Holdings",2759400000,37.5,0.96,-9200000,1.17,N/A,0.00%
AKR,"Acadia Realty Trust",2296670000,20.36,0.58,60830000,0.41,1.07,3.80%
AKS,"AK Steel Holding Corp",1391399000,15.89,0.27,6200000,2.84,N/A,0.00%
ALG,"Alamo Group",1167018000,18.88,5.21,44320000,0.87,0.43,0.43%
ALGT,"Allegiant Travel Com",2205032000,12.75,10.62,194900000,0.15,2.8,2.05%
ALRM,Alarm.Com,2587725000,54.31,1.03,29250000,1.16,N/A,0.00%
AMAG,"Amag Pharmaceuticals",856580000,0,-0.67,-199230000,0.39,N/A,0.00%
AMBC,"Ambac Financial Grp",984568000,4.51,4.82,-328720000,1.7,N/A,0.00%
AMED,"Amedisys Inc",3972359000,42.78,2.91,30300000,0.61,N/A,0.00%
AMN,"Amn Healthcare Services Inc",2749671000,20.99,2.07,132560000,0.42,N/A,0.00%
AMPH,"Amphastar Pharma",834068000,120.13,0.15,4510000,1.4,N/A,0.00%
AMSF,"Amerisafe Inc",1224936000,19.19,3.34,46230000,0.79,4.34,6.82%
AMWD,"Amer Woodmark Cp",1572480000,17.2,4.94,63140000,1.82,N/A,0.00%
ANDE,"Andersons Inc",1146150000,28.76,1.41,42510000,1.16,0.655,1.62%
ANF,"Abercrombie & Fitch Company",1838465000,28.48,0.96,7090000,0.72,0.8,2.95%
ANGO,"Angiodynamics Inc",821909000,30.47,0.73,16340000,0.97,N/A,0.00%
ANIK,"Anika Therapeutics",608861000,25.41,1.63,31820000,1.86,N/A,0.00%
ANIP,"ANI Pharma Inc",677859000,13.42,4.27,-1080000,2.78,N/A,0.00%
APEI,"American Pub. Edu.",586194000,23.62,1.52,21120000,0.65,N/A,0.00%
APOG,"Apogee Entrpr Inc",1405019000,16.1,3.1,79490000,1.45,0.613,1.23%
ARCB,"Arcbest Corp",1232640000,19.52,2.42,59730000,1.92,0.32,0.67%
ARI,"Apollo Commercial Real Estate",2390279000,11.73,1.65,193030000,0.54,1.84,9.47%
AROC,"Archrock Inc",1656448000,1280,0.01,18950000,2.92,0.492,3.84%
ARR,"Armour Residential R",988290000,8.81,2.68,181150000,0.64,2.28,9.67%
ASGN,"On Assignment",4815153000,25.09,3.62,157680000,1.91,N/A,0.00%
ASIX,"Advansix Inc",1034253000,13.08,1.74,146700000,1.47,N/A,0.00%
ASNA,"Ascena Retail Grp",886869000,0,-0.04,-1067300000,1.66,N/A,0.00%
ASTE,"Astec Inds Inc",1128177000,22.02,2.2,37800000,1.04,0.41,0.84%
ATNI,"Atn International",1175773000,47.2,1.56,31490000,0.61,0.68,0.92%
ATU,"Actuant Corp",1790460000,32.33,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3386320000,26.43,1.95,115920000,0.25,1.46,2.83%
AVAV,"Aerovironment Inc",2051758000,82.04,1.04,20070000,1.14,N/A,0.00%
AVD,"American Vanguard Corp",639752000,31.82,0.66,20270000,1.01,0.07,0.33%
AVP,"Avon Products",924512000,20.3,0.1,22000000,1.24,N/A,0.00%
AWR,"American States Water Company",2199760000,36.63,1.66,69370000,0.27,1.04,1.74%
AXE,"Anixter International Inc",2432542000,13.37,5.4,109000000,2.12,N/A,0.00%
AXL,"American Axle & Manufacturing",2076317000,4.83,2.73,337100000,1.37,N/A,0.00%
AZZ,"Azz Inc",1410826000,50.99,1.06,45170000,1.42,0.68,1.25%
B,"Barnes Group",3496277000,22.9,2.99,59420000,1.37,0.44,0.64%
BABY,"Natus Medical Inc",1235608000,25.67,1.41,-20290000,0.58,N/A,0.00%
BANC,"First Pactrust Bancorp",1010667000,26.18,0.76,57710000,0.83,0.52,2.61%
BANR,"Banner Corp",2100480000,19.47,3.36,60780000,0.98,1.7,2.62%
