Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
CWT,"California Water Service Group Holding",2016537000,30.83,1.33,67180000,0.66,0.75,1.83%
CYH,"Community Health Systems",381464000,0,-1.14,-2459000000,1.63,0,0.00%
CYTK,Cytokinetics,428180000,0,-2.51,-127790000,1.49,0,0.00%
DAKT,"Daktronics Inc",375894000,37.95,0.22,5560000,1.11,0.28,3.35%
DAR,"Darling International Inc",3329223000,25.59,0.78,128470000,1.41,0,0.00%
DBD,"Diebold Nixdorf Inc",827964000,11.65,0.94,-233100000,2.01,0.3,3.65%
DCOM,"Dime Community Bncsh",736372000,14.52,1.35,51880000,0.76,0.56,2.86%
DDD,"3D Systems Corp",1498878000,0,-0.56,-66190000,1.36,0,0.00%
DEA,"Easterly Government Properties",902324000,15.32,0.1,4450000,0.46,1.04,5.39%
DEPO,"Depomed Inc",534156000,0,-0.58,-102500000,1.19,0,0.00%
DF,"Dean Foods Company",895230000,12.14,0.8,61590000,0.56,0.36,3.71%
DFIN,"Donnelly Financial Solutions Inc",708481000,18.81,1.11,9700000,1.99,0,0.00%
DGII,"Digi Intl Inc",366525000,84.06,0.16,9370000,1.41,0,0.00%
DIN,"Dineequity Inc",1286613000,17.21,4.06,-330540000,0.08,2.52,3.61%
DIOD,"Diodes Inc",1908719000,22.15,1.71,-1810000,0.99,0,0.00%
DNR,"Denbury Resources",1987241000,16.36,0.28,163150000,3.2,0,0.00%
DORM,"Dorman Products Inc",2410759000,20.66,3.46,106600000,0.89,0,0.00%
DPLO,"Diplomat Pharmacy Inc",1635308000,25.31,0.88,15510000,1.33,0,0.00%
DRH,"Diamondrock Hospitality Company",2384659000,11.98,0.43,91880000,1.41,0.5,4.22%
DSPG,"D S P Group Inc",295490000,55.65,0.23,-3000000,0.84,0,0.00%
DSW,"DSW Inc",2209510000,17.1,1.6,67300000,0.61,1,3.65%
DXPE,"Dxp Enterprise",736314000,46.12,0.92,16890000,2.44,0,0.00%
EBIX,"Ebix Inc",2665975000,26.64,3.17,100620000,1.45,0.3,0.36%
EBS,"Emergent Biosolutions",2751559000,34.52,1.57,82590000,1.32,0,0.00%
ECHO,"Echo Global Logistic",907840000,24.76,0.97,12620000,1.54,0,0.00%
ECOL,"US Ecology Inc",1474120000,36.09,1.84,49370000,0.69,0.72,1.08%
ECPG,"Encore Capital Grp",948672000,8.9,4.05,83230000,1.52,0,0.00%
EE,"El Paso Electric Company",2499172000,25.29,2.4,98260000,0.42,1.44,2.37%
EFII,"Elec Imaging Inc",1555362000,572.33,0.06,-15350000,1.08,0,0.00%
EGHT,"8X8 Inc",2053958000,0,-0.23,-104500000,0.52,0,0.00%
EGL,"Engility Holdings Inc",1291013000,15.53,2.21,-35190000,1.84,0,0.00%
EGOV,"Nic Inc",1104066000,20.5,0.8,51610000,0.53,0.32,1.95%
EGP,"Eastgroup Properties",3400304000,20.75,2.29,83180000,0.91,2.56,2.73%
EGRX,"Eagle Pharmaceutical",1211835000,33.99,2.41,51940000,1.47,0,0.00%
EHTH,"Ehealth Inc",436770000,0,-3.26,-25410000,1.59,0,0.00%
EIG,"Employers Holdings Inc",1495494000,12.11,3.19,101200000,0.98,0.8,1.87%
ELY,"Callaway Golf Company",1847799000,21.73,0.89,40810000,1.03,0.04,0.21%
ENDP,"Endo Int'l Plc",2707859000,3.67,3.28,-2035430000,0.34,0,0.00%
ENSG,"The Ensign Group In",1970610000,27.22,1.38,40480000,0.67,0.18,0.48%
ENTA,"Enanta Pharmaceutica",2286771000,40.69,2.81,17710000,1.01,0,0.00%
ENVA,"Enova International Inc",1233232000,22.4,1.67,29240000,2.84,0,0.00%
EPAY,"Bottomline Tech In",2341601000,103.04,0.56,-33140000,1,0,0.00%
ERA,"Era Group Inc",305829000,0,-0.89,-28160000,0.79,0,0.00%
ESE,"Esco Technologies Inc",1624557000,29.67,2.11,53700000,1.03,0.32,0.51%
ESIO,"Electro Sci Inds",589930000,8.06,2.13,116220000,0.96,0,0.00%
ESND,"Essendant Inc",495982000,45.03,0.3,-266980000,1.35,0.56,4.15%
ETH,"Ethan Allen Interiors Inc",611775000,17.37,1.34,36190000,1.06,0.76,3.24%
EVTC,"Evertec Inc",1779190000,16.55,1.48,55050000,1.2,0.1,0.41%
EXLS,"Exlservice Holdings",2125576000,24.32,2.53,48890000,1.17,0,0.00%
EXPO,"Exponent Inc",2616103000,43.91,1.16,41310000,0.67,0.52,1.03%
EXPR,"Express Inc",745945000,22.68,0.44,19370000,0.88,0,0.00%
EXTN,"Exterran Corp",977317000,329.12,0.08,33880000,0.83,0,0.00%
EXTR,"Extreme Networks",1024468000,19.36,0.45,-8520000,1.54,0,0.00%
EZPW,"Ezcorp Inc",656243000,15.31,0.8,31860000,1.51,0,0.00%
FARO,"Faro Tech Inc",1160912000,83.43,0.41,-14520000,1.47,0,0.00%
FBP,"First Bancorp",1802695000,15.09,0.53,66960000,1.88,0,0.00%
FCF,"First Commonwealth Financial Corp",1778379000,17.13,0.88,55170000,0.95,0.36,2.10%
FCFS,"First Cash Fin Svcs",4046922000,31.58,2.97,143890000,0.6,0.88,0.94%
FCN,"Fti Consulting",2847480000,22.34,3.05,107960000,0.1,0,0.00%
FCPT,"Four Corners Property Trust In",1527997000,17.93,1.12,71390000,-0.02,1.1,4.45%
FELE,"Franklin Electric Co",2272502000,22.88,1.98,78180000,1.59,0.48,1.02%
FF,"Futurefuel Corp",600550000,12.13,1.1,23510000,1.71,0.24,1.80%
FFBC,"First Finl Bncp [Oh]",3056563000,15.28,1.98,96790000,1.1,0.76,2.51%
FFIN,"First Finl Bkshs Inc",3898293000,30.59,1.87,120370000,1.27,0.84,1.47%
FIX,"Comfort Systems USA",1822101000,24.59,1.96,55270000,1.21,0.32,0.66%
FLOW,"SPX Flow Inc",1958471000,27.08,1.68,46400000,1.93,0,0.00%
FMBI,"First Midwest Bncp",2774914000,18.26,1.39,98390000,1.18,0.44,1.67%
FN,Fabrinet,1465668000,17.09,2.33,97120000,0.6,0,0.00%
FNSR,"Finisar Corp",2007652000,43.9,0.39,-48290000,1.34,0,0.00%
FORM,"Formfactor Inc",949390000,13.76,0.93,40910000,1.45,0,0.00%
FORR,"Forrester Resrch",779433000,75.35,0.57,15140000,0.37,0.8,1.86%
FOSL,"Fossil Group",1342775000,0,-0.54,-478170000,-0.04,0,0.00%
FOXF,"Fox Factory Cp",1883500000,31.45,1.59,43130000,0.67,0,0.00%
FRAN,"Francesca's Holdings",287839000,26.1,0.3,15560000,0.02,0,0.00%
FRGI,"Fiesta Restaurant Gp",812050000,56.83,0.52,-36230000,0.46,0,0.00%
FSB,"Franklin Financial Network Inc",542468000,14.03,2.57,28080000,1.1,0,0.00%
FSP,"Franklin Street Properties",925395000,8.24,-0.18,-15940000,0.77,0.36,4.24%
FSS,"Federal Signal Corp",1450200000,25.32,0.94,61600000,1.16,0.32,1.34%
FTD,"Ftd Companies",98270000,0,0,-234040000,0.26,0,0.00%
FTK,"Flotek Industries",174560000,0,0,-27400000,1.5,0,0.00%
FTR,"Frontier Commun Cp",411920000,0,-3.21,-1804000000,0.65,1.2,25.53%
FUL,"H. B. Fuller Company",2867563000,21.04,2.64,58240000,1.51,0.62,1.12%
FWRD,"Foward Air Corp",1841104000,21.83,2.49,87320000,1.27,0.6,1.03%
GBCI,"Glacier Bancorp Inc",3718440000,22.79,1.91,116380000,1.4,1.04,2.39%
GBX,"Greenbrier Companies",1849316000,14.22,4.08,116070000,1.61,1,1.72%
GCI,"Gannett Co. Inc",1169955000,10.28,1.02,6890000,0.98,0.64,6.10%
GCO,"Genesco Inc",817716000,13.51,3.01,-111840000,1.04,0,0.00%
GDOT,"Green Dot Corp",4335839000,41.23,2.03,85890000,0.82,0,0.00%
GEOS,"Geospace Technologie",197589000,0,-3.63,-56790000,1.3,0,0.00%
GES,"Guess Inc",1847051000,32.37,0.7,-7890000,0.21,0.9,3.97%
GFF,"Griffon Corp",816777000,27.31,0.65,14910000,1.38,0.28,1.58%
GHL,"Greenhill & Co. Inc",766794000,3275,0.01,-26650000,1.12,0.2,0.61%
GIFI,"Gulf Island Fab",139872000,0,-2.42,-44770000,1.24,0.02,0.21%
GIII,"G-III Apparel Gp I",2305581000,23.47,2,62120000,0.31,0,0.00%
GLT,Glatfelter,885799000,20.74,0.97,7910000,1.23,0.52,2.58%
GME,"Gamestop Corp",1508695000,4.7,3.09,34700000,1.39,1.52,10.48%
GNBC,"Green Bancorp",905661000,17.88,1.28,34140000,2.1,0.4,1.63%
GNL,"Global Net Lease Inc",1416160000,10.47,0.23,23570000,0.5,2.13,10.22%
GOV,"Government Properties Income Trust",1560621000,7.62,0.17,12090000,1.19,1.72,10.90%
GPI,"Group 1 Automotive",1359404000,8.22,7.91,213440000,1.8,1.04,1.60%
GPRE,"Green Plains Inc",662080000,0,-1.35,61060000,1.27,0.48,3.06%
GTLS,"Chart Industries In",2295240000,48.72,1.54,28000000,1.07,0,0.00%
GTY,"Getty Realty Corp",1148737000,16.78,1.23,47190000,0.48,1.28,4.49%
GWB,"Great Western Bancorp Inc",2538590000,15.51,2.64,144790000,1.58,1,2.44%
HA,"Hawaiian Hldgs Inc",2058724000,7.18,5.69,364040000,1.48,0.48,1.20%
HAFC,"Hanmi Financial Cp",814125000,13.14,1.85,54660000,0.79,0.96,3.89%
HAYN,"Haynes Intl Inc",529095000,0,-1.03,-10190000,1.39,0.88,2.14%
HCI,"Homeowners Choice",400499000,0,-1.11,-6890000,1.75,1.5,3.57%
HF,"HFF Inc",1522943000,16.58,2.29,94960000,0.95,0,0.00%
HI,"Hillenbrand Inc",3125500000,21.18,2.34,126200000,1.24,0.83,1.68%
HIBB,"Hibbett Sports Inc",449115000,13.01,1.78,35030000,0.82,0,0.00%
HLIT,"Harmonic Inc",374968000,0,-0.39,-82960000,0.82,0,0.00%
HLX,"Helix Energy Solutions Group",1458687000,84.18,-0.05,30050000,2.46,0,0.00%
HMN,"Horace Mann Educators Corp",1819605000,23.64,1.87,169460000,0.91,1.14,2.58%
HMST,"Homestreet Inc",825588000,17.63,1.67,68950000,0.33,0,0.00%
HMSY,"Hms Hldgs Cp",1996448000,43.71,0.55,40050000,0.88,0,0.00%
HOPE,"Hope Bancorp Inc",2321458000,12.25,1.39,139450000,1.41,0.56,3.05%
HPR,"Highpoint Resources Corp.",1471349000,0,-0.29,-138230000,3.3,0,0.00%
HQY,Healthequity,5122848000,108.26,0.76,47360000,1.42,0,0.00%
HSC,"Harsco Corp",1982022000,28.93,0.84,7820000,2.72,0,0.00%
HSII,"Heidrick & Struggl",670714000,24.2,1.44,-48640000,1.48,0.52,1.49%
HSKA,"Heska Corp",787701000,60.95,1.75,9950000,0.75,0,0.00%
HSTM,"Healthstream Inc",916028000,81.97,0.31,10000000,0.74,0,0.00%
HT,"Hersha Hospitality Trust",846382000,10.61,0.96,99870000,1.33,1.12,5.25%
HTLD,"Heartland Express",1580352000,36.15,0.54,75170000,0.66,0.08,0.41%
HUBG,"Hub Group Inc A",1590868000,22.84,2.04,135150000,1.5,0,0.00%
HVT,"Haverty Furniture Companies",433194000,16.31,1.26,21080000,0.97,0.72,3.50%
HWKN,"Hawkins Inc",413703000,26.88,1.41,-9180000,0.65,0.88,2.32%
HZO,"Marinemax Inc",505965000,16.02,1.27,23550000,1.12,0,0.00%
IBP,"Installed Building Products I",1730100000,44.96,1.19,41140000,0.93,0,0.00%
IIIN,"Insteel Industries",800406000,30.43,1.38,22550000,2,0.12,0.29%
IIVI,"I I V I Inc",2870586000,28.95,1.57,95270000,0.14,0,0.00%
INDB,"Independent Bk Corp",2485056000,23.05,3.9,87200000,0.93,1.52,1.69%
INGN,"Inogen Inc",4342673000,138.57,1.5,21000000,1.11,0,0.00%
INN,"Summit Hotel Properties",1455330000,10.48,0.5,99210000,1.25,0.72,5.21%
INTL,"Intl Fcstone Inc",1043498000,41.4,1.32,6400000,1.71,0,0.00%
INVA,"Innoviva Inc",1406134000,10.4,1.34,134140000,2.19,0,0.00%
IOSP,"Innospec Inc",1993480000,17.08,4.65,61800000,1.06,1.76,2.22%
IPAR,"Inter Parfums Inc",1873672000,42.68,1.42,41590000,1.57,0.84,1.39%
IPHS,"Innophos Hldngs Inc",964494000,19.75,2.48,22450000,0.8,1.92,3.92%
IRBT,"Irobot Corp",2305727000,38.38,2.07,50960000,1.16,0,0.00%
IRDM,"Iridium Comm Inc",2003397000,30.78,0.58,233860000,1.91,0,0.00%
IRT,"Independence Realty Trust Inc",872309000,13.51,0.41,30210000,0.85,0.72,7.20%
ITG,"Investment Technology Group",751205000,52.49,0.43,-39440000,1.4,0.28,1.24%
ITGR,"Integer Holdings Corp",2344733000,24.25,3.01,66680000,0.91,0,0.00%
ITRI,"Itron Inc",2383360000,23.19,2.62,57300000,0.96,0,0.00%
IVC,"Invacare Corp",580300000,0,-1.81,-76540000,2.43,0.05,0.28%
IVR,"Invesco Mortgage Capital Inc",1804102000,9.06,1.77,348610000,0.6,1.68,10.48%
JBSS,"John B Sanfilippo",886322000,26.45,2.93,36130000,1.09,0.5,0.65%
JBT,"John Bean Technologies Corp",3661209000,26.44,2.84,80500000,1.19,0.4,0.43%
JCP,"J.C. Penney Company Inc",763725000,0,-0.07,-116000000,0.71,0,0.00%
JJSF,"J J Snack Foods",2899809000,36.15,4.26,79170000,0.61,1.8,1.17%
JRVR,"James River Gp HD",1237813000,26.8,1.53,43570000,0.47,1.2,2.93%
KALU,"Kaiser Aluminum",1865556000,20.64,5.19,45400000,0.64,2.2,1.97%
KAMN,"Kaman Corp",1863381000,25.66,2.58,49830000,0.87,0.8,1.21%
KELYA,"Kelly Svcs Cl A",943517000,10.94,2.17,71600000,0.95,0.3,1.26%
KEM,"Kemet Corp",1588688000,15.16,1.63,254530000,3.7,0,0.00%
KFY,"Korn/Ferry International",3803796000,24.41,2.72,133780000,1.24,0.4,0.60%
KIRK,"Kirkland's Inc",178552000,25.02,0.45,5300000,1.18,0,0.00%
KLIC,"Kulicke and Soffa",1830724000,12.12,2.18,112010000,1.17,0.48,1.82%
KN,"Knowles Corp",1630975000,24.01,0.69,68300000,0.91,0,0.00%
KOP,"Koppers Holdings Inc",802560000,8.89,4.19,29100000,0.85,0,0.00%
KOPN,"Kopin Cp",238774000,0,-0.33,-25240000,0.97,0,0.00%
