Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",821096000,17.12,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2077335000,48.75,0.8,54500000,0.82,0.32,0.82%
AAT,"American Assets Trust",1823164000,18.51,0.4,40130000,0.38,1.08,2.82%
AAWW,"Atlas Air Ww",1532242000,9.84,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3633919000,115.06,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2340360000,17.78,2.73,73550000,1.05,0.4,0.82%
ABG,"Asbury Automotive Group Inc",1526250000,10.21,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2050431000,19.1,1.61,3800000,0.81,0.7,2.28%
ACET,"Aceto Cp",99144000,3.97,0.8,11380000,1.62,0.04,1.26%
ACLS,"Axcelis Tech Inc",682796000,12.43,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1350806000,27.48,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1583369000,19.01,1.91,58110000,0.33,2.16,4.03%
ADTN,"Adtran Inc",773388000,0,-0.06,23840000,0.61,0.36,2.24%
AEGN,"Aegion Corp",811165000,24.67,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2348165000,12.7,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3285289000,10.04,3.58,174650000,2.4,0.26,0.72%
AGYS,"Agilysys Inc",375144000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",762195000,15.98,0.46,21050000,0.61,0.8,5.16%
AIN,"Albany International Corp",2466520000,31.97,2.36,33110000,1.67,0.68,0.90%
AIR,"AAR Corp",1607072000,27.2,1.69,15600000,1.21,0.3,0.65%
AIT,"Applied Industrial Technologies",2976030000,19.88,3.71,141630000,0.94,1.2,1.63%
AJRD,"Aerojet Rocketdyne Holdings",2819124000,38.21,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2211095000,18.88,0.58,60830000,0.41,1.08,4.06%
AKS,"AK Steel Holding Corp",1318832000,15.78,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1142033000,18.37,5.21,44320000,0.87,0.44,0.46%
ALGT,"Allegiant Travel Com",2178368000,12.45,10.62,194900000,0.15,2.8,2.12%
ALRM,Alarm.Com,2415528000,49.22,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",858303000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",992274000,4.53,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3716683000,39.14,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2692683000,20.2,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",817877000,117.53,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1223010000,18.89,3.34,46230000,0.79,0.88,1.39%
AMWD,"Amer Woodmark Cp",1463670000,16.52,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1117850000,28.19,1.41,42510000,1.16,0.66,1.66%
ANF,"Abercrombie & Fitch Company",1983536000,27.83,0.96,7090000,0.72,0.8,2.99%
ANGO,"Angiodynamics Inc",791291000,29.25,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",619796000,25.45,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",674370000,13.4,4.27,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",573879000,22.43,1.52,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1406715000,15.86,3.1,79490000,1.45,0.63,1.28%
ARCB,"Arcbest Corp",1188984000,18.97,2.42,59730000,1.92,0.32,0.70%
ARI,"Apollo Commercial Real Estate",2331229000,11.37,1.65,193030000,0.54,1.84,9.81%
AROC,"Archrock Inc",1630566000,1275,0.01,18950000,2.92,0.53,4.14%
ARR,"Armour Residential R",980743000,8.78,2.68,181150000,0.64,2.28,9.69%
ASGN,"On Assignment",4719876000,24.69,3.62,157680000,1.91,0,0.00%
ASIX,"Advansix Inc",1037286000,13.19,1.74,146700000,1.47,0,0.00%
ASNA,"Ascena Retail Grp",951619000,0,-0.04,-1067300000,1.66,0,0.00%
ASTE,"Astec Inds Inc",1068374000,20.95,2.2,37800000,1.04,0.44,0.95%
ATNI,"Atn International",1168751000,46.16,1.56,31490000,0.61,0.68,0.94%
ATU,"Actuant Corp",1747830000,31.33,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3350847000,25.99,1.95,115920000,0.25,1.49,2.94%
AVAV,"Aerovironment Inc",1971858000,77.46,1.04,20070000,1.14,0,0.00%
AVD,"American Vanguard Corp",600336000,29.55,0.66,20270000,1.01,0.08,0.41%
AVP,"Avon Products",760842000,16.9,0.1,22000000,1.24,0,0.00%
AWR,"American States Water Company",2190945000,35.75,1.66,69370000,0.27,1.02,1.72%
AXE,"Anixter International Inc",2405774000,12.94,5.4,109000000,2.12,0,0.00%
AXL,"American Axle & Manufacturing",1857405000,4.37,2.73,337100000,1.37,0,0.00%
AZZ,"Azz Inc",1406922000,50.52,1.06,45170000,1.42,0.68,1.27%
B,"Barnes Group",3377004000,22.05,2.99,59420000,1.37,0.64,0.97%
BABY,"Natus Medical Inc",1245640000,25.07,1.41,-20290000,0.58,0,0.00%
BANC,"First Pactrust Bancorp",1011800000,25.92,0.76,57710000,0.83,0.52,2.64%
BANR,"Banner Corp",2138306000,19.23,3.36,60780000,0.98,1.4,2.17%
BCC,"Boise Cascade L.L.C.",1726716000,13.06,3.32,82960000,1.98,0.28,0.65%
BCOR,"Blucora Inc",1648344000,20.17,1.72,27040000,-0.14,0,0.00%
BCPC,"Balchem Cp",3225832000,36.66,2.07,90070000,0.84,0.42,0.42%
BEAT,"Biotelemetry Inc",1800171000,41.5,1.33,-15960000,1.3,0,0.00%
BEL,"Belmond Ltd",1642212000,157,0.1,-45040000,1.33,0,0.00%
BELFB,"Bel Fuse Inc Cl B",307968000,28.55,0.86,-11900000,0.55,0.28,1.14%
BFS,"Saul Centers",1278000000,18.46,1.07,48260000,0.66,2.08,3.76%
BGFV,"Big 5 Sporting",127509000,49.58,0.12,1100000,-0.69,0.6,10.08%
BGG,"Briggs & Stratton Corp",791102000,13.44,1.28,56650000,0.64,0.56,3.26%
BGS,"B&G Foods Holdings",2043830000,15.1,2.05,217460000,0.47,1.9,6.14%
BHE,"Benchmark Electronics",1195034000,16.01,1.59,-31970000,0.23,0.6,2.36%
BHLB,"Berkshire Hills Bancorp",1894014000,15.9,2.56,55250000,0.74,0.88,2.16%
BJRI,"Bj's Restaurants Inc",1347382000,31.84,1.98,44780000,0.76,0.44,0.70%
BKE,"Buckle Inc",1365078000,13.87,1.9,89710000,0.65,1,3.80%
BKS,"Barnes & Noble",458577000,12.55,0.49,-125480000,1.85,0.6,9.76%
BLD,"Topbuild Corp",2632014000,21.17,3.43,158130000,0.5,0,0.00%
BMI,"Badger Meter",1529731000,43.88,1.2,34570000,0.72,0.52,0.99%
BNED,"Barnes & Noble Education Inc C",294658000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2383781000,14.81,2.49,152410000,0.12,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1183980000,15.56,0.89,40590000,0.96,0.48,3.47%
BRC,"Brady Corp",1937663000,19.28,1.94,95650000,1.09,0.83,2.22%
BRKL,"Brookline Bancorp",1447560000,19.03,0.93,50520000,0.85,0.4,2.26%
BRKS,"Brooks Automation",2087412000,19.64,1.51,62610000,1,0.4,1.35%
BRS,"Bristow Group Inc",391214000,0,-2.15,-195660000,2.96,0,0.00%
CACI,"Caci International",4476875000,23.21,7.76,163670000,1.45,0,0.00%
CAL,"Caleres Inc",1601053000,16.11,2.19,87200000,0.84,0.28,0.79%
CALM,"Cal-Maine Foods In",2415695000,16.2,2.97,125930000,0.54,1.4,2.92%
CAMP,"Calamp Corp",832255000,24.51,0.95,16620000,1.75,0,0.00%
CASH,"Meta Financial Grp",869120000,13.36,6.63,44920000,1.02,0.52,0.59%
CATM,"Cardtronics Inc",1467506000,11.22,1.98,-145350000,0.84,0,0.00%
CATO,"Cato Corp",623230000,27.69,0.88,8540000,0.71,1.32,5.42%
CBB,"Cincinnati Bell Inc",632016000,0,-0.53,35100000,1.24,0,0.00%
CBL,"Cbl & Associates Properties",777015000,2.21,-0.12,120940000,1.14,0.8,18.69%
CBM,"Cambrex Corp",2018882000,16.09,3.75,102450000,2.4,0,0.00%
CBU,"Community Bank System",3316528000,20.09,3.16,150720000,1,1.36,2.14%
CCMP,"Cabot Microelectron",3102026000,25.12,4.82,86950000,1.37,1.6,1.32%
CCOI,"Cogent Comm Hldgs",2427013000,106.35,0.48,5880000,0.5,2.08,4.07%
CCRN,"Cross Ctry Hlthcr",345118000,18.06,0.51,37510000,0.86,0,0.00%
CDR,"Cedar Shopping Centers Inc",408621000,7.38,-0.21,19140000,0.87,0.2,4.51%
CECO,"Career Education",1165021000,30.98,0.54,-31900000,2.77,0,0.00%
CEIX,"Consol Energy Inc",1217343000,0,4.84,67630000,N/A,0,0.00%
CENT,"Central Garden",2046240000,21.06,1.92,78830000,0.05,0,0.00%
CENTA,"Central Garden & Pet",1893294000,19.21,1.92,78830000,0.32,0,0.00%
CENX,"Century Aluminum C",1091496000,17.48,0.69,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",652088000,112.69,0.26,17030000,1.06,0,0.00%
CHCO,"City Holding Co",1259835000,18.05,4.45,54310000,0.67,1.84,2.29%
CHCT,"Community Healthcare Trust Inc",587496000,21.73,0.31,3510000,0.79,1.6,5.01%
CHS,"Chico's Fas",1329056000,15.17,0.65,101000000,0.75,0.34,3.45%
CHSP,"Chesapeake Lodging Trust",1918908000,13.71,1.21,76240000,0.92,1.6,5.14%
CHUY,"Chuy's Holdings Inc",461040000,28.74,0.95,28960000,-0.23,0,0.00%
CIR,"Circor International",883277000,22.24,1.97,11790000,1.87,0.08,0.17%
CJ,"C&J Energy Services Inc",1639956000,16.17,1.46,22460000,0.91,0,0.00%
CKH,"Seacor Smit Inc",942156000,36.7,1.37,61640000,0.79,0,0.00%
CLD,"Cloud Peak Energy Inc",178841000,0,-0.61,-6640000,1.94,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",968068000,10.31,0.83,29480000,1.07,1.32,6.37%
CLW,"Clearwater Paper Corp",417830000,15.12,1.66,97340000,1.03,0,0.00%
CMO,"Capstead Mortgage Corp",775150000,15.15,0.55,79590000,0.1,0.56,6.72%
CMTL,"Comtech Telecom Co",821490000,53.28,0.65,15830000,1.55,0.4,1.16%
CNMD,"C O N M E D Cp",2189207000,36.58,2.1,55490000,0.55,0.8,1.04%
CNSL,"Consolidated Communications Holdings Inc",822225000,0,-0.23,64950000,0.78,1.55,13.58%
COHU,"Cohu Inc",793608000,17.68,1.52,32840000,1.11,0.24,0.89%
COKE,"Coca Cola Bot Cons",1581155000,70.73,2.35,96540000,0.18,1,0.60%
COLB,"Columbia Banking Sys",3123500000,17.22,2.43,112830000,1.12,1.04,2.49%
CORE,"Core Mark Holding",1522120000,28.27,1.12,33500000,0.63,0.4,1.26%
CORT,"Corcept Therapeutics",1447144000,21.91,0.56,129120000,1.7,0,0.00%
CPF,"Central Pacific Financial Co",835822000,15.97,1.74,41200000,1.08,0.84,3.02%
CPS,"Cooper Std Hldg Inc",2440984000,11.51,11.72,135300000,0.73,0,0.00%
CPSI,"Computer Programs",389589000,18.05,1.46,-17100000,-0.04,0.4,1.52%
CRAY,"Cray Inc",867638000,0,-0.84,-133830000,1.48,0,0.00%
CROX,"Crocs Inc",1269198000,163.09,0.11,10240000,0.45,0,0.00%
CRR,"Carbo Ceramics",237177000,0,-3,-253120000,1.54,0,0.00%
CRVL,"Corvel Cp",1095984000,28.13,2.03,35700000,0.66,0,0.00%
CRY,Cryolife,1180638000,103.55,0.31,3700000,0.73,0,0.00%
CRZO,"Carrizo Oil & Gas",1996915000,10.86,2.18,87110000,2.15,0,0.00%
CSGS,"C S G Sys Intl",1250593000,16.36,2.27,61360000,0.87,0.84,2.26%
CTB,"Cooper Tire & Rubber Company",1496794000,13.53,2.14,95400000,0.66,0.42,1.45%
CTRE,"Caretrust REIT Inc",1446303000,14,0.54,25870000,0.78,0.82,4.69%
CTRL,"Control4 Corp",846684000,34.77,0.92,15980000,-0.22,0,0.00%
CTS,"Cts Corp",1173041000,24.55,1.43,14450000,1.23,0.16,0.46%
CUB,"Cubic Corp",2013775000,188.33,0.39,-11210000,0.99,0.27,0.37%
CUBI,"Customers Bancorp",789850000,10.06,2.44,78840000,0.72,0,0.00%
CUTR,"Cutera Inc",476096000,77.39,0.44,29990000,0.38,0,0.00%
CVBF,"Cvb Financial Corp",2693526000,20.28,1.19,104410000,1.38,0.56,2.32%
CVCO,"Cavco Inds Inc",2055262000,32.44,6.91,61500000,1.45,0,0.00%
CVGW,"Calavo Growers Inc",1790383000,40.43,2.43,37270000,0.56,0.95,0.97%
CWT,"California Water Service Group Holding",1956449000,33.1,1.21,67180000,0.61,0.75,1.87%
CYH,"Community Health Systems",375488000,0,-0.9,-2459000000,1.68,0,0.00%
CYTK,Cytokinetics,385142000,0,-2.42,-127790000,1.39,0,0.00%
DAKT,"Daktronics Inc",376786000,38.32,0.22,5560000,1.08,0.28,3.32%
DAR,"Darling International Inc",3230433000,23.19,0.84,128470000,1.37,0,0.00%
DBD,"Diebold Nixdorf Inc",380450000,7.08,0.65,-233100000,2.04,0.3,6.52%
DCOM,"Dime Community Bncsh",678026000,13.13,1.36,51880000,0.58,0.56,3.14%
DDD,"3D Systems Corp",2166570000,0,-0.48,-66190000,1.26,0,0.00%
DEA,"Easterly Government Properties",928932000,15.87,0.1,4450000,0.41,1.04,5.28%
DEPO,"Depomed Inc",466616000,0,-0.48,-102500000,1.27,0,0.00%
DF,"Dean Foods Company",793092000,11.39,0.75,61590000,0.46,0.36,4.22%
DFIN,"Donnelly Financial Solutions Inc",656200000,20.67,0.91,9700000,2.38,0,0.00%
DGII,"Digi Intl Inc",352758000,76.47,0.17,9370000,1.41,0,0.00%
DIN,"Dineequity Inc",1353873000,19.78,3.79,-330540000,0.05,2.52,3.36%
DIOD,"Diodes Inc",1895406000,19.55,1.93,-1810000,1.01,0,0.00%
DNR,"Denbury Resources",2165008000,11.17,0.41,163150000,3.22,0,0.00%
DORM,"Dorman Products Inc",2549324000,20.24,3.72,106600000,0.93,0,0.00%
DPLO,"Diplomat Pharmacy Inc",1453227000,24.25,0.8,15510000,1.14,0,0.00%
DRH,"Diamondrock Hospitality Company",2423414000,11.7,0.39,91880000,1.39,0.5,4.32%
DSPG,"D S P Group Inc",270402000,50.63,0.24,-3000000,0.95,0,0.00%
DSW,"DSW Inc",2343444000,17.72,1.6,67300000,0.63,1,3.53%
DXPE,"Dxp Enterprise",805505000,35.31,1.3,16890000,2.5,0,0.00%
EBIX,"Ebix Inc",2405836000,22.54,3.35,100620000,1.3,0.3,0.40%
EBS,"Emergent Biosolutions",2882152000,22.52,2.51,82590000,1.2,0,0.00%
