Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",841940000,14.07,3.37,73950000,2.72,0,0.00%
AAON,"Aaon Inc",1903286000,42.56,0.84,54500000,0.7,0.32,0.90%
AAT,"American Assets Trust",1760933000,18.92,0.45,40130000,0.41,1.08,2.88%
AAWW,"Atlas Air Ww",1803258000,12.66,5.46,223470000,1.19,0,0.00%
AAXN,"Axon Inc",4167072000,168.19,0.42,5210000,0.82,0,0.00%
ABAX,"Abaxis Inc",1904842000,64.12,1.3,27180000,1.3,0.72,0.86%
ABCB,"Ameris Bancorp",1977828000,19.41,2.62,73550000,1.22,0.4,0.79%
ABG,"Asbury Automotive Group Inc",1439974000,10.11,6.8,139100000,1.54,0,0.00%
ABM,"ABM Industries Incorporated",1947876000,18.22,1.61,3800000,0.81,0.7,2.39%
ACET,"Aceto Cp",100068000,4.26,0.8,11380000,1.7,0.04,1.17%
ACLS,"Axcelis Tech Inc",702478000,13.4,1.59,126960000,1.05,0,0.00%
ACOR,"Acorda Therapeutics",1350909000,0,-0.46,-223360000,1.63,0,0.00%
ADC,"Agree Realty Corp",1545552000,19.19,2.06,58110000,0.34,2.16,4.05%
ADTN,"Adtran Inc",768955000,47.06,0.34,23840000,0.61,0.36,2.25%
AEGN,"Aegion Corp",829090000,25.61,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2395197000,12.98,4.62,137860000,1.34,0,0.00%
AEL,"American Equity Investment Life",3194045000,10.51,3.34,174650000,2.49,0.26,0.74%
AGYS,"Agilysys Inc",387419000,0,-0.36,-8350000,0.33,0,0.00%
AHH,"Armada Hoffler Properties Inc",682219000,15.38,0.45,21050000,0.52,0.8,5.31%
AIN,"Albany International Corp",2047920000,37.21,1.7,33110000,1.61,0.68,1.08%
AIR,"AAR Corp",1626874000,27.32,1.69,15600000,1.26,0.3,0.65%
AIT,"Applied Industrial Technologies",2863800000,21.07,3.46,133910000,0.95,1.2,1.65%
AJRD,"Aerojet Rocketdyne Holdings",2306525000,36.86,0.83,-9200000,1.13,0,0.00%
AKR,"Acadia Realty Trust",2149897000,18.47,0.63,60830000,0.44,1.08,4.06%
AKS,"AK Steel Holding Corp",1548123000,19.92,0.24,6200000,2.84,0,0.00%
ALG,"Alamo Group",1045005000,18.99,4.73,44320000,0.85,0.44,0.49%
ALGT,"Allegiant Travel Com",2310258000,13.29,10.46,194900000,0.14,2.8,2.01%
ALRM,Alarm.Com,2083598000,42.71,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",763843000,0,-0.32,-199230000,0.32,0,0.00%
AMBC,"Ambac Financial Grp",922012000,3.64,5.58,-328720000,1.69,0,0.00%
AMED,"Amedisys Inc",3227866000,36.89,2.53,30300000,0.6,0,0.00%
AMN,"Amn Healthcare Services Inc",2892533000,22.12,2.74,132560000,0.41,0,0.00%
AMPH,"Amphastar Pharma",763006000,71.39,0.23,4510000,1.34,0,0.00%
AMSF,"Amerisafe Inc",1166193000,18.61,3.24,46230000,0.81,0.88,1.46%
AMWD,"Amer Woodmark Cp",1535625000,17.47,4.94,63140000,1.83,0,0.00%
ANDE,"Andersons Inc",980595000,29.5,1.19,42510000,1.22,0.66,1.88%
ANF,"Abercrombie & Fitch Company",1803214000,27.46,0.96,7090000,0.81,0.8,3.03%
ANGO,"Angiodynamics Inc",770433000,28.88,0.73,16340000,1.03,0,0.00%
ANIK,"Anika Therapeutics",511773000,20.36,1.71,31820000,1.83,0,0.00%
ANIP,"ANI Pharma Inc",836148000,16.93,4.14,-1080000,2.84,0,0.00%
APEI,"American Pub. Edu.",736360000,32.57,1.36,21120000,0.67,0,0.00%
APOG,"Apogee Entrpr Inc",1391167000,16.1,3.1,79490000,1.48,0.63,1.26%
ARCB,"Arcbest Corp",1169184000,23.96,1.87,59730000,1.82,0.32,0.71%
ARI,"Apollo Commercial Real Estate",2304165000,11,1.7,193030000,0.51,1.84,9.84%
AROC,"Archrock Inc",903546000,0,-0.1,18950000,2.9,0.48,3.76%
ARR,"Armour Residential R",964538000,8.46,2.72,181150000,0.56,2.28,9.90%
ASGN,"On Assignment",4398430000,25.5,3.29,157680000,1.9,0,0.00%
ASIX,"Advansix Inc",1195905000,14.91,2.57,146700000,1.41,0,0.00%
ASNA,"Ascena Retail Grp",698508000,0,-0.04,-1067300000,1.75,0,0.00%
ASTE,"Astec Inds Inc",1418881000,33.94,1.79,37800000,1.13,0.4,0.66%
ATNI,"Atn International",891524000,38.1,1.46,31490000,0.5,0.68,1.22%
ATU,"Actuant Corp",1711290000,31.22,0.9,-66210000,1.46,0.04,0.14%
AVA,"Avista Corp",3305171000,26.63,1.9,115920000,0.32,1.49,2.95%
AVAV,"Aerovironment Inc",1780817000,71.83,1.04,20070000,1.19,0,0.00%
AVD,"American Vanguard Corp",658634000,35.56,0.62,20270000,1.07,0.08,0.36%
AVP,"Avon Products",649270000,14.4,0.1,22000000,1.31,0,0.00%
AWR,"American States Water Company",2207239000,32.76,1.84,69370000,0.4,1.02,1.69%
AXE,"Anixter International Inc",2195336000,12.37,5.23,109000000,2.07,0,0.00%
AXL,"American Axle & Manufacturing",1901570000,4.5,3.72,337100000,1.34,0,0.00%
AZZ,"Azz Inc",1400414000,50.85,1.06,45170000,1.24,0.68,1.26%
B,"Barnes Group",3189058000,20.8,2.9,59420000,1.34,0.64,1.06%
BABY,"Natus Medical Inc",1091944000,22.68,1.4,-20290000,0.48,0,0.00%
BANC,"First Pactrust Bancorp",978917000,23.81,0.8,57710000,0.87,0.52,2.73%
BANR,"Banner Corp",1993791000,19.47,3.14,60780000,1.01,1.4,2.29%
BCC,"Boise Cascade L.L.C.",1754981000,17.77,2.6,82960000,1.99,0.28,0.61%
BCOR,"Blucora Inc",1796985000,25.64,1.49,27040000,-0.04,0,0.00%
BCPC,"Balchem Cp",3200083000,36.42,2.71,90070000,0.9,0.42,0.43%
BEAT,"Biotelemetry Inc",1639500000,45.41,1.1,-15960000,1.41,0,0.00%
BEL,"Belmond Ltd",1176488000,113,0.1,-45040000,1.32,0,0.00%
BELFB,"Bel Fuse Inc Cl B",267668000,29.2,0.75,-11900000,0.63,0.28,1.28%
BFS,"Saul Centers",1159808000,17.53,1.45,48260000,0.66,2.08,3.95%
BGFV,"Big 5 Sporting",141372000,25.77,0.26,1100000,-0.65,0.6,8.96%
BGG,"Briggs & Stratton Corp",756112000,13.66,1.28,56650000,0.65,0.56,3.20%
BGS,"B&G Foods Holdings",2054850000,14.81,2.08,217460000,0.45,1.9,6.17%
BHE,"Benchmark Electronics",1398286000,17.66,1.67,-31970000,0.4,0.6,2.03%
BHLB,"Berkshire Hills Bancorp",1853136000,16.94,2.4,55250000,0.67,0.88,2.16%
BJRI,"Bj's Restaurants Inc",1325764000,37.26,1.68,44780000,0.67,0.44,0.70%
BKE,"Buckle Inc",1177044000,12.42,1.9,89710000,0.76,1,4.24%
BKS,"Barnes & Noble",400345000,11.12,0.49,-125480000,1.93,0.6,11.01%
BLD,"Topbuild Corp",2922694000,26.82,3.07,158130000,0.59,0,0.00%
BMI,"Badger Meter",1366715000,40.13,1.14,34570000,0.67,0.52,1.14%
BNED,"Barnes & Noble Education Inc C",250553000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2565801000,17.02,2.4,134740000,0.29,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1364364000,16.84,0.95,40590000,1.03,0.48,3.00%
BRC,"Brady Corp",1909206000,19.07,1.94,95650000,1.14,0.83,2.24%
BRKL,"Brookline Bancorp",1489936000,21.15,0.87,50520000,0.95,0.4,2.17%
BRKS,"Brooks Automation",2310890000,22.99,1.41,62610000,1.02,0.4,1.23%
BRS,"Bristow Group Inc",511726000,0,-2.16,-195660000,2.94,0,0.00%
CACI,"Caci International",4404010000,23.06,7.76,163670000,1.43,0,0.00%
CAL,"Caleres Inc",1544906000,15.69,2.19,87200000,0.92,0.28,0.81%
CALM,"Cal-Maine Foods In",2195645000,46.79,0.98,-74280000,0.62,0,0.00%
CAMP,"Calamp Corp",822377000,24.89,0.95,16620000,1.78,0,0.00%
CASH,"Meta Financial Grp",941385000,14.1,6.85,44920000,1.14,0.52,0.54%
CATM,"Cardtronics Inc",1244432000,10.38,2.69,-145350000,0.85,0,0.00%
CATO,"Cato Corp",629508000,27.58,0.88,8540000,0.79,1.32,5.44%
CBB,"Cincinnati Bell Inc",604200000,0,-0.27,35100000,1.41,0,0.00%
CBL,"Cbl & Associates Properties",894379000,2.68,0.16,120940000,1.18,0.8,15.07%
CBM,"Cambrex Corp",1857296000,16.95,3.3,102450000,2.27,0,0.00%
CBU,"Community Bank System",3165747000,20.52,2.99,150720000,1.01,1.36,2.22%
CCMP,"Cabot Microelectron",3034349000,27.27,4.26,86950000,1.37,1.6,1.38%
CCOI,"Cogent Comm Hldgs",2434854000,123.41,0.44,5880000,0.52,2.08,3.83%
CCRN,"Cross Ctry Hlthcr",431704000,19.24,0.62,37510000,0.9,0,0.00%
CDR,"Cedar Shopping Centers Inc",405153000,8.71,-0.39,19140000,0.91,0.2,4.18%
CECO,"Career Education",1303795000,37.49,0.49,-31900000,2.72,0,0.00%
CEIX,"Consol Energy Inc",1176419000,0,3.26,67630000,N/A,0,0.00%
CENT,"Central Garden",2260789000,24.93,1.75,78830000,0.09,0,0.00%
CENTA,"Central Garden & Pet",2097967000,23.15,1.75,78830000,0.39,0,0.00%
CENX,"Century Aluminum C",1304942000,38.87,0.38,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",717706000,61.73,0.52,17030000,0.99,0,0.00%
CHCO,"City Holding Co",1187182000,18.92,4.04,54310000,0.73,1.84,2.41%
CHCT,"Community Healthcare Trust Inc",533583000,20.28,0.23,3510000,0.82,1.6,5.44%
CHS,"Chico's Fas",1137900000,13.25,0.65,101000000,0.7,0.34,3.95%
CHSP,"Chesapeake Lodging Trust",1939406000,14.5,1.13,76240000,0.98,1.6,5.01%
CHUY,"Chuy's Holdings Inc",559350000,36.14,0.88,28960000,-0.31,0,0.00%
CIR,"Circor International",795778000,22.19,1.79,11790000,1.75,0.08,0.19%
CJ,"C&J Energy Services Inc",1524636000,25.44,0.88,22460000,0.99,0,0.00%
CKH,"Seacor Smit Inc",979545000,93.98,0.57,61640000,0.86,0,0.00%
CLD,"Cloud Peak Energy Inc",253072000,0,-0.27,-6640000,2.02,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",996755000,10.44,0.67,29480000,1.06,1.32,6.11%
CLW,"Clearwater Paper Corp",389865000,13.33,1.77,97340000,1.06,0,0.00%
CMO,"Capstead Mortgage Corp",792296000,14.15,0.6,79590000,0.11,0.56,6.60%
CMTL,"Comtech Telecom Co",813689000,52.65,0.65,15830000,1.5,0.4,1.17%
CNMD,"C O N M E D Cp",2063183000,36.09,2.05,55490000,0.57,0.8,1.08%
CNSL,"Consolidated Communications Holdings Inc",874950000,416.67,0.03,64950000,0.75,1.55,12.40%
COHU,"Cohu Inc",753408000,18.8,1.37,32840000,1.02,0.24,0.93%
COKE,"Coca Cola Bot Cons",1253672000,37.8,3.59,96540000,0.17,1,0.74%
COLB,"Columbia Banking Sys",3053376000,17.89,2.3,112830000,1.14,1.04,2.53%
CORE,"Core Mark Holding",1105293000,24.11,0.98,33500000,0.56,0.4,1.69%
CORT,"Corcept Therapeutics",1568416000,26.73,0.52,129120000,1.93,0,0.00%
CPF,"Central Pacific Financial Co",860472000,17.56,1.65,41200000,1.1,0.84,2.90%
CPLA,"Capella Education Co",1217181000,28.1,3.69,23510000,0.28,1.72,1.66%
CPS,"Cooper Std Hldg Inc",2487697000,11.65,11.58,135300000,0.73,0,0.00%
CPSI,"Computer Programs",472720000,20.67,1.63,-17100000,0.1,0.4,1.19%
CRAY,"Cray Inc",1028445000,0,-0.84,-133830000,1.59,0,0.00%
CROX,"Crocs Inc",1207873000,578,0.03,10240000,0.27,0,0.00%
CRR,"Carbo Ceramics",258101000,0,-3.38,-253120000,1.77,0,0.00%
CRVL,"Corvel Cp",1051170000,29.68,1.87,35700000,0.74,0,0.00%
CRY,Cryolife,1076922000,88.94,0.33,3700000,0.78,0,0.00%
CRZO,"Carrizo Oil & Gas",2365257000,16.75,1.69,87110000,2.2,0,0.00%
CSGS,"C S G Sys Intl",1379314000,18.9,2.17,61360000,0.93,0.84,2.05%
CTB,"Cooper Tire & Rubber Company",1299135000,9.39,2.69,95400000,0.61,0.42,1.66%
CTRE,"Caretrust REIT Inc",1285243000,13.83,0.4,25870000,0.79,0.82,4.86%
CTRL,"Control4 Corp",647389000,29.45,0.84,15980000,-0.25,0,0.00%
CTS,"Cts Corp",1218438000,28.14,1.32,14450000,1.24,0.16,0.43%
CUB,"Cubic Corp",1882955000,0,-0.45,-11210000,0.98,0.27,0.39%
CUBI,"Customers Bancorp",920115000,11.18,2.58,78840000,0.79,0,0.00%
CUTR,"Cutera Inc",593587000,63.6,0.68,29990000,0.44,0,0.00%
