Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
KAMN,"Kaman Corp",1821120000,24.73,2.64,49830000,0.78,0.8,1.23%
KELYA,"Kelly Svcs Cl A",986684000,11.45,2.24,71600000,0.92,0.3,1.18%
KEM,"Kemet Corp",1519466000,14.69,1.81,254530000,3.78,N/A,0.00%
KFY,"Korn/Ferry International",3858722000,24.67,2.72,133780000,1.27,0.4,0.60%
KIRK,"Kirkland's Inc",185770000,26.93,0.45,5300000,1.18,N/A,0.00%
KLIC,"Kulicke and Soffa",1780470000,10.56,2.45,112010000,1.22,0.12,0.46%
KN,"Knowles Corp",1573146000,23.88,0.74,68300000,0.99,N/A,0.00%
KOP,"Koppers Holdings Inc",757185000,9.23,3.94,29100000,0.85,N/A,0.00%
KOPN,"Kopin Cp",172418000,0,-0.36,-25240000,1.03,N/A,0.00%
KRA,"Kraton Performance Polymers Inc",1523385000,13.53,3.64,97550000,1.35,N/A,0.00%
KRG,"Kite Realty Group Trust",1473429000,8.49,-0.21,11870000,0.55,1.255,7.13%
KS,"Kapstone Paper and Packaging Corp",3358847000,17.99,1.91,243500000,3.24,0.4,1.17%
KWR,"Quaker Chemical Corp",2356477000,32.23,5.54,20280000,1.34,1.435,0.81%
LABL,"Multi Color Cp",1237175000,15.48,3.95,71950000,0.81,0.2,0.33%
LAD,"Lithia Motors",2131448000,9.86,8.92,245220000,1.56,1.12,1.27%
LCI,"Lannett Co Inc",210956000,1.78,2.86,-580000,2.44,N/A,0.00%
LCII,"Lci Industries",2366897000,15.28,6.18,132880000,1.04,1.7,1.81%
LDL,"Lydall Inc",769065000,16.96,2.65,49320000,1.48,N/A,0.00%
LGIH,"LGI Homes Inc",1307109000,9.83,5.83,113310000,0,N/A,0.00%
LGND,"Ligand Pharm",5365941000,48.03,5.35,12560000,0.91,N/A,0.00%
LHCG,"LHC Group Inc",3092898000,36.44,2.73,50110000,0.49,N/A,0.00%
LION,"Fidelity Southern Cp",660387000,18.07,1.35,39800000,0.97,0.48,1.98%
LKSD,"Lsc Communications Inc",405112000,7.67,1.6,-57000000,-0.48,1.03,8.48%
LL,"Lumber Liquidators Holdings Inc",497752000,78.55,0.22,-37820000,1.36,N/A,0.00%
LMAT,"Lemaitre Vascular",692650000,33.52,1.08,17180000,0.59,0.265,0.74%
LMNX,"Luminex Corp",1244619000,36.71,0.76,29420000,0.31,0.24,0.86%
LNN,"Lindsay Corp",1000390000,29.83,3.11,23180000,0.32,1.21,1.30%
LNTH,"Lantheus Holdings",561095000,17.74,0.84,123390000,1.28,N/A,0.00%
LOCO,"El Pollo Loco",476834000,18.69,0.65,8620000,0.35,N/A,0.00%
LPSN,"Liveperson Inc",1647624000,0,-0.1,-18190000,1.02,N/A,0.00%
LQDT,"Liquidity Services",232870000,0,-0.66,-39190000,0.64,N/A,0.00%
LTC,"Ltc Properties",1819810000,14.96,3.26,87340000,0.13,2.28,4.97%
LTXB,"Legacytexas Fnl",2186356000,19.53,2.32,89490000,1.43,0.64,1.42%
LXP,"Lexington Realty Trust",2247863000,9.11,0.06,85580000,0.82,0.707,7.55%
LXU,"Lsb Industries Inc",205420000,0,-2.97,-29220000,4.54,N/A,0.00%
LZB,"La-Z-Boy Inc",1564115000,16.83,1.97,80870000,0.94,0.47,1.40%
MANT,"Mantech Intl Cp A",2599615000,35.48,1.85,114140000,0.82,0.92,1.40%
MATW,"Matthews Intl Corp",1701300000,13.94,3.79,74370000,1.08,0.76,1.43%
MATX,"Matson Inc",1573495000,16.98,2.16,232000000,1.34,0.81,2.20%
MCRI,"Monarch Casino",840114000,28.36,1.66,25540000,1.09,N/A,0.00%
MCS,"Marcus Corp",1100115000,21.11,1.85,65000000,0.58,0.575,1.47%
MDC,"M.D.C. Holdings",1811160000,9.41,3.46,141840000,1.47,1.131,3.52%
MDCO,"Medicines Co",2907326000,0,-4.08,-708370000,0.75,N/A,0.00%
MDXG,"Mimedx Group Inc",535768000,22.19,0.05,11970000,1.5,N/A,0.00%
MED,"Medifast Inc",2648120000,68.41,3.32,27720000,0.28,1.76,0.79%
MEI,"Methode Electronics",1515560000,13.16,3.09,57200000,0.79,0.42,1.03%
MGLN,"Magellan Health",1844456000,13.23,5.74,110210000,0.4,N/A,0.00%
MGPI,"MGP Ingredients Inc",1217076000,38.73,1.89,41820000,1.1,0.28,0.39%
MHLD,"Maiden Holdings Ltd",345031000,0,-2.24,-169900000,1.19,0.6,14.46%
MHO,"M/I Homes",753391000,8.02,3.31,72080000,1.18,N/A,0.00%
MINI,"Mobile Mini Inc",1951642000,31.99,1.36,122230000,1.93,0.977,2.24%
MLI,"Mueller Industries",1883769000,21.42,1.54,85600000,1.44,0.4,1.22%
MMSI,"Merit Medical Sys",3191342000,41.73,1.39,27520000,1.32,N/A,0.00%
MNRO,"Monro Muffler Brak",2294078000,31.06,2.21,63940000,0.78,0.76,1.09%
MNTA,"Momenta Pharma",2118556000,0,-1.8,-88100000,1.92,N/A,0.00%
MOG.A,"Moog Inc Cl A",2875727000,18.65,4.31,141280000,1.72,0.5,0.62%
MOV,"Movado Group Inc",1141140000,20.23,2.36,-15230000,-0.22,0.66,1.34%
MPAA,"Motorcar Parts Amer",500245000,18,1.47,16320000,1.64,N/A,0.00%
MRCY,"Mercury Sys Inc",2542641000,44.07,1.19,40880000,0.5,N/A,0.00%
MRTN,"Marten Transport L",1194321000,29.93,0.74,90280000,1.31,0.1,0.46%
MSTR,"Microstrategy Cl A",1695725000,39.93,3.68,17640000,0.63,N/A,0.00%
MTH,"Meritage Corp",1766243000,9.25,4.74,143260000,1.15,N/A,0.00%
MTRN,"Materion Corp",1284228000,30.83,2.06,11450000,0.97,0.41,0.65%
MTRX,"Matrix Service Co",569925000,180,0.12,-180000,0.94,N/A,0.00%
MTSC,"M T S Systems Cp",959082000,29.72,1.79,25080000,0.95,1.2,2.23%
MXL,"Maxlinear Inc",1304962000,17.35,1.09,-9190000,0.65,N/A,0.00%
MYE,"Myers Industries",802560000,32.11,0.71,-9890000,1.6,0.54,2.37%
MYGN,"Myriad Genetics Inc",3508413000,39.13,1.26,131000000,0.49,N/A,0.00%
MYRG,"MYR Group Inc",575973000,25.51,1.36,21150000,0.52,N/A,0.00%
NANO,"Nanometrics Inc",1080989000,20.91,2.13,30200000,1.79,N/A,0.00%
NAVG,"Navigators Grp Inc",2068320000,38.13,1.82,40490000,0.55,0.2,0.29%
NBHC,"National Bank Holdings Corp",1246200000,24.61,1.66,14580000,0.79,0.32,0.79%
NBTB,"NBT Bancorp Inc",1769571000,18.14,2.25,82150000,0.89,0.94,2.32%
NCI,"Navigant Consulting",1055935000,17.14,1.38,74950000,0.81,0,0.00%
NE,"Noble Corp",1497955000,0,-1.69,-516510000,2.19,N/A,0.00%
NEOG,"Neogen Cp",4555857000,73.36,1.21,63150000,1.33,N/A,0.00%
NEWM,"New Media Investment Group Inc",952582000,22.17,0.71,-920000,1.08,1.48,9.37%
NFBK,"Northfield Bncrp Del",804707000,20.86,0.79,24770000,0.38,0.4,2.46%
NGVT,"Ingevity Corp",4179770000,31.25,3.22,126500000,1.3,N/A,0.00%
NLS,"Nautilus Group",450725000,17.74,0.84,26270000,1.35,N/A,0.00%
NMIH,"Nmi Holdings Cmn A",1403763000,19.14,1.16,22050000,1.12,N/A,0.00%
NP,"Neenah Paper",1511334000,20.78,4.3,80300000,1.11,1.6,1.78%
NPK,"National Presto Industries",956958000,20.8,6.6,52960000,0.4,5.5,4.01%
NPO,"Enpro Industries",1570533000,25.21,3,539800000,1.06,0.92,1.23%
NR,"Newpark Resources",996160000,37.93,0.29,-6150000,1.47,N/A,0.00%
NSA,"National Storage Affiliates Tru",1609974000,21.56,0.11,2960000,0.5,1.11,3.90%
NSIT,"Insight Enterpr",1982773000,14.09,3.93,90680000,1.3,N/A,0.00%
NSP,"Insperity Inc",4864816000,41.24,2.83,84400000,0.8,1.7,1.46%
NTGR,"Netgear Inc",2330083000,33.22,2.22,19440000,1.99,N/A,0.00%
NTRI,"Nutrisystem Inc",1083392000,19.85,1.87,57870000,1.32,0.925,2.51%
NWBI,"Northwest Bancshares",1878544000,19.24,0.95,94470000,0.71,0.67,3.68%
NWN,"Northwest Natural Gas Company",1828800000,29.06,2.17,-55620000,0.33,1.89,2.98%
NX,"Quanex Building Products Corp",581996000,21,0.8,18680000,0.72,0.16,0.96%
NYMT,"New York Mtge Trust",887203000,7.79,0.82,91980000,1.16,0.8,12.54%
OCLR,"Oclaro Inc",1625506000,20.5,0.46,62450000,0.88,N/A,0.00%
ODP,"Office Depot",1857408000,9.54,0.35,181000000,2.54,0.1,2.99%
OFG,"Oriental Financial Group",719073000,11.67,1.41,52650000,1.84,0.24,1.47%
OFIX,"Orthofix Intl Nv",998970000,30.62,1.75,6220000,0.42,N/A,0.00%
OIS,"Oil States International",2018664000,0,-0.41,-84850000,1.69,N/A,0.00%
OMCL,"Omnicell Inc",2621273000,84.2,0.81,20610000,0.91,N/A,0.00%
OMI,"Owens & Minor",1054454000,11.19,1.5,72790000,1.09,1.035,6.12%
ONB,"Old National Bncp",3016530000,17.2,1.16,95730000,0.9,0.52,2.63%
OPB,"Opus Bank",958126000,18.13,1.55,46900000,0.92,0.32,1.14%
ORIT,"Oritani Financial",752913000,14.01,1.16,42890000,0.41,1.375,8.51%
ORN,"Orion Group Holdings Inc",244987000,107.88,0.08,400000,1.33,N/A,0.00%
OSIS,"O S I Systems Inc",1391571000,21.41,3.64,-29130000,0.86,N/A,0.00%
OSPN,"Onespan Inc.",740232000,39.15,0.47,-22400000,1.39,N/A,0.00%
OSUR,"Orasure Tech Inc",994013000,65.12,0.25,30950000,1.56,N/A,0.00%
OXM,"Oxford Industries",1598797000,24.37,3.82,65090000,0.29,1.22,1.29%
PAHC,"Phibro Anl Htlh A",1986253000,30.75,1.67,64620000,0.93,0.4,0.81%
PARR,"Par Petroleum Corp",818958000,11.78,1.55,72620000,-0.01,N/A,0.00%
PATK,"Patrick Inds Inc",1588318000,15.46,4.21,85720000,0.76,N/A,0.00%
PDCE,"Pdc Energy Inc",3631868000,57.82,0.93,-127500000,0.64,N/A,0.00%
PDFS,"Pdf Solutions Inc",283153000,0,-0.14,-1340000,1.21,N/A,0.00%
PEI,"Pennsylvania Real Estate Investment",732680000,6.29,-0.15,-29340000,1.16,0.84,8.08%
PENN,"Penn Natl Gaming Inc",3188379000,26.8,1.28,473460000,1.51,N/A,0.00%
PERY,"Perry Ellis Int",437060000,13.34,2.07,56650000,0.42,N/A,0.00%
PES,"Pioneer Energy Services Corp",246362000,0,-0.57,-75120000,2.9,N/A,0.00%
PETS,"Petmed Express Inc",768220000,18.43,1.99,37280000,0.63,0.97,2.61%
PFBC,"Preferred Bank La",806305000,14.93,4.15,43390000,1.01,0.89,1.46%
PFS,"Provident Financial Services",1697377000,16.95,1.5,93950000,0.85,0.96,3.79%
PGNX,"Progenics Pharmaceut",602880000,0,-0.82,-51010000,2.43,N/A,0.00%
PGTI,"Pgt Inc",1255568000,26.33,0.94,39840000,0.82,N/A,0.00%
PJC,"Piper Jaffray Companies",1188570000,12.54,6.23,-61940000,1.52,3.058,3.90%
PKE,"Park Electrochemical Corp",433553000,47.82,0.45,20600000,0.91,3.4,15.88%
PLAB,"Photronics Inc",741258000,21.94,0.49,13130000,0.73,N/A,0.00%
PLAY,"Dave & Buster's Ente",2236610000,21.78,2.65,120950000,0.4,N/A,0.00%
PLCE,"Children's Place Inc",2332928000,17.54,7.67,84700000,0.4,1.8,1.28%
PLUS,"Eplus Inc",1405614000,23.26,4.38,55120000,1.29,N/A,0.00%
PLXS,"Plexus Cp",2020821000,19.83,3.12,112060000,0.73,N/A,0.00%
PMT,"Pennymac Mortgage Investment Trust",1210467000,14.75,1.34,117750000,0.41,1.88,9.47%
POWI,"Power Integratn",2154283000,31.67,2.33,27610000,0.92,0.6,0.82%
POWL,"Powell Inds Inc",466370000,0,-1.17,-9490000,1.24,1.04,2.56%
PPBI,"Pacific Premier Bncp",2405135000,16.99,2.29,60100000,0.68,N/A,0.00%
PRA,"Pro-Assurance Corp",2587165000,25.72,1.88,107260000,0.62,5.93,12.29%
PRAA,"Pra Group Inc",1682895000,23.75,1.6,162270000,1.5,N/A,0.00%
PRFT,"Perficient Inc",987212000,24.81,1.14,18580000,0.66,N/A,0.00%
PRGS,"Progress Software",1811652000,20.6,1.95,37420000,0.78,0.545,1.35%
PRLB,"Proto Labs Inc",4022064000,63.21,2.35,51780000,1.05,N/A,0.00%
PRSC,"Providence Svc Cp",858398000,38.51,1.74,53370000,0.7,N/A,0.00%
PSB,"Business Parks",3582143000,20.73,5.68,155040000,0.47,3.4,2.59%
PUMP,"Propetro Holding Corp",1370891000,13.48,1.24,12610000,1.28,N/A,0.00%
PVAC,"Penn Va Corp",1238986000,15.01,5.56,32660000,1.32,N/A,0.00%
QHC,"Quorum Health Corp",139314000,0,-1.69,-114190000,0.96,N/A,0.00%
QLYS,"Qualys Inc",3568500000,84.49,1.08,40440000,0.91,N/A,0.00%
QNST,"Quinstreet Inc",733343000,48.06,0.33,15930000,0.98,N/A,0.00%
QSII,"Quality Systems Inc",1455225000,41.78,0.54,2420000,0.62,N/A,0.00%
RAVN,"Raven Industries Inc",1694480000,32.31,1.47,41020000,1.54,0.52,1.10%
RCII,"Rent-A-Center Inc",788737000,0,-0.17,6650000,0.62,0.08,0.54%
RECN,"Resources Connect",502740000,19.02,0.82,18830000,1.1,0.49,3.11%
REGI,"Renewable Energy",959445000,4.94,5.35,-79080000,0.91,N/A,0.00%
REI,"Ring Energy Inc",673952000,32.74,0.35,1750000,0.32,N/A,0.00%
REX,"Rex American Resources Corp",501026000,17.17,4.61,39710000,1.26,N/A,0.00%
RGEN,"Repligen Cp",2335511000,77.99,0.68,28350000,0.72,N/A,0.00%
RGNX,"Regenxbio Inc",2171232000,33.81,1.97,-73170000,-1.16,N/A,0.00%
RGR,"Sturm Ruger & Company",1058076000,22.12,2.76,52140000,-0.08,1.1,1.82%
RGS,"Regis Corp",951805000,36.24,0.59,8700000,1.36,N/A,0.00%
RH,"Restoration Hardware Holdings",3442414000,32.59,4.71,2180000,1.87,N/A,0.00%
RLI,"Rli Corp",3416397000,44.02,1.75,105030000,1.28,2.6,3.37%
RMAX,"Re/Max Holdings Inc",887500000,0,1.53,12820000,0.47,0.78,1.56%
RMBS,"Rambus Inc",1292494000,18.78,0.64,-22860000,0.34,N/A,0.00%
ROCK,"Gibraltar Ind Inc",1449600000,22.15,2.05,62560000,1.9,N/A,0.00%
ROG,"Rogers Corp",2582692000,25.42,5.44,80460000,1.44,N/A,0.00%
ROIC,"Retail Opp Invts Cp",2212744000,16.81,0.33,38480000,0.59,0.765,3.90%
RPT,"Ramco-Gershenson Properties Trust",1112482000,10.09,0.67,69060000,0.61,0.88,6.34%
RRD,"Donnelley [R.R.] & Sons Co",364672000,5.6,0.92,-34400000,1.23,0.45,8.69%
RRGB,"Red Robin Gourm",525200000,19.6,2.14,30020000,0.24,N/A,0.00%
RTEC,"Rudolph Technologies",875655000,18.43,1.5,32910000,1,N/A,0.00%
RUTH,"Ruth's Hospitality",948012000,24.45,1.27,30140000,0.35,0.42,1.36%
RWT,"Redwood Trust",1398200000,9.78,1.71,140410000,0.66,1.14,6.76%
RYAM,"Rayonier Advanced Materials Inc",1087700000,12.86,1.66,324960000,3.41,0.28,1.32%
SAFT,"Safety Ins Group Inc",1456373000,21.67,4.42,62390000,0.61,3.2,3.36%
SAH,"Sonic Automotive",928943000,11.78,1.85,92980000,1.58,0.22,1.01%
SAIA,"Saia Inc",1993544000,26.17,3,91160000,0.78,N/A,0.00%
SANM,"Sanmina Corp",2123750000,14.88,2.08,138830000,0.47,N/A,0.00%
SBCF,"Seacoast Banking Cp",1472807000,20.95,1.5,42870000,0.62,N/A,0.00%
SBSI,"Southside Bancshares",1236923000,18.32,1.93,54310000,0.75,1.18,3.35%
SCHL,"Scholastic Cp",1462582000,30.03,1.4,-5000000,0.69,0.6,1.44%
SCL,"Stepan Company",1998650000,18.88,4.73,91580000,1.21,0.88,0.99%
SCSC,"Scansource Inc",1103346000,14.06,3.02,69250000,0.97,N/A,0.00%
SCVL,"Shoe Carnival Inc",593513000,18.94,1.84,18930000,0.75,0.305,0.83%
SEDG,"Solaredge Tech",2177175000,16.39,2.88,84170000,-0.43,N/A,0.00%
SEM,"Select Medical Holdings Corp",2626372000,18.4,0.74,177180000,1.37,N/A,0.00%
SENEA,"Seneca Foods Cp A",298044000,0,-0.63,-13810000,1.08,N/A,0.00%
SFBS,"Servisfirst Bancs",2288969000,20.21,2.14,93090000,1.25,0.32,0.74%
SFLY,"Shutterfly Inc",2541440000,37.36,2.03,30090000,0.99,N/A,0.00%
SFNC,"Simmons First Natl",2842532000,14.92,2.08,92940000,1.16,0.55,1.79%
SHAK,"Shake Shack Inc",2160700000,83.38,0.69,-320000,1.26,N/A,0.00%
SHOO,"Steven Maddens Ltd",3328650000,23.81,2.4,117950000,0.43,0.4,0.70%
SIGI,"Selective Ins Group",3744530000,20.89,3.05,168830000,1.28,0.72,1.13%
SJI,"South Jersey Industries",2782496000,18.39,1.78,-3490000,0.56,1.113,3.42%
SKYW,"Skywest Inc",3361764000,14.82,4.28,428910000,1.73,0.36,0.56%
SLCA,"U.S. Silica Holdings Inc",1730129000,10.11,2.22,145210000,2.23,0.25,1.12%
SMCI,"Super Micro Computer",948481000,12.87,0,69320000,0.19,N/A,0.00%
SMP,"Standard Motor Products",1155594000,20.7,2.48,37980000,1.7,0.82,1.59%
SMTC,"Semtech Corp",3302382000,42.23,1.19,36430000,1.37,N/A,0.00%
SNBR,"Sleep Number Corporation",1147532000,21.56,1.49,65080000,0.98,N/A,0.00%
SONC,"Sonic Cp",1219481000,23.78,1.44,63660000,1.48,0.64,1.89%
SPOK,"Spok Holdings Inc",303576000,50.16,0.31,-15310000,0.42,0.5,3.21%
SPPI,"Spectrum Pharma Inc",2592841000,0,-0.94,-91250000,1.92,N/A,0.00%
SPSC,"Sps Commerce Inc",1687344000,142.22,0.69,-2440000,0.72,N/A,0.00%
SPTN,"Spartannash Company",760638000,10.64,2,-52850000,1.15,0.69,3.26%
SPXC,"SPX Corp",1471879000,17.69,1.93,89300000,1.55,N/A,0.00%
SR,"Spire Inc",3772381000,18.2,4.11,161600000,0.03,2.213,2.97%
SRCI,"Src Energy Inc",2342743000,9.95,0.97,142480000,1.65,N/A,0.00%
SRDX,"Surmodics Inc",999248000,120.97,0.62,3930000,0.61,N/A,0.00%
SSD,"Simpson Manufacturing Company",3509498000,31.83,2.38,92620000,1.59,0.85,1.12%
SSP,"E.W. Scripps Company",1184322000,161.78,0.01,-13110000,2.09,0.1,0.69%
SSTK,"Shutterstock Inc",1859522000,71.46,0.74,16730000,1.34,N/A,0.00%
STBA,"S&T Bancorp Inc",1629365000,17.7,2.66,72970000,0.67,0.69,1.48%
STC,"Stewart Information Services Corp",1062602000,20.93,2.15,48660000,0.74,1.2,2.68%
STMP,"Stamps.Com Inc",4328436000,20.96,11.31,150600000,0.01,N/A,0.00%
STRA,"Strayer Education",1565078000,38.98,3.53,20610000,0.9,1,0.72%
SUP,"Superior Industries International",561699000,29.34,0.76,-6200000,1.23,0.36,1.60%
SUPN,"Supernus Pharm",2346840000,25,1.79,57280000,0.97,N/A,0.00%
SVU,"Supervalu Inc",1245109000,21.32,1.51,45000000,1.32,N/A,0.00%
SWM,"Schweitzer-Mauduit International",1257776000,11.84,3.45,34500000,1.24,1.72,4.21%
SXC,"Suncoke Energy Inc",734686000,22.51,0.51,122400000,0.98,N/A,0.00%
SXI,"Standex International Corp",1328547000,22.81,4.98,46550000,1.52,0.72,0.70%
SYKE,"Sykes Enterprises",1289310000,15.34,1.94,32220000,0.76,N/A,0.00%
TBI,"Trueblue Inc",1194522000,14.82,1.99,55460000,1.88,N/A,0.00%
TCMD,"Tactile Systems Technology Inc",1201715000,204.66,0.32,5860000,0.44,N/A,0.00%
TG,"Tredegar Corp",745116000,18.2,1.22,38250000,1.54,0.44,1.96%
TGI,"Triumph Group",1075896000,8.14,2.63,-425390000,1.78,0.16,0.74%
THRM,"Gentherm Inc",1781071000,26.28,1.87,35230000,1.73,N/A,0.00%
TILE,"Interface Inc",1409913000,18.02,1.31,53250000,1.17,0.26,1.10%
TISI,"Team Inc",697965000,0,-0.72,-104160000,1.68,N/A,0.00%
TIVO,"Tivo Corp",1677219000,30.54,0.46,-37960000,-0.36,0.72,5.31%
TLRD,"Tailored Brands Inc",1119006000,9.05,2.39,96700000,1.65,0.72,3.20%
TMP,Tompkinstrustco,1328443000,17.43,5.01,52490000,0.86,1.91,2.20%
TMST,"Timken Steel Corp",620999000,0,-0.73,-43800000,1.89,N/A,0.00%
TNC,"Tennant Company",1345311000,42.83,1.75,-6200000,0.83,0.84,1.13%
TPRE,"Third Point Reinsurance Ltd Co",1340024000,15.47,0.86,277800000,1.1,N/A,0.00%
TREX,"Trex Company",4889860000,41.65,1.98,95130000,2.4,N/A,0.00%
TRHC,"Tabula Rasa Healthcare Inc",1673646000,443.42,0.19,14300000,2.03,N/A,0.00%
TRST,"Trustco Bank Corp NY",883341000,16.32,0.57,43150000,1,0.262,2.86%
TTEC,"Teletech Hldgs",1230430000,15.47,1.69,7260000,0.9,0.52,1.95%
TTEK,"Tetra Tech Inc",3812237000,27.53,2.53,117870000,0.99,0.44,0.64%
TTI,"Tetra Technologies",584412000,0,-0.03,-39050000,0.69,N/A,0.00%
TTMI,"TTM Technologies I",1911859000,13.68,1.33,124210000,1.79,N/A,0.00%
TTS,"Tile Shop Hldgs",400596000,42.5,0.18,10820000,1.86,0.2,2.63%
TVPT,"Travelport Worldwide Ltd",2343720000,37.32,0.5,142460000,0.26,0.3,1.62%
TVTY,"Tivity Health",1328332000,18.62,1.36,63720000,0.46,N/A,0.00%
TWI,"Titan International",466621000,0,0.04,-60040000,1.62,0.02,0.26%
TYPE,"Monotype Imag. Hold.",884100000,30.28,0.71,11560000,0.94,0.458,2.18%
UBA,"Urstadt Biddle Properties Inc",911094000,16.78,0.55,52930000,0.34,1.075,4.68%
UCBI,"United Comm Banks",2403969000,16.44,1.86,67820000,0.83,0.47,1.55%
UCTT,"Ultra Clean Holdings",591499000,5.96,2.45,75090000,0.76,N/A,0.00%
UEIC,"Universal Elect In",616818000,14.68,2.97,-10320000,1.11,N/A,0.00%
UFCS,"United Fire Group I",1261017000,45.05,1.13,51020000,0.48,4.15,8.24%
UFI,"Unifi Inc",591698000,24.87,1.31,31700000,0.64,N/A,0.00%
UFPI,"Universal Forest Prd",2277845000,17.66,2.12,119510000,1.91,0.35,0.95%
UHT,"Universal Health Realty Income Trust",1040118000,22.78,1.52,45620000,0.33,2.66,3.51%
UIHC,"United Insurance Hld",888515000,20,1.03,10150000,1.65,0.24,1.16%
UNF,"Unifirst Corp",3529416000,30.59,6,70200000,0.6,0.225,0.12%
UNT,"Unit Corp",1395522000,37.14,0.74,117850000,2.87,N/A,0.00%
USCR,"U S Concrete Inc",814929000,20.94,2.33,25510000,0.94,N/A,0.00%
USPH,"U.S. Physical Therapy",1517724000,52.41,2.26,22260000,1.09,0.89,0.74%
UVE,"Universal Insurance Holdings Inc",1553458000,12.06,3.72,106940000,1.85,0.85,1.91%
UVV,"Universal Corp",1483872000,14.6,4.08,105660000,1.23,2.39,4.02%
VAC,"Marriot Vacations Worldwide Cor",3313013000,20.73,5.95,226780000,1.38,1.55,1.24%
VECO,"Veeco Instrument",548888000,54.05,0.21,-44790000,0.56,N/A,0.00%
VG,"Vonage Holdings",3377918000,41.38,0.34,-33930000,-0.06,N/A,0.00%
VIAV,"Viavi Solutions",2598154000,30.05,0.38,-46000000,0.98,N/A,0.00%
VICR,"Vicor Cp",2391208000,193.71,0.31,170000,1.04,N/A,0.00%
VIVO,"Meridian Bioscience",657200000,22.39,0.69,21560000,0.85,0.5,3.23%
VRA,"Vera Bradley",527472000,22.91,0.65,7020000,0.48,N/A,0.00%
VREX,"Varex Imaging Corp",1201116000,19.7,1.61,51600000,2.3,N/A,0.00%
VRTS,"Virtus Inv Prts",918119000,12.33,10.46,37010000,1.52,1.8,1.41%
VRTU,"Virtusa Corp",1695180000,53.76,1.06,1250000,1.19,N/A,0.00%
VRTV,"Veritiv Corp",763178000,19,2.5,-13300000,0.43,N/A,0.00%
VSI,"Vitamin Shoppe Inc",327080000,65,0.21,-252150000,0.57,N/A,0.00%
VSTO,"Vista Outdoor Inc",1037266000,72,0.25,-60230000,-0.31,N/A,0.00%
VVI,"Viad Corp",1252328000,34.78,1.78,57710000,0.7,0.4,0.65%
WABC,"Westamerica Bancorp",1677010000,25.38,2.48,50030000,1.02,1.6,2.54%
WAGE,"Wageworks Inc",2067226000,41.68,0.33,20210000,1.14,N/A,0.00%
WD,"Walker & Dunlop",1725166000,11.6,4.76,211130000,0.89,0.75,1.36%
WDFC,"W D 40 Co",2404365000,42.46,4.11,52930000,0.57,2.11,1.22%
WDR,"Waddell & Reed Financial",1628699000,10.04,2.05,141280000,1.9,1.21,5.93%
WETF,"Wisdomtree Invstmnts",1236886000,30.19,0.27,27200000,2.56,0.17,2.10%
WGO,"Winnebago Industries",1222076000,12.21,3.15,71330000,1.73,0.4,1.04%
WING,"Wingstop Inc",1953480000,81.45,0.82,27300000,0.81,3.45,5.17%
WIRE,"Encore Wire Cp",1074818000,18.39,2.83,67020000,1.87,0.08,0.16%
WLH,"William Lyon Homes",767576000,8.32,2.45,48140000,1.58,N/A,0.00%
WNC,"Wabash National Corp",1082985000,12.98,1.47,111420000,1.85,0.285,1.51%
WPG,"Washington Prime Group Inc",1503284000,5.05,0.34,197060000,0.64,1,12.38%
WRLD,"World Acceptance Cp",1070568000,15.24,7.87,53690000,2.75,N/A,0.00%
WSR,"Whitestone REIT",545233000,10.92,0.24,8330000,1.06,1.14,8.31%
WTS,"Watts Water Technologies",2844736000,24.52,3.41,73100000,1.05,0.78,0.94%
WWE,"World Wrestling Entertainment",6530826000,101.47,0.81,32640000,1.04,0.48,0.57%
WWW,"Wolverine World Wide",3644800000,20.19,1.88,300000,0.98,0.28,0.73%
XOXO,"Xoxo Group Inc",780150000,51.64,0.59,5530000,0.86,N/A,0.00%
XPER,"Xperi Corp",805240000,31.83,0.52,-56560000,0.6,0.8,4.88%
ZEUS,"Olympic Steel Inc",238036000,9.31,2.35,18960000,1.75,0.08,0.37%
ZUMZ,"Zumiez Inc",762827000,24.92,1.18,26800000,1.01,N/A,0.00%
"Downloaded from Barchart.com as of 08-29-2018 07:47pm CDT"
