Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",763228000,11.7,3.37,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2017236000,47.88,0.8,54500000,0.82,0.32,0.84%
AAT,"American Assets Trust",1829388000,18.78,0.4,40130000,0.38,1.08,2.78%
AAWW,"Atlas Air Ww",1628167000,10.31,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3893927000,164.5,0.42,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2318488000,17.91,2.73,73550000,1.05,0.4,0.82%
ABG,"Asbury Automotive Group Inc",1506918000,9.98,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2064236000,19.33,1.61,3800000,0.81,0.7,2.25%
ACET,"Aceto Cp",99760000,4.01,0.8,11380000,1.62,0.04,1.25%
ACLS,"Axcelis Tech Inc",733020000,13.73,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1277951000,25.99,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1569696000,19.17,1.91,58110000,0.33,2.16,3.99%
ADTN,"Adtran Inc",780933000,0,-0.06,23840000,0.61,0.36,2.23%
AEGN,"Aegion Corp",817357000,24.93,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2396661000,12.9,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3203055000,10.61,3.34,174650000,2.4,0.26,0.73%
AGYS,"Agilysys Inc",363854000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",762684000,15.95,0.46,21050000,0.61,0.8,5.17%
AIN,"Albany International Corp",2070460000,38.09,1.7,33110000,1.67,0.68,1.05%
AIR,"AAR Corp",1617147000,27.46,1.69,15600000,1.21,0.3,0.65%
AIT,"Applied Industrial Technologies",2828970000,20.78,3.46,133910000,0.94,1.2,1.67%
AJRD,"Aerojet Rocketdyne Holdings",2608200000,35.64,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2199685000,19.5,0.58,60830000,0.41,1.08,3.93%
AKS,"AK Steel Holding Corp",1426105000,16.67,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1109775000,17.99,5.21,44320000,0.87,0.44,0.47%
ALGT,"Allegiant Travel Com",2047013000,11.78,10.62,194900000,0.15,2.8,2.24%
ALRM,Alarm.Com,2104405000,42.8,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",823920000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",937878000,3.73,5.58,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3477883000,37.21,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2634143000,19.09,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",821734000,75.65,0.23,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1200861000,18.73,3.34,46230000,0.79,0.88,1.41%
AMWD,"Amer Woodmark Cp",1488240000,17.51,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",990500000,29.33,1.19,42510000,1.16,0.66,1.89%
ANF,"Abercrombie & Fitch Company",1748304000,25.98,0.96,7090000,0.72,0.8,3.21%
ANGO,"Angiodynamics Inc",795348000,29.71,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",606965000,25.36,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",774316000,15.71,4.14,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",709300000,31.84,1.36,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1413500000,15.84,3.1,79490000,1.45,0.63,1.28%
ARCB,"Arcbest Corp",1216618000,19.17,2.42,59730000,1.92,0.32,0.69%
ARI,"Apollo Commercial Real Estate",2334920000,11.5,1.65,193030000,0.54,1.84,9.70%
AROC,"Archrock Inc",939401000,1305,0.01,18950000,2.92,0.48,3.68%
ARR,"Armour Residential R",987871000,8.83,2.68,181150000,0.64,2.28,9.64%
ASGN,"On Assignment",4850825000,25.36,3.62,157680000,1.91,0,0.00%
ASIX,"Advansix Inc",1054080000,14.16,1.74,146700000,1.47,0,0.00%
ASNA,"Ascena Retail Grp",814272000,0,-0.04,-1067300000,1.66,0,0.00%
ASTE,"Astec Inds Inc",1073454000,20.8,2.2,37800000,1.04,0.4,0.87%
ATNI,"Atn International",1084403000,41.37,1.56,31490000,0.61,0.68,1.05%
