Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",42.28,"32% Buy",52.77%,69.59%,1563735,22.54,71.45
AAON,"Aaon Inc",39,"96% Buy",71.35%,17.54%,198055,29.05,40.25
AAT,"American Assets Trust",38.31,"48% Buy",53.79%,20.11%,188490,30.62,41.69
AAWW,"Atlas Air Ww",60.2,"80% Sell",30.25%,24.56%,302385,50.65,75.29
AAXN,"Axon Inc",60.98,"24% Sell",42.13%,55.93%,981135,20.57,76.45
ABCB,"Ameris Bancorp",48.55,"64% Sell",38.34%,27.54%,431985,41.05,59.05
ABG,"Asbury Automotive Group Inc",74.55,"80% Buy",60.52%,18.74%,270555,49.1,76.5
ABM,"ABM Industries Incorporated",30.75,Hold,50.77%,15.25%,589815,28.17,44.83
ACET,"Aceto Cp",3.18,"56% Sell",44.84%,51.77%,215095,2.22,16.51
ACLS,"Axcelis Tech Inc",21,"48% Sell",46.16%,33.31%,390520,19.3,37.05
ACOR,"Acorda Therapeutics",27.75,"32% Buy",52.06%,65.36%,489340,16.55,36.35
ADC,"Agree Realty Corp",53.62,"24% Buy",52.20%,16.59%,144335,43.74,54.69
ADTN,"Adtran Inc",16.1,"24% Buy",54.75%,20.98%,402500,13.95,25.1
AEGN,"Aegion Corp",24.42,"48% Sell",42.65%,18.83%,81040,19.81,28.19
AEIS,"Advanced Energy",59.57,"56% Sell",46.63%,24.32%,522440,56.22,95
AEL,"American Equity Investment Life",35.94,"56% Buy",54.10%,15.80%,431075,25.43,38.56
AGYS,"Agilysys Inc",15.84,"24% Buy",52.46%,36.19%,107525,10,16.8
AHH,"Armada Hoffler Properties Inc",15.5,"56% Buy",57.00%,18.90%,308425,12.73,16
AIN,"Albany International Corp",75.45,"96% Buy",72.82%,56.14%,140375,49.2,77.35
AIR,"AAR Corp",45.96,"16% Sell",47.13%,16.63%,150825,34.25,49.05
AIT,"Applied Industrial Technologies",73.75,"24% Buy",52.06%,25.15%,176280,54,77.15
AJRD,"Aerojet Rocketdyne Holdings",36.68,"96% Buy",72.52%,73.02%,1033575,24.41,36.99
AKR,"Acadia Realty Trust",26.62,"16% Sell",47.93%,19.93%,442735,21.34,30.63
AKS,"AK Steel Holding Corp",4.26,"48% Sell",39.69%,61.68%,15326865,4,6.8
ALG,"Alamo Group",95.69,"32% Buy",57.07%,18.49%,63680,86.41,120.58
ALGT,"Allegiant Travel Com",132.25,"32% Sell",45.74%,65.80%,211825,111.54,181.45
ALRM,Alarm.Com,50.7,"100% Buy",72.10%,33.48%,416250,33.39,52.6
AMAG,"Amag Pharmaceuticals",25.35,"96% Buy",64.98%,33.29%,612540,11.93,26.1
AMBC,"Ambac Financial Grp",21.82,"96% Buy",69.40%,20.73%,411985,13.17,23.34
AMED,"Amedisys Inc",113.9,"96% Buy",79.83%,39.78%,438900,45.6,115.76
AMN,"Amn Healthcare Services Inc",55.35,"80% Sell",42.17%,49.04%,503635,36.75,68.2
AMPH,"Amphastar Pharma",17.63,"24% Buy",56.77%,23.02%,134110,14.4,20.45
AMSF,"Amerisafe Inc",63.1,"48% Buy",59.69%,14.13%,66395,51.55,67.82
AMWD,"Amer Woodmark Cp",81.6,"56% Sell",39.46%,31.59%,152060,78.75,148.44
ANDE,"Andersons Inc",39.75,"96% Buy",71.67%,45.11%,121610,29.6,41.7
ANF,"Abercrombie & Fitch Company",26.72,"24% Buy",56.22%,40.95%,1777775,9.03,29.2
ANGO,"Angiodynamics Inc",21.35,"24% Sell",49.35%,20.99%,220585,15.16,23.95
ANIK,"Anika Therapeutics",41.49,"48% Buy",60.23%,65.36%,203125,28.54,69.81
ANIP,"ANI Pharma Inc",57.23,"64% Sell",27.72%,53.77%,131145,43.21,74.7
APEI,"American Pub. Edu.",34.1,"72% Sell",23.19%,84.17%,125940,17.4,46.15
APOG,"Apogee Entrpr Inc",49.18,"32% Buy",54.96%,19.03%,142670,37.24,52.35
ARCB,"Arcbest Corp",45.9,"8% Sell",49.87%,46.15%,321430,25.02,50.45
ARI,"Apollo Commercial Real Estate",18.76,"8% Sell",49.19%,8.27%,1034420,17.56,19.17
AROC,"Archrock Inc",12.75,"8% Buy",50.43%,33.59%,641725,8.25,13.75
ARR,"Armour Residential R",23.53,"72% Buy",55.22%,10.64%,450215,21.4,27.55
ASGN,"On Assignment",89.37,"40% Buy",56.32%,32.54%,319590,44.66,94.25
ASIX,"Advansix Inc",33.91,"64% Sell",36.09%,45.48%,198675,30.33,46.51
ASNA,"Ascena Retail Grp",4.41,"88% Buy",65.60%,39.63%,1674715,1.69,4.74
ASTE,"Astec Inds Inc",46.08,"72% Sell",31.49%,86.50%,271895,45.3,64.8
ATNI,"Atn International",72.01,"96% Buy",73.15%,75.21%,51055,49.34,72.14
ATU,"Actuant Corp",28.2,"56% Buy",53.99%,17.50%,300020,21.5,30.05
AVA,"Avista Corp",50.68,"40% Sell",42.25%,4.97%,401470,47.5,52.91
AVAV,"Aerovironment Inc",80.56,"100% Buy",71.32%,25.16%,258710,37.01,81
AVD,"American Vanguard Corp",19.5,"88% Sell",31.84%,28.18%,63285,18.01,24
AVP,"Avon Products",1.69,"8% Sell",51.86%,42.60%,6495120,1.38,2.99
AWR,"American States Water Company",59.34,"8% Buy",50.89%,19.20%,207575,47.53,61.66
AXE,"Anixter International Inc",69.9,"16% Buy",52.46%,49.34%,276140,56.25,88.85
AXL,"American Axle & Manufacturing",16.24,"8% Sell",47.62%,40.44%,1857960,13.38,20.27
AZZ,"Azz Inc",53.55,"24% Buy",59.26%,14.33%,152545,39.5,56.05
B,"Barnes Group",65.93,"64% Buy",58.95%,33.40%,202280,52.42,72.87
BABY,"Natus Medical Inc",35.35,"16% Buy",51.62%,32.96%,350010,28,43.6
BANC,"First Pactrust Bancorp",19.7,"16% Buy",49.98%,31.91%,438365,17.1,23.4
BANR,"Banner Corp",64.62,"88% Buy",61.63%,15.30%,143275,52.2,65.86
BCC,"Boise Cascade L.L.C.",43.35,"24% Sell",44.92%,24.17%,460925,28,49.3
BCOR,"Blucora Inc",34.7,"40% Sell",43.26%,38.08%,386160,19.05,40.6
BCPC,"Balchem Cp",99.35,"8% Buy",50.33%,25.70%,85025,70.23,104.59
BEAT,"Biotelemetry Inc",55.2,"80% Buy",62.50%,49.89%,455520,23.3,58.5
BEL,"Belmond Ltd",15.7,"100% Buy",80.97%,106.00%,645315,10.3,16.2
BELFB,"Bel Fuse Inc Cl B",24.55,"96% Buy",60.01%,53.06%,17355,17.1,33.45
BFS,"Saul Centers",55.38,"96% Buy",59.38%,19.61%,36090,46.71,65.43
BGFV,"Big 5 Sporting",5.95,"80% Sell",36.69%,46.43%,307520,5.05,9.75
BGG,"Briggs & Stratton Corp",17.2,"64% Sell",43.64%,30.69%,276305,16.26,27.34
BGS,"B&G Foods Holdings",30.95,"24% Buy",51.72%,22.10%,711925,22,39.75
BHE,"Benchmark Electronics",25.45,"56% Sell",37.35%,68.41%,424790,23.98,35.8
BHLB,"Berkshire Hills Bancorp",40.7,"16% Sell",47.60%,14.56%,205750,32.85,44.25
BJRI,"Bj's Restaurants Inc",63.05,"56% Buy",55.19%,34.27%,370460,28,73.05
BKE,"Buckle Inc",26.35,"48% Buy",57.75%,37.13%,350845,13.5,28.8
BKS,"Barnes & Noble",6.15,"56% Buy",57.61%,20.10%,985810,4.1,8
BLD,"Topbuild Corp",72.6,"80% Sell",41.14%,46.96%,319245,54.52,87.21
BMI,"Badger Meter",52.65,"64% Buy",63.48%,36.66%,150795,41,53.3
BNED,"Barnes & Noble Education Inc C",6.16,"16% Buy",56.38%,42.70%,290710,4.99,9.1
BOFI,"Bofi Holding Inc",36.87,"80% Sell",37.34%,44.03%,740100,24.2,45.18
BPFH,"Boston Pvt Finl Hldg",13.85,"96% Sell",25.67%,28.45%,463065,13.77,17.85
BRC,"Brady Corp",37.4,"40% Sell",45.93%,19.20%,220080,31.7,40.9
BRKL,"Brookline Bancorp",17.7,"72% Sell",37.24%,12.29%,264730,13.6,19.35
BRKS,"Brooks Automation",29.66,"64% Sell",42.03%,32.74%,640265,21.75,36.45
BRS,"Bristow Group Inc",11.32,"96% Sell",33.18%,49.67%,728375,7.12,18.91
CACI,"Caci International",180.1,"80% Buy",58.32%,19.26%,117285,118.1,183.45
CAL,"Caleres Inc",35.29,"64% Buy",54.41%,28.12%,268300,22.39,37.06
CALM,"Cal-Maine Foods In",48.1,"56% Buy",58.05%,18.17%,391910,34.03,52.3
CAMP,"Calamp Corp",23.28,"72% Buy",54.41%,16.90%,430055,17.52,25.45
CASH,"Meta Financial Grp",88.55,"96% Sell",33.01%,27.41%,61815,60.7,117.97
CATM,"Cardtronics Inc",30.17,"96% Buy",60.53%,91.94%,495090,15.8,32.33
CATO,"Cato Corp",24.37,"16% Sell",50.03%,35.84%,281425,10.76,26.88
CBB,"Cincinnati Bell Inc",12.05,"80% Sell",42.75%,123.14%,622640,9.9,22.2
CBL,"Cbl & Associates Properties",4.28,"64% Sell",34.43%,64.62%,3644420,3.8,9.1
CBM,"Cambrex Corp",60.35,"32% Buy",57.08%,36.57%,457530,42.55,67.75
CBU,"Community Bank System",63.5,"40% Buy",55.75%,16.86%,217405,48.89,65.51
CCMP,"Cabot Microelectron",121.09,"72% Buy",61.23%,13.05%,147580,68,123.76
CCOI,"Cogent Comm Hldgs",51.05,"24% Sell",45.70%,17.63%,231005,35.75,57.65
CCRN,"Cross Ctry Hlthcr",9.21,"88% Sell",34.04%,136.41%,364805,7.41,14.65
CDR,"Cedar Shopping Centers Inc",4.43,"40% Sell",41.90%,30.94%,334370,3.54,6.29
CECO,"Career Education",16.73,"8% Sell",44.75%,30.79%,429720,8.5,19.07
CEIX,"Consol Energy Inc",43.07,"64% Buy",53.59%,47.64%,424135,19.51,48.12
CENT,"Central Garden",40.44,"72% Sell",39.49%,21.01%,173610,33.2,45.02
CENTA,"Central Garden & Pet",36.89,"72% Sell",36.10%,23.39%,486540,32.2,41.97
CENX,"Century Aluminum C",12.06,"96% Sell",31.29%,51.04%,1744675,11.77,24.77
CEVA,"Ceva Inc",29.3,"88% Sell",42.33%,66.57%,169375,26.1,51.8
