Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
AAOI,"Applied Optoelect",819914000,17.16,2.47,73950000,2.56,N/A,0.00%
AAON,"Aaon Inc",2129595000,51.06,0.8,54500000,0.82,0.29,0.72%
AAT,"American Assets Trust",1848663000,18.99,0.4,40130000,0.38,1.07,2.71%
AAWW,"Atlas Air Ww",1574449000,10.15,6.12,223470000,1.16,N/A,0.00%
AAXN,"Axon Inc",3875947000,126.57,0.53,5210000,0.86,N/A,0.00%
ABCB,"Ameris Bancorp",2333232000,18.13,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1522180000,10.42,7.3,139100000,1.4,N/A,0.00%
ABM,"ABM Industries Incorporated",2078699000,19.61,1.61,3800000,0.81,0.695,2.19%
ACET,"Aceto Cp",102531000,4.32,0.8,11380000,1.62,0.205,6.17%
ACLS,"Axcelis Tech Inc",653672000,11.8,1.69,126960000,0.97,N/A,0.00%
ACOR,"Acorda Therapeutics",1355554000,28.32,1.01,-223360000,1.46,N/A,0.00%
ADC,"Agree Realty Corp",1656676000,20.29,1.91,58110000,0.33,2.085,3.65%
ADTN,"Adtran Inc",816354000,0,-0.06,23840000,0.61,0.36,2.09%
AEGN,"Aegion Corp",818335000,25.21,0.99,-69050000,1.74,N/A,0.00%
AEIS,"Advanced Energy",2312575000,12.58,4.69,137860000,1.19,N/A,0.00%
AEL,"American Equity Investment Life",3341263000,10.37,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",378672000,0,-0.31,-8350000,0.35,N/A,0.00%
AHH,"Armada Hoffler Properties Inc",769040000,16.33,0.46,21050000,0.61,0.78,5.00%
AIN,"Albany International Corp",2484230000,32.8,2.36,33110000,1.67,0.68,0.88%
AIR,"AAR Corp",1597345000,27.57,1.69,15600000,1.21,0.3,0.64%
AIT,"Applied Industrial Technologies",2975632000,20.86,3.71,141630000,0.94,1.19,1.54%
AJRD,"Aerojet Rocketdyne Holdings",2657340000,37.42,0.96,-9200000,1.17,N/A,0.00%
AKR,"Acadia Realty Trust",2312970000,20.16,0.58,60830000,0.41,1.07,3.75%
AKS,"AK Steel Holding Corp",1372469000,16.63,0.27,6200000,2.84,N/A,0.00%
ALG,"Alamo Group",1129482000,18.72,5.21,44320000,0.87,0.43,0.45%
ALGT,"Allegiant Travel Com",2184024000,12.7,10.62,194900000,0.15,2.8,2.06%
ALRM,Alarm.Com,2646396000,53.12,1.03,29250000,1.16,N/A,0.00%
AMAG,"Amag Pharmaceuticals",844515000,0,-0.67,-199230000,0.39,N/A,0.00%
AMBC,"Ambac Financial Grp",959183000,4.41,4.82,-328720000,1.7,N/A,0.00%
AMED,"Amedisys Inc",3900400000,42.26,2.91,30300000,0.61,N/A,0.00%
AMN,"Amn Healthcare Services Inc",2754420000,21.55,2.07,132560000,0.42,N/A,0.00%
AMPH,"Amphastar Pharma",850721000,121.8,0.15,4510000,1.4,N/A,0.00%
AMSF,"Amerisafe Inc",1217232000,18.97,3.34,46230000,0.79,4.34,6.80%
AMWD,"Amer Woodmark Cp",1545278000,15.48,4.94,63140000,1.82,N/A,0.00%
ANDE,"Andersons Inc",1144735000,28.76,1.41,42510000,1.16,0.655,1.60%
ANF,"Abercrombie & Fitch Company",1528665000,28.35,0.96,7090000,0.72,0.8,3.69%
ANGO,"Angiodynamics Inc",824492000,30.74,0.73,16340000,0.97,N/A,0.00%
ANIK,"Anika Therapeutics",600550000,25.39,1.63,31820000,1.86,N/A,0.00%
ANIP,"ANI Pharma Inc",677741000,13.53,4.27,-1080000,2.78,N/A,0.00%
APEI,"American Pub. Edu.",577984000,23.16,1.52,21120000,0.65,N/A,0.00%
APOG,"Apogee Entrpr Inc",1391450000,16.04,3.1,79490000,1.45,0.613,1.25%
ARCB,"Arcbest Corp",1239060000,20.02,2.42,59730000,1.92,0.32,0.67%
ARI,"Apollo Commercial Real Estate",2386588000,11.78,1.65,193030000,0.54,1.84,9.47%
AROC,"Archrock Inc",1617625000,1270,0.01,18950000,2.92,0.492,3.89%
ARR,"Armour Residential R",993741000,8.87,2.68,181150000,0.64,2.28,9.69%
ASGN,"On Assignment",4829811000,25.36,3.62,157680000,1.91,N/A,0.00%
ASIX,"Advansix Inc",1018785000,13.13,1.74,146700000,1.47,N/A,0.00%
ASNA,"Ascena Retail Grp",882945000,0,-0.04,-1067300000,1.66,N/A,0.00%
ASTE,"Astec Inds Inc",1125638000,22.24,2.2,37800000,1.04,0.41,0.84%
ATNI,"Atn International",1152472000,47.27,1.56,31490000,0.61,0.68,0.93%
ATU,"Actuant Corp",1784370000,32.5,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3367270000,26.51,1.95,115920000,0.25,1.475,2.87%
AVAV,"Aerovironment Inc",2057741000,82.89,1.04,20070000,1.14,N/A,0.00%
AVD,"American Vanguard Corp",657944000,32.95,0.66,20270000,1.01,0.07,0.32%
AVP,"Avon Products",893547000,20.8,0.1,22000000,1.24,N/A,0.00%
AWR,"American States Water Company",2220329000,36.07,1.66,69370000,0.27,1.04,1.72%
AXE,"Anixter International Inc",2373987000,13.31,5.4,109000000,2.12,N/A,0.00%
AXL,"American Axle & Manufacturing",2005952000,4.95,2.73,337100000,1.37,N/A,0.00%
AZZ,"Azz Inc",1401716000,51.18,1.06,45170000,1.42,0.68,1.27%
B,"Barnes Group",3488087000,22.82,2.99,59420000,1.37,0.6,0.88%
BABY,"Natus Medical Inc",1230592000,26.13,1.41,-20290000,0.58,N/A,0.00%
BANC,"First Pactrust Bancorp",1015733000,26.32,0.76,57710000,0.83,0.52,2.58%
BANR,"Banner Corp",2072353000,19.22,3.36,60780000,0.98,1.7,2.64%
BCC,"Boise Cascade L.L.C.",1703382000,13.49,3.32,82960000,1.98,1.28,2.93%
BCOR,"Blucora Inc",1719804000,20.9,1.72,27040000,-0.14,N/A,0.00%
BCPC,"Balchem Cp",3522808000,39.12,2.07,90070000,0.84,0.42,0.38%
BEAT,"Biotelemetry Inc",1914936000,44.47,1.33,-15960000,1.3,N/A,0.00%
BEL,"Belmond Ltd",1709136000,165,0.1,-45040000,1.33,N/A,0.00%
BELFB,"Bel Fuse Inc Cl B",336881000,31.92,0.86,-11900000,0.55,0.28,0.98%
BFS,"Saul Centers",1337400000,19.82,1.07,48260000,0.66,2.07,3.45%
BGFV,"Big 5 Sporting",122151000,47.92,0.12,1100000,-0.69,0.75,13.16%
BGG,"Briggs & Stratton Corp",853311000,15.81,1.29,-11320000,0.64,0.56,2.78%
BGS,"B&G Foods Holdings",2047127000,15.29,2.05,217460000,0.47,1.87,5.85%
BHE,"Benchmark Electronics",1206681000,16.42,1.59,-31970000,0.23,0.3,1.16%
BHLB,"Berkshire Hills Bancorp",1909911000,16.37,2.56,55250000,0.74,0.87,2.06%
BJRI,"Bj's Restaurants Inc",1553378000,36.94,1.98,44780000,0.76,0.44,0.58%
BKE,"Buckle Inc",1233210000,12.75,1.98,89710000,0.65,2.75,10.68%
BKS,"Barnes & Noble",372402000,10.92,0.49,-125480000,1.85,0.6,11.43%
BLD,"Topbuild Corp",2210393000,18.98,3.43,158130000,0.5,N/A,0.00%
BMI,"Badger Meter",1579218000,45.13,1.2,34570000,0.72,0.54,0.98%
BNED,"Barnes & Noble Education Inc C",261814000,0,-5.47,-252570000,0.32,N/A,0.00%
BOFI,"Bofi Holding Inc",2299632000,14.57,2.49,152410000,0.12,N/A,0.00%
BPFH,"Boston Pvt Finl Hldg",1213580000,16.07,0.89,40590000,0.96,0.47,3.25%
BRC,"Brady Corp",2077361000,20.36,1.94,95650000,1.09,0.83,2.05%
BRKL,"Brookline Bancorp",1447560000,19.3,0.93,50520000,0.85,0.38,2.09%
BRKS,"Brooks Automation",2755666000,25.56,1.51,62610000,1,0.4,1.01%
BRS,"Bristow Group Inc",388354000,0,-2.15,-195660000,2.96,0.07,0.64%
CACI,"Caci International",4804150000,24.85,7.84,301170000,1.45,N/A,0.00%
CAL,"Caleres Inc",1729759000,17.74,2.19,87200000,0.84,0.28,0.69%
CALM,"Cal-Maine Foods In",2360987000,16.43,2.97,125930000,0.54,0.351,0.71%
CAMP,"Calamp Corp",814968000,24.41,0.95,16620000,1.75,N/A,0.00%
CASH,"Meta Financial Grp",1106182000,12.81,6.63,44920000,1.02,0.52,0.60%
CATM,"Cardtronics Inc",1651405000,13.42,1.98,-145350000,0.84,N/A,0.00%
CATO,"Cato Corp",514002000,17.91,1.17,8540000,0.71,1.32,6.15%
CBB,"Cincinnati Bell Inc",657096000,0,-0.53,35100000,1.24,N/A,0.00%
CBL,"Cbl & Associates Properties",764928000,2.3,-0.12,120940000,1.14,0.865,19.39%
CBM,"Cambrex Corp",2218442000,17.65,3.75,102450000,2.4,N/A,0.00%
CBU,"Community Bank System",3342083000,20.76,3.16,150720000,1,1.36,2.06%
CCMP,"Cabot Microelectron",2864155000,23.49,4.82,86950000,1.37,1.2,1.06%
CCOI,"Cogent Comm Hldgs",2524558000,113.54,0.48,5880000,0.5,2.04,3.73%
CCRN,"Cross Ctry Hlthcr",360723000,19.59,0.51,37510000,0.86,N/A,0.00%
CDR,"Cedar Shopping Centers Inc",404972000,7.45,-0.21,19140000,0.87,0.2,4.47%
CECO,"Career Education",1111337000,29.61,0.54,-31900000,2.77,N/A,0.00%
CEIX,"Consol Energy Inc",1174457000,0,4.84,67630000,N/A,N/A,0.00%
CENT,"Central Garden",2065554000,20.29,1.92,78830000,0.05,N/A,0.00%
CENTA,"Central Garden & Pet",1888074000,18.77,1.92,78830000,0.32,N/A,0.00%
CENX,"Century Aluminum C",1101132000,18.86,0.69,48580000,0.78,N/A,0.00%
CEVA,"Ceva Inc",674118000,116.73,0.26,17030000,1.06,N/A,0.00%
CHCO,"City Holding Co",1247622000,18.14,4.45,54310000,0.67,1.82,2.24%
CHCT,"Community Healthcare Trust Inc",573664000,21.12,0.31,3510000,0.79,1.595,5.14%
CHS,"Chico's Fas",1101735000,14.12,0.65,101000000,0.75,0.335,3.67%
CHSP,"Chesapeake Lodging Trust",1977496000,14.42,1.21,76240000,0.92,1.6,4.86%
CHUY,"Chuy's Holdings Inc",479685000,29.58,0.95,28960000,-0.23,N/A,0.00%
CIR,"Circor International",896371000,22.99,1.97,11790000,1.87,0.038,0.08%
CJ,"C&J Energy Services Inc",1445814000,15.55,1.46,22460000,0.91,N/A,0.00%
CKH,"Seacor Smit Inc",936144000,37.45,1.37,61640000,0.79,N/A,0.00%
CLD,"Cloud Peak Energy Inc",175810000,0,-0.61,-6640000,1.94,N/A,0.00%
CLDT,"Chatham Lodging Trust [Reit]",998808000,10.91,0.83,29480000,1.07,1.32,6.15%
CLW,"Clearwater Paper Corp",475405000,17.26,1.66,97340000,1.03,N/A,0.00%
CMO,"Capstead Mortgage Corp",777000000,15.22,0.55,79590000,0.1,0.68,8.10%
CMTL,"Comtech Telecom Co",847494000,55.32,0.65,15830000,1.55,0.4,1.12%
CNMD,"C O N M E D Cp",2245427000,37.91,2.1,55490000,0.55,0.8,0.99%
CNSL,"Consolidated Communications Holdings Inc",857850000,0,-0.23,64950000,0.78,1.55,13.12%
COHU,"Cohu Inc",755185000,17.58,1.52,32840000,1.11,0.24,0.91%
COKE,"Coca Cola Bot Cons",1576210000,70.36,2.35,96540000,0.18,1,0.59%
COLB,"Columbia Banking Sys",3064884000,17.2,2.43,112830000,1.12,0.96,2.27%
CORE,"Core Mark Holding",1616736000,30.96,1.12,33500000,0.63,0.4,1.12%
CORT,"Corcept Therapeutics",1740750000,26.45,0.56,129120000,1.7,N/A,0.00%
CPF,"Central Pacific Financial Co",831998000,16.43,1.74,41200000,1.08,0.79,2.79%
CPS,"Cooper Std Hldg Inc",2490167000,12.19,11.72,135300000,0.73,N/A,0.00%
CPSI,"Computer Programs",386066000,18.84,1.46,-17100000,-0.04,0.4,1.47%
CRAY,"Cray Inc",892136000,0,-0.84,-133830000,1.48,N/A,0.00%
CROX,"Crocs Inc",1349544000,186.55,0.11,10240000,0.45,N/A,0.00%
CRR,"Carbo Ceramics",241338000,0,-3,-253120000,1.54,N/A,0.00%
CRVL,"Corvel Cp",1120528000,29.46,2.03,35700000,0.66,N/A,0.00%
CRY,Cryolife,1257876000,110.32,0.31,3700000,0.73,N/A,0.00%
CRZO,"Carrizo Oil & Gas",2010874000,10.89,2.18,87110000,2.15,N/A,0.00%
CSGS,"C S G Sys Intl",1248918000,16.3,2.27,61360000,0.87,0.815,2.18%
CTB,"Cooper Tire & Rubber Company",1459249000,13.76,2.14,95400000,0.66,0.42,1.46%
CTRE,"Caretrust REIT Inc",1494081000,14.75,0.54,25870000,0.78,0.78,4.23%
