Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",832916000,17.21,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2038140000,48.75,0.8,54500000,0.82,0.32,0.82%
AAT,"American Assets Trust",1808998000,18.64,0.4,40130000,0.38,1.08,2.80%
AAWW,"Atlas Air Ww",1539916000,9.9,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3556354000,115.98,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2307096000,17.89,2.73,73550000,1.05,0.4,0.82%
ABG,"Asbury Automotive Group Inc",1517093000,10.27,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2021505000,19.18,1.61,3800000,0.81,0.7,2.27%
ACET,"Aceto Cp",97912000,3.92,0.8,11380000,1.62,0.04,1.27%
ACLS,"Axcelis Tech Inc",679560000,12.63,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1317570000,26.63,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1559806000,19.05,1.91,58110000,0.33,2.16,4.02%
ADTN,"Adtran Inc",768614000,0,-0.06,23840000,0.61,0.36,2.26%
AEGN,"Aegion Corp",795848000,25.08,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2329783000,12.69,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3244663000,10.02,3.58,174650000,2.4,0.26,0.72%
AGYS,"Agilysys Inc",372557000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",757795000,15.9,0.46,21050000,0.61,0.8,5.19%
AIN,"Albany International Corp",2429490000,32.18,2.36,33110000,1.67,0.68,0.90%
AIR,"AAR Corp",1596651000,27.24,1.69,15600000,1.21,0.3,0.65%
AIT,"Applied Industrial Technologies",2854125000,19.46,3.71,141630000,0.94,1.2,1.66%
AJRD,"Aerojet Rocketdyne Holdings",2773008000,37.77,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2169530000,18.89,0.58,60830000,0.41,1.08,4.06%
AKS,"AK Steel Holding Corp",1344073000,15.96,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1122444000,18.33,5.21,44320000,0.87,0.44,0.46%
ALGT,"Allegiant Travel Com",2137160000,12.32,10.62,194900000,0.15,2.8,2.14%
ALRM,Alarm.Com,2418390000,48.82,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",873815000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",989101000,4.54,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3626576000,39.15,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2628572000,20.64,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",815564000,115.47,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1215306000,18.85,3.34,46230000,0.79,0.88,1.40%
AMWD,"Amer Woodmark Cp",1432080000,17.02,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1124925000,28.26,1.41,42510000,1.16,0.66,1.66%
ANF,"Abercrombie & Fitch Company",1811349000,28.27,0.96,7090000,0.72,0.8,2.95%
ANGO,"Angiodynamics Inc",787602000,29.25,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",604924000,25.4,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",675314000,13.36,4.27,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",559922000,22.58,1.52,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1390319000,15.87,3.1,79490000,1.45,0.63,1.28%
ARCB,"Arcbest Corp",1178712000,19.42,2.42,59730000,1.92,0.32,0.68%
ARI,"Apollo Commercial Real Estate",2307855000,11.32,1.65,193030000,0.54,1.84,9.85%
AROC,"Archrock Inc",1649978000,1335,0.01,18950000,2.92,0.53,3.96%
ARR,"Armour Residential R",986613000,8.75,2.68,181150000,0.64,2.28,9.72%
ASGN,"On Assignment",4678520000,25.11,3.62,157680000,1.91,0,0.00%
ASIX,"Advansix Inc",1028490000,13.23,1.74,146700000,1.47,0,0.00%
ASNA,"Ascena Retail Grp",865286000,0,-0.04,-1067300000,1.66,0,0.00%
ASTE,"Astec Inds Inc",1063987000,21.03,2.2,37800000,1.04,0.44,0.95%
ATNI,"Atn International",1149280000,44.86,1.56,31490000,0.61,0.68,0.97%
ATU,"Actuant Corp",1717380000,31.33,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3329169000,25.99,1.95,115920000,0.25,1.49,2.94%
AVAV,"Aerovironment Inc",1926190000,76.72,1.04,20070000,1.14,0,0.00%
AVD,"American Vanguard Corp",591240000,29.39,0.66,20270000,1.01,0.08,0.41%
AVP,"Avon Products",747572000,18,0.1,22000000,1.24,0,0.00%
AWR,"American States Water Company",2179558000,35.93,1.66,69370000,0.27,1.02,1.71%
AXE,"Anixter International Inc",2338854000,13.22,5.4,109000000,2.12,0,0.00%
AXL,"American Axle & Manufacturing",1813846000,4.44,2.73,337100000,1.37,0,0.00%
AZZ,"Azz Inc",1393907000,50.33,1.06,45170000,1.42,0.68,1.27%
B,"Barnes Group",3374957000,22.14,2.99,59420000,1.37,0.64,0.97%
BABY,"Natus Medical Inc",1182104000,25.18,1.41,-20290000,0.58,0,0.00%
BANC,"First Pactrust Bancorp",996623000,26.38,0.76,57710000,0.83,0.52,2.59%
BANR,"Banner Corp",2089165000,19.36,3.36,60780000,0.98,1.4,2.15%
BCC,"Boise Cascade L.L.C.",1685881000,13.13,3.32,82960000,1.98,0.28,0.64%
BCOR,"Blucora Inc",1653108000,20.17,1.72,27040000,-0.14,0,0.00%
BCPC,"Balchem Cp",3200063000,36.77,2.07,90070000,0.84,0.42,0.42%
BEAT,"Biotelemetry Inc",1810008000,42.82,1.33,-15960000,1.3,0,0.00%
BEL,"Belmond Ltd",1616472000,155.5,0.1,-45040000,1.33,0,0.00%
BELFB,"Bel Fuse Inc Cl B",295336000,28.66,0.86,-11900000,0.55,0.28,1.14%
BFS,"Saul Centers",1246050000,18.52,1.07,48260000,0.66,2.08,3.74%
BGFV,"Big 5 Sporting",127509000,47.92,0.12,1100000,-0.69,0.6,10.44%
BGG,"Briggs & Stratton Corp",733924000,13.43,1.28,56650000,0.64,0.56,3.26%
BGS,"B&G Foods Holdings",2040534000,15.32,2.05,217460000,0.47,1.9,6.05%
BHE,"Benchmark Electronics",1185716000,16.04,1.59,-31970000,0.23,0.6,2.35%
BHLB,"Berkshire Hills Bancorp",1848594000,16.11,2.56,55250000,0.74,0.88,2.13%
BJRI,"Bj's Restaurants Inc",1325311000,32.27,1.98,44780000,0.76,0.44,0.69%
BKE,"Buckle Inc",1286934000,13.74,1.9,89710000,0.65,1,3.83%
BKS,"Barnes & Noble",447659000,12.45,0.49,-125480000,1.85,0.6,9.84%
BLD,"Topbuild Corp",2587464000,22.28,3.43,158130000,0.5,0,0.00%
BMI,"Badger Meter",1532642000,43.54,1.2,34570000,0.72,0.52,1.00%
BNED,"Barnes & Noble Education Inc C",289027000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2306219000,14.98,2.49,152410000,0.12,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1171295000,15.79,0.89,40590000,0.96,0.48,3.42%
BRC,"Brady Corp",1935076000,19.25,1.94,95650000,1.09,0.83,2.22%
BRKL,"Brookline Bancorp",1423434000,19.25,0.93,50520000,0.85,0.4,2.23%
BRKS,"Brooks Automation",2095182000,19.83,1.51,62610000,1,0.4,1.34%
BRS,"Bristow Group Inc",404803000,0,-2.15,-195660000,2.96,0,0.00%
CACI,"Caci International",4448471000,23.22,7.76,163670000,1.45,0,0.00%
CAL,"Caleres Inc",1524175000,16.16,2.19,87200000,0.84,0.28,0.79%
CALM,"Cal-Maine Foods In",2339103000,16.21,2.97,125930000,0.54,1.4,2.92%
CAMP,"Calamp Corp",821318000,24.47,0.95,16620000,1.75,0,0.00%
CASH,"Meta Financial Grp",858935000,13.56,6.63,44920000,1.02,0.52,0.58%
CATM,"Cardtronics Inc",1390535000,11.25,1.98,-145350000,0.84,0,0.00%
CATO,"Cato Corp",611931000,27.89,0.88,8540000,0.71,1.32,5.38%
CBB,"Cincinnati Bell Inc",604428000,0,-0.53,35100000,1.24,0,0.00%
CBL,"Cbl & Associates Properties",739028000,2.29,-0.12,120940000,1.14,0.8,18.02%
CBM,"Cambrex Corp",2007241000,16.37,3.75,102450000,2.4,0,0.00%
CBU,"Community Bank System",3245485000,20.15,3.16,150720000,1,1.36,2.14%
CCMP,"Cabot Microelectron",3093849000,25.12,4.82,86950000,1.37,1.6,1.32%
CCOI,"Cogent Comm Hldgs",2371273000,105.52,0.48,5880000,0.5,2.08,4.11%
CCRN,"Cross Ctry Hlthcr",334231000,18.29,0.51,37510000,0.86,0,0.00%
CDR,"Cedar Shopping Centers Inc",404060000,7.42,-0.21,19140000,0.87,0.2,4.49%
CECO,"Career Education",1166416000,31.39,0.54,-31900000,2.77,0,0.00%
CEIX,"Consol Energy Inc",1207252000,0,4.84,67630000,N/A,0,0.00%
CENT,"Central Garden",2110968000,20.81,1.92,78830000,0.05,0,0.00%
CENTA,"Central Garden & Pet",1925658000,19.05,1.92,78830000,0.32,0,0.00%
CENX,"Century Aluminum C",1056456000,17.61,0.69,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",645479000,113.85,0.26,17030000,1.06,0,0.00%
CHCO,"City Holding Co",1241593000,18.04,4.45,54310000,0.67,1.84,2.29%
CHCT,"Community Healthcare Trust Inc",581490000,21.71,0.31,3510000,0.79,1.6,5.01%
CHS,"Chico's Fas",1273518000,14.91,0.65,101000000,0.75,0.34,3.51%
CHSP,"Chesapeake Lodging Trust",1879648000,13.76,1.21,76240000,0.92,1.6,5.12%
CHUY,"Chuy's Holdings Inc",462735000,27.53,0.95,28960000,-0.23,0,0.00%
CIR,"Circor International",869389000,22.47,1.97,11790000,1.87,0.08,0.17%
CJ,"C&J Energy Services Inc",1613980000,16.67,1.46,22460000,0.91,0,0.00%
CKH,"Seacor Smit Inc",916102000,37.53,1.37,61640000,0.79,0,0.00%
CLD,"Cloud Peak Energy Inc",189450000,0,-0.61,-6640000,1.94,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",950634000,10.35,0.83,29480000,1.07,1.32,6.35%
CLW,"Clearwater Paper Corp",412895000,14.88,1.66,97340000,1.03,0,0.00%
CMO,"Capstead Mortgage Corp",770525000,14.93,0.55,79590000,0.1,0.56,6.82%
CMTL,"Comtech Telecom Co",818653000,53.12,0.65,15830000,1.55,0.4,1.16%
CNMD,"C O N M E D Cp",2159410000,36.39,2.1,55490000,0.55,0.8,1.05%
CNSL,"Consolidated Communications Holdings Inc",812963000,0,-0.23,64950000,0.78,1.55,13.76%
COHU,"Cohu Inc",776563000,17.22,1.52,32840000,1.11,0.24,0.92%
COKE,"Coca Cola Bot Cons",1550833000,68.39,2.35,96540000,0.18,1,0.62%
COLB,"Columbia Banking Sys",3066349000,17.27,2.43,112830000,1.12,1.04,2.48%
CORE,"Core Mark Holding",1454144000,28.16,1.12,33500000,0.63,0.4,1.27%
CORT,"Corcept Therapeutics",1423934000,23.68,0.56,129120000,1.7,0,0.00%
CPF,"Central Pacific Financial Co",817582000,15.95,1.74,41200000,1.08,0.84,3.03%
CPS,"Cooper Std Hldg Inc",2403383000,11.63,11.72,135300000,0.73,0,0.00%
CPSI,"Computer Programs",371272000,18.12,1.46,-17100000,-0.04,0.4,1.51%
CRAY,"Cray Inc",865596000,0,-0.84,-133830000,1.48,0,0.00%
CROX,"Crocs Inc",1221535000,168.45,0.11,10240000,0.45,0,0.00%
CRR,"Carbo Ceramics",233571000,0,-3,-253120000,1.54,0,0.00%
CRVL,"Corvel Cp",1078048000,27.76,2.03,35700000,0.66,0,0.00%
CRY,Cryolife,1180638000,105.97,0.31,3700000,0.73,0,0.00%
CRZO,"Carrizo Oil & Gas",1944365000,11.35,2.18,87110000,2.15,0,0.00%
CSGS,"C S G Sys Intl",1244226000,16.48,2.27,61360000,0.87,0.84,2.25%
CTB,"Cooper Tire & Rubber Company",1449237000,14.04,2.14,95400000,0.66,0.42,1.40%
CTRE,"Caretrust REIT Inc",1417150000,13.9,0.54,25870000,0.78,0.82,4.72%
CTRL,"Control4 Corp",834939000,35.12,0.92,15980000,-0.22,0,0.00%
CTS,"Cts Corp",1161459000,24.76,1.43,14450000,1.23,0.16,0.45%
CUB,"Cubic Corp",2001512000,187.31,0.39,-11210000,0.99,0.27,0.37%
CUBI,"Customers Bancorp",777182000,10.24,2.44,78840000,0.72,0,0.00%
CUTR,"Cutera Inc",471252000,78.64,0.44,29990000,0.38,0,0.00%
CVBF,"Cvb Financial Corp",2661539000,20.35,1.19,104410000,1.38,0.56,2.31%
CVCO,"Cavco Inds Inc",2033040000,33.02,6.91,61500000,1.45,0,0.00%
CVGW,"Calavo Growers Inc",1726253000,40.33,2.43,37270000,0.56,0.95,0.97%
CWT,"California Water Service Group Holding",1925204000,33.47,1.21,67180000,0.61,0.75,1.85%
CYH,"Community Health Systems",366188000,0,-0.9,-2459000000,1.68,0,0.00%
CYTK,Cytokinetics,376947000,0,-2.42,-127790000,1.39,0,0.00%
