Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",822164000,12.4,3.37,73950000,2.72,0,0.00%
AAON,"Aaon Inc",1913758000,43.75,0.84,54500000,0.7,0.32,0.87%
AAT,"American Assets Trust",1771319000,18.97,0.45,40130000,0.41,1.08,2.87%
AAWW,"Atlas Air Ww",1753416000,12.64,5.46,223470000,1.18,0,0.00%
AAXN,"Axon Inc",4361594000,175.79,0.42,5210000,0.83,0,0.00%
ABAX,"Abaxis Inc",1901641000,64.08,1.3,27180000,1.3,0.72,0.86%
ABCB,"Ameris Bancorp",1998910000,19.79,2.62,73550000,1.22,0.4,0.77%
ABG,"Asbury Automotive Group Inc",1430690000,10.2,6.8,139100000,1.54,0,0.00%
ABM,"ABM Industries Incorporated",1961682000,18.6,1.61,3800000,0.8,0.7,2.34%
ACET,"Aceto Cp",97912000,4.04,0.8,11380000,1.69,0.04,1.24%
ACLS,"Axcelis Tech Inc",683188000,13.52,1.59,126960000,1.05,0,0.00%
ACOR,"Acorda Therapeutics",1320314000,0,-0.46,-223360000,1.63,0,0.00%
ADC,"Agree Realty Corp",1542643000,19.24,2.06,58110000,0.34,2.16,4.04%
ADTN,"Adtran Inc",800097000,0,-0.06,23840000,0.61,0.36,2.18%
AEGN,"Aegion Corp",816054000,25.62,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2333842000,12.95,4.62,137860000,1.34,0,0.00%
AEL,"American Equity Investment Life",3194946000,10.52,3.34,174650000,2.48,0.26,0.74%
AGYS,"Agilysys Inc",387184000,0,-0.36,-8350000,0.33,0,0.00%
AHH,"Armada Hoffler Properties Inc",681314000,15.45,0.45,21050000,0.52,0.8,5.28%
AIN,"Albany International Corp",2049530000,37.88,1.7,33110000,1.62,0.68,1.06%
AIR,"AAR Corp",1615063000,27.66,1.69,15600000,1.26,0.3,0.64%
AIT,"Applied Industrial Technologies",2900565000,21.85,3.46,133910000,0.95,1.2,1.59%
AJRD,"Aerojet Rocketdyne Holdings",2239330000,36.48,0.83,-9200000,1.13,0,0.00%
AKR,"Acadia Realty Trust",2189876000,18.45,0.63,60830000,0.44,1.08,4.06%
AKS,"AK Steel Holding Corp",1589112000,20.29,0.24,6200000,2.84,0,0.00%
ALG,"Alamo Group",1053859000,19.3,4.73,44320000,0.85,0.44,0.48%
ALGT,"Allegiant Travel Com",2337713000,13.79,10.46,194900000,0.14,2.8,1.94%
ALRM,Alarm.Com,2099676000,42.76,1.03,29250000,1.17,0,0.00%
