Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",793319000,16.26,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2202759000,51.5,0.8,54500000,0.82,0.32,0.78%
AAT,"American Assets Trust",1871801000,19.03,0.4,40130000,0.38,1.08,2.74%
AAWW,"Atlas Air Ww",1565496000,9.84,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3741812000,121.04,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2359368000,18.17,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1547618000,10.24,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2122745000,19.78,1.61,3800000,0.81,0.7,2.20%
ACET,"Aceto Cp",101761000,4.07,0.8,11380000,1.62,0.04,1.23%
ACLS,"Axcelis Tech Inc",619694000,11.36,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1346058000,27.92,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1632822000,19.82,1.91,58110000,0.33,2.16,3.86%
ADTN,"Adtran Inc",790097000,0,-0.06,23840000,0.61,0.36,2.20%
AEGN,"Aegion Corp",814750000,24.81,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2248434000,12.28,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3377375000,10.44,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",372792000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",784196000,16.48,0.46,21050000,0.61,0.8,5.00%
AIN,"Albany International Corp",2481010000,32.58,2.36,33110000,1.67,0.68,0.88%
AIR,"AAR Corp",1566774000,26.47,1.69,15600000,1.21,0.3,0.67%
AIT,"Applied Industrial Technologies",2985705000,20.59,3.71,141630000,0.94,1.2,1.57%
AJRD,"Aerojet Rocketdyne Holdings",2707236000,37.34,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2320305000,20.05,0.58,60830000,0.41,1.08,3.82%
AKS,"AK Steel Holding Corp",1388244000,16.19,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1159276000,18.78,5.21,44320000,0.87,0.44,0.45%
ALGT,"Allegiant Travel Com",2209880000,12.78,10.62,194900000,0.15,2.8,2.06%
ALRM,Alarm.Com,2655936000,53.28,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",830727000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",994540000,4.61,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3805199000,41,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2706930000,20.88,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",830830000,118.8,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1218195000,19.13,3.34,46230000,0.79,0.88,1.38%
AMWD,"Amer Woodmark Cp",1465425000,16.87,4.94,63140000,1.82,0,0.00%
